Nome: IBOTIRAMA
Codigo Estacao: A439
Latitude: -12.19305555
Longitude: -43.21333333
Altitude: 425.12
Situacao: Operante
Data Inicial: 2008-04-27
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-04-30;null;
2008-05-31;0;
2008-06-30;0;
2008-07-31;0;
2008-08-31;.4;
2008-09-30;2.8;
2008-10-31;0;
2008-11-30;178.8;
2008-12-31;114.4;
2009-01-31;94.6;
2009-02-28;93.4;
2009-03-31;187.8;
2009-04-30;130.8;
2009-05-31;24.6;
2009-06-30;41.2;
2009-07-31;0;
2009-08-31;0;
2009-09-30;0;
2009-10-31;188.2;
2009-11-30;1;
2009-12-31;125.8;
2010-01-31;18.2;
2010-02-28;57.6;
2010-03-31;160.8;
2010-04-30;69.4;
2010-05-31;2;
2010-06-30;0;
2010-07-31;null;
2010-08-31;1.2;
2010-09-30;15.2;
2010-10-31;35.4;
2010-11-30;131.2;
2010-12-31;149;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;0;
2011-08-31;.4;
2011-09-30;0;
2011-10-31;50.4;
2011-11-30;169.8;
2011-12-31;55.4;
2012-01-31;32.8;
2012-02-29;65;
2012-03-31;45.8;
2012-04-30;11.8;
2012-05-31;27.4;
2012-06-30;0;
2012-07-31;2;
2012-08-31;0;
2012-09-30;0;
2012-10-31;.2;
2012-11-30;222.2;
2012-12-31;57.6;
2013-01-31;194.4;
2013-02-28;1.4;
2013-03-31;104.4;
2013-04-30;78.4;
2013-05-31;0;
2013-06-30;0;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;null;
2013-11-30;null;
2013-12-31;363.2;
2014-01-31;4.8;
2014-02-28;36.2;
2014-03-31;101.4;
2014-04-30;95.6;
2014-05-31;28.6;
2014-06-30;1;
2014-07-31;0;
2014-08-31;0;
2014-09-30;0;
2014-10-31;55.2;
2014-11-30;194;
2014-12-31;188.8;
2015-01-31;35.6;
2015-02-28;135;
2015-03-31;94;
2015-04-30;101.4;
2015-05-31;4.4;
2015-06-30;0;
2015-07-31;0;
2015-08-31;0;
2015-09-30;2;
2015-10-31;10.2;
2015-11-30;null;
2015-12-31;null;
2016-01-31;338.8;
2016-02-29;null;
2016-03-31;0;
2016-04-30;0;
2016-05-31;0;
2016-06-30;0;
2016-07-31;0;
2016-08-31;0;
2016-09-30;3.6;
2016-10-31;32;
2016-11-30;76.2;
2016-12-31;54;
2017-01-31;32.2;
2017-02-28;null;
2017-03-31;39.8;
2017-04-30;null;
2017-05-31;11.8;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;0;
2017-10-31;0;
2017-11-30;124;
2017-12-31;101.4;
2018-01-31;65.4;
2018-02-28;null;
2018-03-31;null;
2018-04-30;21.4;
2018-05-31;4.2;
2018-06-30;null;
2018-07-31;0;
2018-08-31;1.8;
2018-09-30;.8;
2018-10-31;57.8;
2018-11-30;33.8;
2018-12-31;62;
2019-01-31;6;
2019-02-28;null;
2019-03-31;138.6;
2019-04-30;null;
2019-05-31;30.8;
2019-06-30;null;
2019-07-31;0;
2019-08-31;0;
2019-09-30;13.2;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;274;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;0;
2020-08-31;0;
2020-09-30;0;
2020-10-31;5.2;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;133.4;
2021-12-31;265.6;
2022-01-31;null;

