Nome: IPIAU
Codigo Estacao: A445
Latitude: -14.17138888
Longitude: -39.69249999
Altitude: 132.11
Situacao: Pane
Data Inicial: 2009-06-29
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2009-06-30;null;
2009-07-31;116.8;
2009-08-31;100.2;
2009-09-30;48;
2009-10-31;77.2;
2009-11-30;50.8;
2009-12-31;31.6;
2010-01-31;53.2;
2010-02-28;53.2;
2010-03-31;211.8;
2010-04-30;110;
2010-05-31;38.2;
2010-06-30;28.8;
2010-07-31;188.2;
2010-08-31;50.8;
2010-09-30;59;
2010-10-31;68.2;
2010-11-30;90.4;
2010-12-31;222;
2011-01-31;95.4;
2011-02-28;63.4;
2011-03-31;133;
2011-04-30;202.2;
2011-05-31;96.8;
2011-06-30;30.8;
2011-07-31;132.2;
2011-08-31;53;
2011-09-30;56.6;
2011-10-31;127;
2011-11-30;162.4;
2011-12-31;100.6;
2012-01-31;34.6;
2012-02-29;111.6;
2012-03-31;92;
2012-04-30;30;
2012-05-31;75.2;
2012-06-30;71.8;
2012-07-31;71.4;
2012-08-31;126;
2012-09-30;null;
2012-10-31;60.6;
2012-11-30;92.4;
2012-12-31;15.8;
2013-01-31;194.2;
2013-02-28;86;
2013-03-31;30.8;
2013-04-30;113.2;
2013-05-31;65.4;
2013-06-30;111.8;
2013-07-31;80.2;
2013-08-31;106;
2013-09-30;37.6;
2013-10-31;12;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;60.2;
2014-06-30;118.4;
2014-07-31;102.4;
2014-08-31;31.4;
2014-09-30;22.2;
2014-10-31;37.8;
2014-11-30;195.2;
2014-12-31;323;
2015-01-31;72.6;
2015-02-28;110;
2015-03-31;40.2;
2015-04-30;31.6;
2015-05-31;66.8;
2015-06-30;175;
2015-07-31;117.6;
2015-08-31;null;
2015-09-30;null;
2015-10-31;28.6;
2015-11-30;2.2;
2015-12-31;5.6;
2016-01-31;193.2;
2016-02-29;13;
2016-03-31;32.2;
2016-04-30;63;
2016-05-31;25;
2016-06-30;90.4;
2016-07-31;98;
2016-08-31;83.6;
2016-09-30;61;
2016-10-31;87.6;
2016-11-30;135.2;
2016-12-31;36.6;
2017-01-31;30.2;
2017-02-28;128.4;
2017-03-31;79.8;
2017-04-30;85.4;
2017-05-31;76.8;
2017-06-30;104.2;
2017-07-31;null;
2017-08-31;42;
2017-09-30;81.2;
2017-10-31;26.8;
2017-11-30;148;
2017-12-31;122.4;
2018-01-31;79;
2018-02-28;107.6;
2018-03-31;null;
2018-04-30;93;
2018-05-31;45.6;
2018-06-30;92.4;
2018-07-31;null;
2018-08-31;65.8;
2018-09-30;27;
2018-10-31;16.6;
2018-11-30;129.4;
2018-12-31;147;
2019-01-31;24.8;
2019-02-28;36.2;
2019-03-31;38.6;
2019-04-30;10.8;
2019-05-31;6;
2019-06-30;97;
2019-07-31;67.2;
2019-08-31;111.4;
2019-09-30;64.2;
2019-10-31;58.2;
2019-11-30;63.8;
2019-12-31;74.8;
2020-01-31;132.4;
2020-02-29;null;
2020-03-31;null;
2020-04-30;48.4;
2020-05-31;68.4;
2020-06-30;123.8;
2020-07-31;119;
2020-08-31;115.4;
2020-09-30;70.6;
2020-10-31;100.8;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

