Nome: BELMONTE
Codigo Estacao: A447
Latitude: -16.08805555
Longitude: -39.21527777
Altitude: 89.67
Situacao: Pane
Data Inicial: 2009-07-01
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2009-07-31;null;
2009-08-31;63.8;
2009-09-30;43;
2009-10-31;151;
2009-11-30;26.6;
2009-12-31;28;
2010-01-31;28;
2010-02-28;85.8;
2010-03-31;141;
2010-04-30;50;
2010-05-31;43.6;
2010-06-30;46.4;
2010-07-31;115.4;
2010-08-31;22.8;
2010-09-30;47.8;
2010-10-31;75.2;
2010-11-30;224.4;
2010-12-31;76.6;
2011-01-31;76;
2011-02-28;55.6;
2011-03-31;115.4;
2011-04-30;101;
2011-05-31;52.2;
2011-06-30;66.2;
2011-07-31;51.2;
2011-08-31;29.8;
2011-09-30;38.2;
2011-10-31;101;
2011-11-30;212.4;
2011-12-31;75.8;
2012-01-31;36.4;
2012-02-29;38.8;
2012-03-31;72.2;
2012-04-30;11.6;
2012-05-31;128.8;
2012-06-30;96.6;
2012-07-31;55;
2012-08-31;null;
2012-09-30;null;
2012-10-31;100;
2012-11-30;240.2;
2012-12-31;17.8;
2013-01-31;208.2;
2013-02-28;128.8;
2013-03-31;20.4;
2013-04-30;150.4;
2013-05-31;88.2;
2013-06-30;257;
2013-07-31;140.8;
2013-08-31;213.2;
2013-09-30;144.8;
2013-10-31;94.8;
2013-11-30;149.4;
2013-12-31;186.6;
2014-01-31;125.4;
2014-02-28;97.4;
2014-03-31;103.2;
2014-04-30;111.2;
2014-05-31;73.8;
2014-06-30;190.2;
2014-07-31;null;
2014-08-31;null;
2014-09-30;24.8;
2014-10-31;164.2;
2014-11-30;165;
2014-12-31;166;
2015-01-31;0;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;158;
2015-06-30;156.2;
2015-07-31;null;
2015-08-31;null;
2015-09-30;5.4;
2015-10-31;77;
2015-11-30;25.6;
2015-12-31;9;
2016-01-31;152;
2016-02-29;42.6;
2016-03-31;21.2;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;143.2;
2016-08-31;97.6;
2016-09-30;113.6;
2016-10-31;258.6;
2016-11-30;248.6;
2016-12-31;64.6;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;55.6;
2017-08-31;115.4;
2017-09-30;138.8;
2017-10-31;40.8;
2017-11-30;291;
2017-12-31;82.6;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;52.2;
2018-07-31;64.4;
2018-08-31;29.4;
2018-09-30;null;
2018-10-31;42.2;
2018-11-30;212.6;
2018-12-31;131;
2019-01-31;38.8;
2019-02-28;3.4;
2019-03-31;36;
2019-04-30;null;
2019-05-31;.6;
2019-06-30;95.2;
2019-07-31;116.2;
2019-08-31;180;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;89.6;
2020-02-29;16.4;
2020-03-31;132.8;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

