Nome: CURACA
Codigo Estacao: A448
Latitude: -9.00138888
Longitude: -39.9125
Altitude: 370
Situacao: Operante
Data Inicial: 2015-08-19
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2015-08-31;null;
2015-09-30;0;
2015-10-31;0;
2015-11-30;0;
2015-12-31;5;
2016-01-31;297.2;
2016-02-29;41;
2016-03-31;20.2;
2016-04-30;12.4;
2016-05-31;24.8;
2016-06-30;2.4;
2016-07-31;3.2;
2016-08-31;.2;
2016-09-30;.8;
2016-10-31;0;
2016-11-30;3.4;
2016-12-31;11.8;
2017-01-31;.2;
2017-02-28;42;
2017-03-31;13.8;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;28.4;
2017-10-31;0;
2017-11-30;3.2;
2017-12-31;27.2;
2018-01-31;92.4;
2018-02-28;99.4;
2018-03-31;29.4;
2018-04-30;137;
2018-05-31;22.4;
2018-06-30;1.2;
2018-07-31;4.4;
2018-08-31;.2;
2018-09-30;0;
2018-10-31;15.6;
2018-11-30;8.8;
2018-12-31;121.4;
2019-01-31;0;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;.8;
2019-06-30;.2;
2019-07-31;0;
2019-08-31;0;
2019-09-30;0;
2019-10-31;0;
2019-11-30;0;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

