Nome: PILAO ARCADO
Codigo Estacao: A449
Latitude: -10.01833332
Longitude: -42.50027777
Altitude: 385
Situacao: Pane
Data Inicial: 2016-05-27
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;234.6;
2016-12-31;null;
2017-01-31;14.6;
2017-02-28;111.8;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;0;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;0;
2018-06-30;.2;
2018-07-31;0;
2018-08-31;0;
2018-09-30;0;
2018-10-31;46.8;
2018-11-30;9.4;
2018-12-31;129.4;
2019-01-31;10.2;
2019-02-28;121.6;
2019-03-31;67.2;
2019-04-30;89.4;
2019-05-31;34;
2019-06-30;0;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;0;
2019-11-30;14.2;
2019-12-31;32.4;
2020-01-31;243.8;
2020-02-29;100.4;
2020-03-31;280.6;
2020-04-30;null;
2020-05-31;0;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;0;
2020-10-31;33.8;
2020-11-30;225.6;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

