Nome: JEREMOABO
Codigo Estacao: A450
Latitude: -10.08083332
Longitude: -38.34583333
Altitude: 261
Situacao: Operante
Data Inicial: 2015-08-12
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2015-08-31;null;
2015-09-30;21;
2015-10-31;21;
2015-11-30;0;
2015-12-31;13.4;
2016-01-31;285;
2016-02-29;36.8;
2016-03-31;19;
2016-04-30;30.2;
2016-05-31;84.6;
2016-06-30;37.8;
2016-07-31;24.2;
2016-08-31;15.6;
2016-09-30;11.8;
2016-10-31;5.8;
2016-11-30;2.6;
2016-12-31;13.4;
2017-01-31;0;
2017-02-28;3.2;
2017-03-31;2.2;
2017-04-30;56.4;
2017-05-31;60.4;
2017-06-30;87.4;
2017-07-31;70.4;
2017-08-31;26.8;
2017-09-30;120.4;
2017-10-31;null;
2017-11-30;null;
2017-12-31;16.6;
2018-01-31;23.8;
2018-02-28;51.4;
2018-03-31;43.4;
2018-04-30;22.8;
2018-05-31;20;
2018-06-30;63.2;
2018-07-31;34.8;
2018-08-31;15.8;
2018-09-30;4.8;
2018-10-31;2.6;
2018-11-30;16.2;
2018-12-31;74.2;
2019-01-31;3.6;
2019-02-28;9.8;
2019-03-31;156;
2019-04-30;null;
2019-05-31;44;
2019-06-30;116.4;
2019-07-31;94;
2019-08-31;52.8;
2019-09-30;22.2;
2019-10-31;4.6;
2019-11-30;.6;
2019-12-31;.8;
2020-01-31;74.2;
2020-02-29;90;
2020-03-31;182.6;
2020-04-30;106;
2020-05-31;82.6;
2020-06-30;125.8;
2020-07-31;62.6;
2020-08-31;47.2;
2020-09-30;15;
2020-10-31;56.2;
2020-11-30;113.6;
2020-12-31;13.2;
2021-01-31;7.6;
2021-02-28;38.6;
2021-03-31;6;
2021-04-30;127.4;
2021-05-31;74.6;
2021-06-30;46.6;
2021-07-31;78.2;
2021-08-31;32.8;
2021-09-30;13.4;
2021-10-31;43.8;
2021-11-30;65.6;
2021-12-31;91.4;
2022-01-31;null;

