Nome: ITABAIANA
Codigo Estacao: A451
Latitude: -10.67166666
Longitude: -37.47138888
Altitude: 213
Situacao: Pane
Data Inicial: 2017-04-23
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2017-04-30;null;
2017-05-31;336.2;
2017-06-30;155.6;
2017-07-31;112.2;
2017-08-31;75.2;
2017-09-30;111.4;
2017-10-31;77.2;
2017-11-30;7.2;
2017-12-31;45.8;
2018-01-31;9.2;
2018-02-28;60.4;
2018-03-31;40;
2018-04-30;71.4;
2018-05-31;73.2;
2018-06-30;134;
2018-07-31;89.4;
2018-08-31;22.6;
2018-09-30;14;
2018-10-31;7.2;
2018-11-30;22;
2018-12-31;130.6;
2019-01-31;13.4;
2019-02-28;36;
2019-03-31;79.4;
2019-04-30;92.4;
2019-05-31;57.2;
2019-06-30;328.6;
2019-07-31;373.6;
2019-08-31;64.4;
2019-09-30;52.6;
2019-10-31;13;
2019-11-30;10;
2019-12-31;3.8;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

