Nome: FORMOSA DO RIO PRETO
Codigo Estacao: A452
Latitude: -11.05222222
Longitude: -45.20083333
Altitude: 488
Situacao: Operante
Data Inicial: 2016-06-01
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2016-06-30;null;
2016-07-31;0;
2016-08-31;0;
2016-09-30;25;
2016-10-31;32.6;
2016-11-30;192.6;
2016-12-31;130;
2017-01-31;109.2;
2017-02-28;219.4;
2017-03-31;113.8;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;0;
2017-10-31;0;
2017-11-30;107.6;
2017-12-31;202;
2018-01-31;53.8;
2018-02-28;327.2;
2018-03-31;210.8;
2018-04-30;null;
2018-05-31;.2;
2018-06-30;0;
2018-07-31;2;
2018-08-31;33;
2018-09-30;0;
2018-10-31;188.4;
2018-11-30;210.6;
2018-12-31;183.6;
2019-01-31;65.8;
2019-02-28;221.6;
2019-03-31;238;
2019-04-30;96.4;
2019-05-31;50;
2019-06-30;0;
2019-07-31;3.2;
2019-08-31;0;
2019-09-30;2.6;
2019-10-31;20.2;
2019-11-30;25.2;
2019-12-31;47.4;
2020-01-31;242.8;
2020-02-29;149.6;
2020-03-31;257.6;
2020-04-30;78.8;
2020-05-31;12.2;
2020-06-30;0;
2020-07-31;0;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;54.4;
2021-11-30;410.4;
2021-12-31;410.8;
2022-01-31;null;

