Nome: NOSSA SENHORA DA GLORIA
Codigo Estacao: A453
Latitude: -10.20777777
Longitude: -37.43194443
Altitude: 271
Situacao: Operante
Data Inicial: 2017-03-23
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2017-03-31;null;
2017-04-30;73;
2017-05-31;176;
2017-06-30;128.2;
2017-07-31;118;
2017-08-31;81.6;
2017-09-30;null;
2017-10-31;23;
2017-11-30;13.2;
2017-12-31;20.2;
2018-01-31;25.2;
2018-02-28;54.6;
2018-03-31;42.8;
2018-04-30;32.8;
2018-05-31;46.8;
2018-06-30;41.8;
2018-07-31;61.4;
2018-08-31;14.6;
2018-09-30;13.8;
2018-10-31;1;
2018-11-30;18;
2018-12-31;26;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;50.4;
2019-05-31;54.2;
2019-06-30;137.2;
2019-07-31;336.8;
2019-08-31;81;
2019-09-30;33.4;
2019-10-31;7.6;
2019-11-30;3;
2019-12-31;3.2;
2020-01-31;47;
2020-02-29;40.2;
2020-03-31;178.2;
2020-04-30;81.6;
2020-05-31;73.8;
2020-06-30;167.8;
2020-07-31;89;
2020-08-31;37.6;
2020-09-30;null;
2020-10-31;null;
2020-11-30;31.6;
2020-12-31;.4;
2021-01-31;15;
2021-02-28;17;
2021-03-31;13;
2021-04-30;33.2;
2021-05-31;118.4;
2021-06-30;87.8;
2021-07-31;40.8;
2021-08-31;3.6;
2021-09-30;18.2;
2021-10-31;7.2;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

