Nome: MACAUBAS
Codigo Estacao: A454
Latitude: -13.03888888
Longitude: -42.61722221
Altitude: 574
Situacao: Fechada
Data Inicial: 2016-04-06
Data Final: 2019-04-21
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2016-04-30;null;
2016-05-31;null;
2016-06-30;13.2;
2016-07-31;0;
2016-08-31;0;
2016-09-30;6;
2016-10-31;40.4;
2016-11-30;137.6;
2016-12-31;36;
2017-01-31;null;
2017-02-28;null;
2017-03-31;70;
2017-04-30;120;
2017-05-31;32;
2017-06-30;0;
2017-07-31;.2;
2017-08-31;0;
2017-09-30;0;
2017-10-31;1.2;
2017-11-30;null;
2017-12-31;101;
2018-01-31;88.4;
2018-02-28;127.2;
2018-03-31;183;
2018-04-30;18.8;
2018-05-31;6.6;
2018-06-30;3.2;
2018-07-31;.2;
2018-08-31;.4;
2018-09-30;0;
2018-10-31;50.2;
2018-11-30;84.8;
2018-12-31;147.2;
2019-01-31;4.8;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;

