Nome: RIBEIRA DO AMPARO
Codigo Estacao: A458
Latitude: -11.05861111
Longitude: -38.44416666
Altitude: 182
Situacao: Operante
Data Inicial: 2018-09-19
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2018-09-30;null;
2018-10-31;56.8;
2018-11-30;142;
2018-12-31;20.6;
2019-01-31;8.2;
2019-02-28;38.8;
2019-03-31;113;
2019-04-30;5.6;
2019-05-31;19.8;
2019-06-30;120.8;
2019-07-31;88.2;
2019-08-31;29;
2019-09-30;23.6;
2019-10-31;13.4;
2019-11-30;6.2;
2019-12-31;9.6;
2020-01-31;60.4;
2020-02-29;53.8;
2020-03-31;233.6;
2020-04-30;111.6;
2020-05-31;100;
2020-06-30;107.8;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;1.2;
2021-01-31;null;
2021-02-28;32.2;
2021-03-31;16.6;
2021-04-30;78.6;
2021-05-31;62;
2021-06-30;48;
2021-07-31;110.4;
2021-08-31;23.6;
2021-09-30;10;
2021-10-31;16;
2021-11-30;158.2;
2021-12-31;95;
2022-01-31;null;

