Nome: BARBACENA
Codigo Estacao: A502
Latitude: -21.22833332
Longitude: -43.76777777
Altitude: 1168.76
Situacao: Operante
Data Inicial: 2002-12-04
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2002-12-31;null;
2003-01-31;null;
2003-02-28;null;
2003-03-31;null;
2003-04-30;41.8;
2003-05-31;null;
2003-06-30;1;
2003-07-31;19;
2003-08-31;null;
2003-09-30;null;
2003-10-31;null;
2003-11-30;null;
2003-12-31;219.8;
2004-01-31;278.2;
2004-02-29;435.6;
2004-03-31;177.4;
2004-04-30;264.6;
2004-05-31;47;
2004-06-30;60.6;
2004-07-31;36.8;
2004-08-31;5;
2004-09-30;2.6;
2004-10-31;100;
2004-11-30;null;
2004-12-31;null;
2005-01-31;623.2;
2005-02-28;211.6;
2005-03-31;203.4;
2005-04-30;66.2;
2005-05-31;62.8;
2005-06-30;30.8;
2005-07-31;21.2;
2005-08-31;32.2;
2005-09-30;98.6;
2005-10-31;75.6;
2005-11-30;null;
2005-12-31;422.8;
2006-01-31;182.8;
2006-02-28;null;
2006-03-31;139.4;
2006-04-30;null;
2006-05-31;null;
2006-06-30;8.8;
2006-07-31;3.6;
2006-08-31;12.6;
2006-09-30;74.6;
2006-10-31;165;
2006-11-30;204.6;
2006-12-31;162.6;
2007-01-31;562.8;
2007-02-28;89.4;
2007-03-31;155.8;
2007-04-30;29.6;
2007-05-31;27.2;
2007-06-30;7;
2007-07-31;12;
2007-08-31;4;
2007-09-30;24.8;
2007-10-31;188.6;
2007-11-30;null;
2007-12-31;null;
2008-01-31;241.4;
2008-02-29;287.6;
2008-03-31;284;
2008-04-30;176;
2008-05-31;2.6;
2008-06-30;13.6;
2008-07-31;3;
2008-08-31;11.2;
2008-09-30;88.2;
2008-10-31;117.8;
2008-11-30;null;
2008-12-31;null;
2009-01-31;265.8;
2009-02-28;257;
2009-03-31;158;
2009-04-30;79.6;
2009-05-31;10;
2009-06-30;36.4;
2009-07-31;14.4;
2009-08-31;13;
2009-09-30;100.6;
2009-10-31;257.4;
2009-11-30;183;
2009-12-31;378.2;
2010-01-31;252.4;
2010-02-28;58.6;
2010-03-31;254.6;
2010-04-30;64.4;
2010-05-31;31;
2010-06-30;5.8;
2010-07-31;39.4;
2010-08-31;.8;
2010-09-30;44.8;
2010-10-31;195;
2010-11-30;407.2;
2010-12-31;442.6;
2011-01-31;209.8;
2011-02-28;58.2;
2011-03-31;301.6;
2011-04-30;40.4;
2011-05-31;8.2;
2011-06-30;28.2;
2011-07-31;5.2;
2011-08-31;6.2;
2011-09-30;10.4;
2011-10-31;158.6;
2011-11-30;223.4;
2011-12-31;408.2;
2012-01-31;723.6;
2012-02-29;97.6;
2012-03-31;217.2;
2012-04-30;44.8;
2012-05-31;100.4;
2012-06-30;55.4;
2012-07-31;5;
2012-08-31;null;
2012-09-30;null;
2012-10-31;null;
2012-11-30;208.8;
2012-12-31;176.8;
2013-01-31;439.8;
2013-02-28;87.2;
2013-03-31;174.6;
2013-04-30;57.6;
2013-05-31;64.2;
2013-06-30;26.2;
2013-07-31;16;
2013-08-31;9.8;
2013-09-30;73;
2013-10-31;130.8;
2013-11-30;188.8;
2013-12-31;null;
2014-01-31;169.6;
2014-02-28;34.8;
2014-03-31;147.4;
2014-04-30;127.4;
2014-05-31;22.2;
2014-06-30;12.6;
2014-07-31;36.6;
2014-08-31;60;
2014-09-30;20.8;
2014-10-31;null;
2014-11-30;null;
2014-12-31;117.2;
2015-01-31;119.8;
2015-02-28;124.6;
2015-03-31;163.8;
2015-04-30;38.8;
2015-05-31;58;
2015-06-30;16.8;
2015-07-31;7.6;
2015-08-31;15.4;
2015-09-30;128.4;
2015-10-31;67.6;
2015-11-30;198.2;
2015-12-31;294.2;
2016-01-31;406.2;
2016-02-29;236.2;
2016-03-31;178.2;
2016-04-30;32;
2016-05-31;25.8;
2016-06-30;40.8;
2016-07-31;.4;
2016-08-31;14.4;
2016-09-30;79;
2016-10-31;43;
2016-11-30;391;
2016-12-31;144;
2017-01-31;104.2;
2017-02-28;257;
2017-03-31;100.2;
2017-04-30;55.4;
2017-05-31;92.2;
2017-06-30;31;
2017-07-31;9.8;
2017-08-31;.8;
2017-09-30;5;
2017-10-31;108.2;
2017-11-30;153.4;
2017-12-31;309;
2018-01-31;266.4;
2018-02-28;135.2;
2018-03-31;178.2;
2018-04-30;63.2;
2018-05-31;10.6;
2018-06-30;11.4;
2018-07-31;3.4;
2018-08-31;103;
2018-09-30;81.2;
2018-10-31;255.6;
2018-11-30;234;
2018-12-31;265.2;
2019-01-31;91.2;
2019-02-28;303.4;
2019-03-31;184.2;
2019-04-30;42;
2019-05-31;27.4;
2019-06-30;12.2;
2019-07-31;.8;
2019-08-31;7.6;
2019-09-30;70.4;
2019-10-31;101.6;
2019-11-30;292.6;
2019-12-31;249.2;
2020-01-31;224.6;
2020-02-29;334;
2020-03-31;232.6;
2020-04-30;46.8;
2020-05-31;24.2;
2020-06-30;5.4;
2020-07-31;4.6;
2020-08-31;19.8;
2020-09-30;29.8;
2020-10-31;93.2;
2020-11-30;158.2;
2020-12-31;339.6;
2021-01-31;183;
2021-02-28;251.8;
2021-03-31;115.8;
2021-04-30;52;
2021-05-31;null;
2021-06-30;10.8;
2021-07-31;1;
2021-08-31;16.4;
2021-09-30;66.6;
2021-10-31;262.6;
2021-11-30;132;
2021-12-31;278.2;
2022-01-31;null;

