Nome: CARANGOLA
Codigo Estacao: A503
Latitude: -20.74166666
Longitude: -42.01749999
Altitude: 399
Situacao: Desativada
Data Inicial: 2002-12-05
Data Final: 2010-09-21
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2002-12-31;null;
2003-01-31;null;
2003-02-28;null;
2003-03-31;null;
2003-04-30;37.6;
2003-05-31;null;
2003-06-30;.4;
2003-07-31;6.2;
2003-08-31;null;
2003-09-30;null;
2003-10-31;null;
2003-11-30;128.8;
2003-12-31;181.4;
2004-01-31;198.4;
2004-02-29;207.8;
2004-03-31;null;
2004-04-30;161.8;
2004-05-31;18.4;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;null;
2005-01-31;269;
2005-02-28;null;
2005-03-31;null;
2005-04-30;111.8;
2005-05-31;63.2;
2005-06-30;38.4;
2005-07-31;38;
2005-08-31;4.4;
2005-09-30;102.6;
2005-10-31;22.4;
2005-11-30;null;
2005-12-31;173.2;
2006-01-31;54;
2006-02-28;null;
2006-03-31;172.8;
2006-04-30;null;
2006-05-31;null;
2006-06-30;10.4;
2006-07-31;1.2;
2006-08-31;18.4;
2006-09-30;94.6;
2006-10-31;130;
2006-11-30;261.6;
2006-12-31;287.4;
2007-01-31;341.6;
2007-02-28;226.2;
2007-03-31;51.6;
2007-04-30;145.4;
2007-05-31;17;
2007-06-30;4.4;
2007-07-31;7.4;
2007-08-31;2.8;
2007-09-30;10.4;
2007-10-31;76.4;
2007-11-30;null;
2007-12-31;120.8;
2008-01-31;230.4;
2008-02-29;188.8;
2008-03-31;117.4;
2008-04-30;109;
2008-05-31;50.2;
2008-06-30;10.8;
2008-07-31;13.6;
2008-08-31;26.8;
2008-09-30;86.4;
2008-10-31;36.6;
2008-11-30;197.6;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;70.6;
2009-09-30;106.2;
2009-10-31;207.4;
2009-11-30;127;
2009-12-31;279.8;
2010-01-31;53.4;
2010-02-28;82.4;
2010-03-31;282.2;
2010-04-30;91.2;
2010-05-31;63.6;
2010-06-30;11;
2010-07-31;24.8;
2010-08-31;11;
2010-09-30;null;

