Nome: ALMENARA
Codigo Estacao: A508
Latitude: -16.166773
Longitude: -40.687756
Altitude: 189.11
Situacao: Operante
Data Inicial: 2002-12-14
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2002-12-31;null;
2003-01-31;152.4;
2003-02-28;26.6;
2003-03-31;8;
2003-04-30;109.2;
2003-05-31;null;
2003-06-30;4.8;
2003-07-31;38.2;
2003-08-31;19.4;
2003-09-30;11.2;
2003-10-31;10;
2003-11-30;58.4;
2003-12-31;47.6;
2004-01-31;241;
2004-02-29;103.4;
2004-03-31;269.6;
2004-04-30;48.6;
2004-05-31;28;
2004-06-30;33.8;
2004-07-31;41.2;
2004-08-31;6.6;
2004-09-30;.6;
2004-10-31;76;
2004-11-30;null;
2004-12-31;66;
2005-01-31;148.8;
2005-02-28;null;
2005-03-31;114;
2005-04-30;101.2;
2005-05-31;null;
2005-06-30;49;
2005-07-31;19.8;
2005-08-31;25.2;
2005-09-30;null;
2005-10-31;4.2;
2005-11-30;null;
2005-12-31;204.2;
2006-01-31;62.8;
2006-02-28;null;
2006-03-31;181.2;
2006-04-30;null;
2006-05-31;null;
2006-06-30;46.6;
2006-07-31;26.8;
2006-08-31;38.2;
2006-09-30;7;
2006-10-31;null;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;null;
2007-10-31;null;
2007-11-30;null;
2007-12-31;118.2;
2008-01-31;146.8;
2008-02-29;132.2;
2008-03-31;118;
2008-04-30;44.8;
2008-05-31;4.4;
2008-06-30;10.2;
2008-07-31;null;
2008-08-31;null;
2008-09-30;null;
2008-10-31;3.2;
2008-11-30;147;
2008-12-31;160.2;
2009-01-31;196.8;
2009-02-28;11.2;
2009-03-31;63.8;
2009-04-30;223.2;
2009-05-31;28.2;
2009-06-30;63.6;
2009-07-31;26.6;
2009-08-31;77.4;
2009-09-30;16.6;
2009-10-31;159.4;
2009-11-30;33.2;
2009-12-31;72.2;
2010-01-31;10.6;
2010-02-28;34.6;
2010-03-31;280.6;
2010-04-30;121.6;
2010-05-31;28.4;
2010-06-30;7.8;
2010-07-31;26.2;
2010-08-31;6.6;
2010-09-30;13.8;
2010-10-31;12.6;
2010-11-30;248.6;
2010-12-31;177.2;
2011-01-31;43.6;
2011-02-28;27.2;
2011-03-31;89.8;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;4.6;
2011-09-30;.6;
2011-10-31;112.2;
2011-11-30;24.4;
2011-12-31;126;
2012-01-31;53.6;
2012-02-29;5.6;
2012-03-31;48.2;
2012-04-30;1.6;
2012-05-31;6.4;
2012-06-30;3.4;
2012-07-31;12.8;
2012-08-31;60.4;
2012-09-30;19.8;
2012-10-31;18.2;
2012-11-30;305.8;
2012-12-31;1.6;
2013-01-31;141.4;
2013-02-28;3.8;
2013-03-31;138.4;
2013-04-30;174;
2013-05-31;7;
2013-06-30;34;
2013-07-31;18.8;
2013-08-31;19.4;
2013-09-30;68.6;
2013-10-31;34.4;
2013-11-30;82.8;
2013-12-31;301.8;
2014-01-31;18.8;
2014-02-28;76.6;
2014-03-31;62;
2014-04-30;26.6;
2014-05-31;36;
2014-06-30;36;
2014-07-31;39.2;
2014-08-31;null;
2014-09-30;2.8;
2014-10-31;47;
2014-11-30;101.2;
2014-12-31;40.8;
2015-01-31;32.8;
2015-02-28;null;
2015-03-31;null;
2015-04-30;155.6;
2015-05-31;68;
2015-06-30;73.4;
2015-07-31;35.4;
2015-08-31;42.4;
2015-09-30;0;
2015-10-31;9.2;
2015-11-30;43.6;
2015-12-31;7.6;
2016-01-31;317.4;
2016-02-29;0;
2016-03-31;11.4;
2016-04-30;2.6;
2016-05-31;18.4;
2016-06-30;53.6;
2016-07-31;47.6;
2016-08-31;21.6;
2016-09-30;10.6;
2016-10-31;89.6;
2016-11-30;null;
2016-12-31;156;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;109.4;
2017-05-31;52.4;
2017-06-30;29.4;
2017-07-31;59;
2017-08-31;5.8;
2017-09-30;20.6;
2017-10-31;3.4;
2017-11-30;119.4;
2017-12-31;315;
2018-01-31;21.4;
2018-02-28;96.4;
2018-03-31;128.8;
2018-04-30;92;
2018-05-31;52.2;
2018-06-30;50.4;
2018-07-31;15;
2018-08-31;11.4;
2018-09-30;3.8;
2018-10-31;47.2;
2018-11-30;160;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;111.4;
2019-04-30;49.4;
2019-05-31;10.6;
2019-06-30;26.4;
2019-07-31;50;
2019-08-31;67.8;
2019-09-30;12.4;
2019-10-31;14.2;
2019-11-30;31.8;
2019-12-31;60;
2020-01-31;115;
2020-02-29;18.2;
2020-03-31;239.8;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;246;
2020-12-31;3.8;
2021-01-31;17.6;
2021-02-28;78;
2021-03-31;10.4;
2021-04-30;142.8;
2021-05-31;9;
2021-06-30;25;
2021-07-31;14.2;
2021-08-31;26.6;
2021-09-30;10.4;
2021-10-31;128;
2021-11-30;193.4;
2021-12-31;579;
2022-01-31;null;

