Nome: MONTE VERDE
Codigo Estacao: A509
Latitude: -22.86166666
Longitude: -46.04333333
Altitude: 1544.89
Situacao: Operante
Data Inicial: 2004-12-18
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2004-12-31;null;
2005-01-31;470.6;
2005-02-28;null;
2005-03-31;187.8;
2005-04-30;93.4;
2005-05-31;163.2;
2005-06-30;40.6;
2005-07-31;32.8;
2005-08-31;null;
2005-09-30;null;
2005-10-31;99;
2005-11-30;null;
2005-12-31;165.4;
2006-01-31;294.6;
2006-02-28;null;
2006-03-31;255.2;
2006-04-30;null;
2006-05-31;null;
2006-06-30;33;
2006-07-31;66.6;
2006-08-31;28.6;
2006-09-30;87.4;
2006-10-31;111;
2006-11-30;193;
2006-12-31;318.2;
2007-01-31;347.8;
2007-02-28;104.2;
2007-03-31;230;
2007-04-30;178.4;
2007-05-31;57.4;
2007-06-30;71.8;
2007-07-31;218.4;
2007-08-31;3;
2007-09-30;25.4;
2007-10-31;134;
2007-11-30;null;
2007-12-31;28.2;
2008-01-31;13.2;
2008-02-29;2.4;
2008-03-31;157.8;
2008-04-30;155.8;
2008-05-31;47.8;
2008-06-30;71.4;
2008-07-31;4.6;
2008-08-31;36.8;
2008-09-30;83.2;
2008-10-31;74;
2008-11-30;80.2;
2008-12-31;109.6;
2009-01-31;421.4;
2009-02-28;406.4;
2009-03-31;312.6;
2009-04-30;36.6;
2009-05-31;84.2;
2009-06-30;80.2;
2009-07-31;146.4;
2009-08-31;93.2;
2009-09-30;221.6;
2009-10-31;215.4;
2009-11-30;235;
2009-12-31;4.4;
2010-01-31;5.6;
2010-02-28;7;
2010-03-31;2.8;
2010-04-30;1.8;
2010-05-31;.2;
2010-06-30;11.8;
2010-07-31;48.4;
2010-08-31;1.2;
2010-09-30;94.4;
2010-10-31;135;
2010-11-30;149.2;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;47.2;
2011-07-31;1.6;
2011-08-31;15.2;
2011-09-30;null;
2011-10-31;null;
2011-11-30;266.6;
2011-12-31;181.8;
2012-01-31;328;
2012-02-29;156;
2012-03-31;116.8;
2012-04-30;173.6;
2012-05-31;93;
2012-06-30;244.8;
2012-07-31;100.6;
2012-08-31;9.6;
2012-09-30;34.6;
2012-10-31;150.4;
2012-11-30;109;
2012-12-31;307.4;
2013-01-31;306.6;
2013-02-28;315.4;
2013-03-31;309.2;
2013-04-30;127.2;
2013-05-31;78.4;
2013-06-30;73.4;
2013-07-31;126.8;
2013-08-31;12.6;
2013-09-30;59;
2013-10-31;258;
2013-11-30;207.2;
2013-12-31;209;
2014-01-31;120.2;
2014-02-28;101.2;
2014-03-31;178.8;
2014-04-30;null;
2014-05-31;47;
2014-06-30;null;
2014-07-31;71.6;
2014-08-31;42.6;
2014-09-30;111.4;
2014-10-31;38.4;
2014-11-30;216.8;
2014-12-31;262.8;
2015-01-31;150.8;
2015-02-28;393.2;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;56.8;
2015-08-31;35;
2015-09-30;198;
2015-10-31;111.6;
2015-11-30;175.2;
2015-12-31;366;
2016-01-31;416.4;
2016-02-29;278;
2016-03-31;299;
2016-04-30;71.2;
2016-05-31;143.4;
2016-06-30;253.8;
2016-07-31;5.4;
2016-08-31;78.2;
2016-09-30;38.2;
2016-10-31;221.8;
2016-11-30;308;
2016-12-31;null;
2017-01-31;null;
2017-02-28;185.6;
2017-03-31;168.4;
2017-04-30;110.2;
2017-05-31;163.6;
2017-06-30;43.6;
2017-07-31;5.8;
2017-08-31;93.2;
2017-09-30;25.4;
2017-10-31;139.2;
2017-11-30;252.8;
2017-12-31;257.6;
2018-01-31;431.4;
2018-02-28;150.2;
2018-03-31;164.6;
2018-04-30;64.4;
2018-05-31;30;
2018-06-30;35.8;
2018-07-31;17.8;
2018-08-31;98.4;
2018-09-30;76;
2018-10-31;216.8;
2018-11-30;190.2;
2018-12-31;212.8;
2019-01-31;207.2;
2019-02-28;233;
2019-03-31;232.6;
2019-04-30;172.8;
2019-05-31;77.2;
2019-06-30;26;
2019-07-31;89;
2019-08-31;23.6;
2019-09-30;71.4;
2019-10-31;131.4;
2019-11-30;182.6;
2019-12-31;302.2;
2020-01-31;257.2;
2020-02-29;334.8;
2020-03-31;120.4;
2020-04-30;12.2;
2020-05-31;16.4;
2020-06-30;65.8;
2020-07-31;13.6;
2020-08-31;57.6;
2020-09-30;40.4;
2020-10-31;95.4;
2020-11-30;275.8;
2020-12-31;471.2;
2021-01-31;220.6;
2021-02-28;265.4;
2021-03-31;156;
2021-04-30;28;
2021-05-31;27.6;
2021-06-30;39;
2021-07-31;39.6;
2021-08-31;12.4;
2021-09-30;13.6;
2021-10-31;281.8;
2021-11-30;183;
2021-12-31;134;
2022-01-31;null;

