Nome: VICOSA
Codigo Estacao: A510
Latitude: -20.762607
Longitude: -42.864013
Altitude: 697.64
Situacao: Operante
Data Inicial: 2005-09-14
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2005-09-30;null;
2005-10-31;null;
2005-11-30;null;
2005-12-31;null;
2006-01-31;null;
2006-02-28;null;
2006-03-31;null;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;15.6;
2006-09-30;73;
2006-10-31;202.4;
2006-11-30;189;
2006-12-31;139;
2007-01-31;null;
2007-02-28;null;
2007-03-31;46.6;
2007-04-30;40.6;
2007-05-31;17.6;
2007-06-30;6;
2007-07-31;8;
2007-08-31;1.4;
2007-09-30;30.6;
2007-10-31;56.2;
2007-11-30;null;
2007-12-31;176.6;
2008-01-31;220.4;
2008-02-29;114.2;
2008-03-31;205.4;
2008-04-30;50.8;
2008-05-31;7;
2008-06-30;5;
2008-07-31;2.8;
2008-08-31;18.4;
2008-09-30;159.8;
2008-10-31;49;
2008-11-30;257.8;
2008-12-31;698.2;
2009-01-31;288.8;
2009-02-28;251.4;
2009-03-31;278;
2009-04-30;108.8;
2009-05-31;13.6;
2009-06-30;62.6;
2009-07-31;19;
2009-08-31;17.2;
2009-09-30;83;
2009-10-31;148.2;
2009-11-30;148;
2009-12-31;349.8;
2010-01-31;130.4;
2010-02-28;null;
2010-03-31;null;
2010-04-30;3.2;
2010-05-31;57;
2010-06-30;4.8;
2010-07-31;null;
2010-08-31;2.6;
2010-09-30;27.6;
2010-10-31;182.2;
2010-11-30;465.4;
2010-12-31;405.8;
2011-01-31;213.4;
2011-02-28;98;
2011-03-31;326;
2011-04-30;69.6;
2011-05-31;5.8;
2011-06-30;30.2;
2011-07-31;3.4;
2011-08-31;1.6;
2011-09-30;7.6;
2011-10-31;176;
2011-11-30;null;
2011-12-31;289.8;
2012-01-31;255.2;
2012-02-29;67.4;
2012-03-31;131.4;
2012-04-30;57.8;
2012-05-31;131.4;
2012-06-30;14.2;
2012-07-31;3.6;
2012-08-31;6.8;
2012-09-30;42.8;
2012-10-31;58.6;
2012-11-30;279.8;
2012-12-31;222.2;
2013-01-31;128.4;
2013-02-28;127;
2013-03-31;267.4;
2013-04-30;137.4;
2013-05-31;39;
2013-06-30;31.8;
2013-07-31;3.4;
2013-08-31;1;
2013-09-30;41.2;
2013-10-31;85.6;
2013-11-30;127.6;
2013-12-31;432;
2014-01-31;79.8;
2014-02-28;26.8;
2014-03-31;199.2;
2014-04-30;105.4;
2014-05-31;11.6;
2014-06-30;4.4;
2014-07-31;33;
2014-08-31;8.8;
2014-09-30;13.2;
2014-10-31;34.6;
2014-11-30;207.4;
2014-12-31;181.4;
2015-01-31;94.2;
2015-02-28;177.6;
2015-03-31;262.6;
2015-04-30;32.8;
2015-05-31;63.8;
2015-06-30;13.2;
2015-07-31;31.6;
2015-08-31;7.4;
2015-09-30;84.4;
2015-10-31;50.2;
2015-11-30;214.2;
2015-12-31;264;
2016-01-31;388.2;
2016-02-29;84.4;
2016-03-31;83;
2016-04-30;39.8;
2016-05-31;14.6;
2016-06-30;58.8;
2016-07-31;0;
2016-08-31;9.8;
2016-09-30;19.8;
2016-10-31;72.4;
2016-11-30;214.6;
2016-12-31;250;
2017-01-31;66.4;
2017-02-28;81.4;
2017-03-31;84.2;
2017-04-30;44.6;
2017-05-31;51.6;
2017-06-30;18.6;
2017-07-31;1.8;
2017-08-31;.8;
2017-09-30;5.6;
2017-10-31;52.4;
2017-11-30;109;
2017-12-31;374.6;
2018-01-31;149.2;
2018-02-28;148.6;
2018-03-31;259;
2018-04-30;94.4;
2018-05-31;12.4;
2018-06-30;7.4;
2018-07-31;8.8;
2018-08-31;85.6;
2018-09-30;56.8;
2018-10-31;96;
2018-11-30;266.2;
2018-12-31;187.8;
2019-01-31;30.6;
2019-02-28;155.8;
2019-03-31;130.8;
2019-04-30;114.8;
2019-05-31;52.6;
2019-06-30;24;
2019-07-31;1;
2019-08-31;7.6;
2019-09-30;60.4;
2019-10-31;143.6;
2019-11-30;319.6;
2019-12-31;266.8;
2020-01-31;496;
2020-02-29;368.4;
2020-03-31;184.4;
2020-04-30;52;
2020-05-31;60;
2020-06-30;2.6;
2020-07-31;2.6;
2020-08-31;21.4;
2020-09-30;30.2;
2020-10-31;173.4;
2020-11-30;195;
2020-12-31;198;
2021-01-31;null;
2021-02-28;null;
2021-03-31;115.8;
2021-04-30;39.8;
2021-05-31;2.6;
2021-06-30;25;
2021-07-31;1.8;
2021-08-31;15.4;
2021-09-30;33.8;
2021-10-31;289.4;
2021-11-30;367.6;
2021-12-31;241.4;
2022-01-31;null;

