Nome: TIMOTEO
Codigo Estacao: A511
Latitude: -19.57388888
Longitude: -42.62249999
Altitude: 493.42
Situacao: Operante
Data Inicial: 2006-02-21
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-02-28;null;
2006-03-31;322.6;
2006-04-30;null;
2006-05-31;null;
2006-06-30;30.6;
2006-07-31;2.2;
2006-08-31;4.2;
2006-09-30;153.6;
2006-10-31;128.4;
2006-11-30;268.6;
2006-12-31;488.4;
2007-01-31;282.4;
2007-02-28;192.2;
2007-03-31;55.6;
2007-04-30;89;
2007-05-31;7;
2007-06-30;15;
2007-07-31;2.6;
2007-08-31;1.2;
2007-09-30;9;
2007-10-31;47.2;
2007-11-30;null;
2007-12-31;162.6;
2008-01-31;173.6;
2008-02-29;234.2;
2008-03-31;291.6;
2008-04-30;92.6;
2008-05-31;9;
2008-06-30;.2;
2008-07-31;0;
2008-08-31;41.6;
2008-09-30;41.2;
2008-10-31;65.6;
2008-11-30;369.4;
2008-12-31;412.2;
2009-01-31;null;
2009-02-28;null;
2009-03-31;276;
2009-04-30;179;
2009-05-31;null;
2009-06-30;null;
2009-07-31;0;
2009-08-31;9;
2009-09-30;110;
2009-10-31;325.2;
2009-11-30;94.6;
2009-12-31;352.4;
2010-01-31;62;
2010-02-28;64.6;
2010-03-31;314;
2010-04-30;205.2;
2010-05-31;43.2;
2010-06-30;17.4;
2010-07-31;2.4;
2010-08-31;.2;
2010-09-30;5.6;
2010-10-31;112.6;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;398.6;
2011-04-30;100;
2011-05-31;12.6;
2011-06-30;14.4;
2011-07-31;1.4;
2011-08-31;13.4;
2011-09-30;12.2;
2011-10-31;207.4;
2011-11-30;387.8;
2011-12-31;489.6;
2012-01-31;303;
2012-02-29;32.4;
2012-03-31;80.6;
2012-04-30;41.2;
2012-05-31;87.8;
2012-06-30;null;
2012-07-31;.4;
2012-08-31;31.8;
2012-09-30;27.2;
2012-10-31;40;
2012-11-30;null;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;156.2;
2013-04-30;103;
2013-05-31;51.8;
2013-06-30;40.8;
2013-07-31;1;
2013-08-31;3.6;
2013-09-30;34.8;
2013-10-31;151.4;
2013-11-30;458;
2013-12-31;721.2;
2014-01-31;52.2;
2014-02-28;75.4;
2014-03-31;null;
2014-04-30;86.6;
2014-05-31;45.2;
2014-06-30;null;
2014-07-31;null;
2014-08-31;23.2;
2014-09-30;6;
2014-10-31;140.8;
2014-11-30;220.8;
2014-12-31;159.2;
2015-01-31;7;
2015-02-28;157.6;
2015-03-31;103.2;
2015-04-30;130.6;
2015-05-31;140.4;
2015-06-30;17.4;
2015-07-31;8;
2015-08-31;.2;
2015-09-30;34.2;
2015-10-31;59.4;
2015-11-30;107.8;
2015-12-31;181.4;
2016-01-31;441.2;
2016-02-29;21.2;
2016-03-31;93.2;
2016-04-30;60.8;
2016-05-31;6.8;
2016-06-30;24.6;
2016-07-31;1.4;
2016-08-31;1;
2016-09-30;89.4;
2016-10-31;63.2;
2016-11-30;321.6;
2016-12-31;260.6;
2017-01-31;95.8;
2017-02-28;169;
2017-03-31;154.6;
2017-04-30;129.8;
2017-05-31;122.2;
2017-06-30;20.6;
2017-07-31;9.2;
2017-08-31;0;
2017-09-30;2.6;
2017-10-31;51.2;
2017-11-30;292.6;
2017-12-31;306.2;
2018-01-31;129.8;
2018-02-28;439.2;
2018-03-31;143;
2018-04-30;68.4;
2018-05-31;57.2;
2018-06-30;2;
2018-07-31;.6;
2018-08-31;12.6;
2018-09-30;41.4;
2018-10-31;null;
2018-11-30;null;
2018-12-31;241.2;
2019-01-31;9.8;
2019-02-28;131.4;
2019-03-31;297.4;
2019-04-30;67;
2019-05-31;34.2;
2019-06-30;5.2;
2019-07-31;0;
2019-08-31;.2;
2019-09-30;13.2;
2019-10-31;101.2;
2019-11-30;209.4;
2019-12-31;219;
2020-01-31;329.4;
2020-02-29;202.6;
2020-03-31;228.8;
2020-04-30;66.6;
2020-05-31;102.6;
2020-06-30;16;
2020-07-31;18.6;
2020-08-31;21.2;
2020-09-30;4.6;
2020-10-31;249;
2020-11-30;123;
2020-12-31;278.2;
2021-01-31;74.8;
2021-02-28;324;
2021-03-31;67;
2021-04-30;48.4;
2021-05-31;1.4;
2021-06-30;16.8;
2021-07-31;1.4;
2021-08-31;4.4;
2021-09-30;null;
2021-10-31;null;
2021-11-30;518.6;
2021-12-31;276.2;
2022-01-31;null;

