Nome: ITUIUTABA
Codigo Estacao: A512
Latitude: -18.95277777
Longitude: -49.52499999
Altitude: 540.08
Situacao: Operante
Data Inicial: 2006-05-11
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-05-31;null;
2006-06-30;21.8;
2006-07-31;.2;
2006-08-31;17;
2006-09-30;44;
2006-10-31;137;
2006-11-30;248.6;
2006-12-31;284;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;0;
2007-09-30;.2;
2007-10-31;198;
2007-11-30;null;
2007-12-31;173;
2008-01-31;407.2;
2008-02-29;361.8;
2008-03-31;154;
2008-04-30;107.8;
2008-05-31;39.4;
2008-06-30;.2;
2008-07-31;0;
2008-08-31;6.6;
2008-09-30;15.2;
2008-10-31;127.8;
2008-11-30;140.8;
2008-12-31;342.6;
2009-01-31;318.2;
2009-02-28;191;
2009-03-31;201.4;
2009-04-30;65.6;
2009-05-31;25.4;
2009-06-30;31.2;
2009-07-31;7.4;
2009-08-31;23.2;
2009-09-30;154.6;
2009-10-31;133;
2009-11-30;241.2;
2009-12-31;226.8;
2010-01-31;234.4;
2010-02-28;112.4;
2010-03-31;160.6;
2010-04-30;81;
2010-05-31;3.8;
2010-06-30;21.8;
2010-07-31;3.4;
2010-08-31;0;
2010-09-30;25.2;
2010-10-31;182.4;
2010-11-30;180.6;
2010-12-31;205.4;
2011-01-31;221.4;
2011-02-28;208;
2011-03-31;384.4;
2011-04-30;63.2;
2011-05-31;.4;
2011-06-30;24;
2011-07-31;0;
2011-08-31;5.4;
2011-09-30;.4;
2011-10-31;99.2;
2011-11-30;202.6;
2011-12-31;277.6;
2012-01-31;247.4;
2012-02-29;195.2;
2012-03-31;159.2;
2012-04-30;null;
2012-05-31;49;
2012-06-30;62.8;
2012-07-31;4.8;
2012-08-31;0;
2012-09-30;39;
2012-10-31;3.8;
2012-11-30;191.4;
2012-12-31;192.2;
2013-01-31;285.2;
2013-02-28;178.8;
2013-03-31;157.6;
2013-04-30;141.8;
2013-05-31;44;
2013-06-30;16;
2013-07-31;0;
2013-08-31;0;
2013-09-30;36.2;
2013-10-31;60;
2013-11-30;177.4;
2013-12-31;208.2;
2014-01-31;119.8;
2014-02-28;127.2;
2014-03-31;217.2;
2014-04-30;68.8;
2014-05-31;1;
2014-06-30;7.4;
2014-07-31;73.2;
2014-08-31;0;
2014-09-30;39.2;
2014-10-31;27.8;
2014-11-30;216.2;
2014-12-31;134.8;
2015-01-31;112.8;
2015-02-28;210;
2015-03-31;174.6;
2015-04-30;121.8;
2015-05-31;93.4;
2015-06-30;1.8;
2015-07-31;9;
2015-08-31;0;
2015-09-30;53;
2015-10-31;55;
2015-11-30;238.8;
2015-12-31;196.2;
2016-01-31;443;
2016-02-29;null;
2016-03-31;null;
2016-04-30;1;
2016-05-31;34.4;
2016-06-30;34.6;
2016-07-31;0;
2016-08-31;32.2;
2016-09-30;4.4;
2016-10-31;86.8;
2016-11-30;183;
2016-12-31;227.2;
2017-01-31;183.2;
2017-02-28;117.2;
2017-03-31;156.4;
2017-04-30;126.8;
2017-05-31;76;
2017-06-30;.8;
2017-07-31;0;
2017-08-31;null;
2017-09-30;null;
2017-10-31;67;
2017-11-30;328.2;
2017-12-31;283.2;
2018-01-31;319.8;
2018-02-28;132;
2018-03-31;47;
2018-04-30;116.8;
2018-05-31;25.4;
2018-06-30;.4;
2018-07-31;0;
2018-08-31;3.8;
2018-09-30;null;
2018-10-31;null;
2018-11-30;71.2;
2018-12-31;145.6;
2019-01-31;101.8;
2019-02-28;396.8;
2019-03-31;148;
2019-04-30;125.6;
2019-05-31;26.2;
2019-06-30;.6;
2019-07-31;1.6;
2019-08-31;2.8;
2019-09-30;27.8;
2019-10-31;95.8;
2019-11-30;201.6;
2019-12-31;237.4;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;245.6;
2021-01-31;152.2;
2021-02-28;125;
2021-03-31;46.6;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;279.2;
2022-01-31;null;

