Nome: VARGINHA
Codigo Estacao: A515
Latitude: -21.56638888
Longitude: -45.40416666
Altitude: 949.78
Situacao: Operante
Data Inicial: 2006-07-12
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-07-31;null;
2006-08-31;15.8;
2006-09-30;100.2;
2006-10-31;116.6;
2006-11-30;274.8;
2006-12-31;52;
2007-01-31;378;
2007-02-28;77.6;
2007-03-31;48.6;
2007-04-30;42.2;
2007-05-31;59.6;
2007-06-30;5.4;
2007-07-31;24;
2007-08-31;0;
2007-09-30;0;
2007-10-31;114;
2007-11-30;null;
2007-12-31;191.2;
2008-01-31;263;
2008-02-29;188.6;
2008-03-31;300.8;
2008-04-30;206;
2008-05-31;34;
2008-06-30;34.6;
2008-07-31;.2;
2008-08-31;35;
2008-09-30;84.2;
2008-10-31;138.6;
2008-11-30;248.6;
2008-12-31;134.8;
2009-01-31;285;
2009-02-28;223.2;
2009-03-31;237.8;
2009-04-30;64.8;
2009-05-31;40.2;
2009-06-30;44.6;
2009-07-31;20;
2009-08-31;39.4;
2009-09-30;123.4;
2009-10-31;164;
2009-11-30;100;
2009-12-31;17.4;
2010-01-31;206.6;
2010-02-28;144.6;
2010-03-31;119.8;
2010-04-30;21;
2010-05-31;12.8;
2010-06-30;15.4;
2010-07-31;8;
2010-08-31;0;
2010-09-30;75.4;
2010-10-31;101;
2010-11-30;227.4;
2010-12-31;193.4;
2011-01-31;372;
2011-02-28;77.2;
2011-03-31;341.4;
2011-04-30;95;
2011-05-31;4.4;
2011-06-30;18.8;
2011-07-31;.6;
2011-08-31;11;
2011-09-30;2.8;
2011-10-31;118.8;
2011-11-30;110.4;
2011-12-31;232.4;
2012-01-31;390.6;
2012-02-29;54.2;
2012-03-31;191.2;
2012-04-30;69.8;
2012-05-31;49.8;
2012-06-30;126.2;
2012-07-31;23;
2012-08-31;0;
2012-09-30;30;
2012-10-31;47.8;
2012-11-30;155.2;
2012-12-31;227.2;
2013-01-31;471.8;
2013-02-28;239.4;
2013-03-31;178.2;
2013-04-30;64.8;
2013-05-31;75.4;
2013-06-30;35.2;
2013-07-31;29.4;
2013-08-31;.6;
2013-09-30;45;
2013-10-31;105.8;
2013-11-30;199.2;
2013-12-31;200.4;
2014-01-31;90.8;
2014-02-28;13.6;
2014-03-31;124.6;
2014-04-30;87.4;
2014-05-31;15.4;
2014-06-30;5.4;
2014-07-31;35.2;
2014-08-31;14.2;
2014-09-30;46;
2014-10-31;42.2;
2014-11-30;114.2;
2014-12-31;180;
2015-01-31;114.6;
2015-02-28;137.2;
2015-03-31;196.4;
2015-04-30;78.4;
2015-05-31;50.4;
2015-06-30;10.6;
2015-07-31;6;
2015-08-31;18.2;
2015-09-30;133.6;
2015-10-31;41;
2015-11-30;317.4;
2015-12-31;181.2;
2016-01-31;345;
2016-02-29;164.2;
2016-03-31;192.6;
2016-04-30;23;
2016-05-31;null;
2016-06-30;59.8;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;149.4;
2016-11-30;189.4;
2016-12-31;165.6;
2017-01-31;140.4;
2017-02-28;73.8;
2017-03-31;128.2;
2017-04-30;36.2;
2017-05-31;66;
2017-06-30;47.6;
2017-07-31;.2;
2017-08-31;13;
2017-09-30;67.6;
2017-10-31;134.4;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;150;
2018-03-31;77.4;
2018-04-30;15.6;
2018-05-31;27;
2018-06-30;26.8;
2018-07-31;2.4;
2018-08-31;64;
2018-09-30;97;
2018-10-31;112.2;
2018-11-30;158.2;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;104.2;
2019-04-30;44.2;
2019-05-31;null;
2019-06-30;0;
2019-07-31;0;
2019-08-31;8.4;
2019-09-30;72;
2019-10-31;21.8;
2019-11-30;84.2;
2019-12-31;218.6;
2020-01-31;156.6;
2020-02-29;452.6;
2020-03-31;96.6;
2020-04-30;31.4;
2020-05-31;12.8;
2020-06-30;20.8;
2020-07-31;.6;
2020-08-31;14.8;
2020-09-30;34.2;
2020-10-31;23.2;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;59.2;
2021-04-30;10.2;
2021-05-31;29.6;
2021-06-30;32.2;
2021-07-31;.8;
2021-08-31;.4;
2021-09-30;29;
2021-10-31;178;
2021-11-30;45.6;
2021-12-31;206;
2022-01-31;null;

