Nome: MURIAE
Codigo Estacao: A517
Latitude: -21.105
Longitude: -42.37583332
Altitude: 282.79
Situacao: Operante
Data Inicial: 2006-08-29
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-08-31;null;
2006-09-30;82.2;
2006-10-31;89.2;
2006-11-30;191.6;
2006-12-31;180;
2007-01-31;482.2;
2007-02-28;74.4;
2007-03-31;69.6;
2007-04-30;98;
2007-05-31;28.4;
2007-06-30;9.4;
2007-07-31;3.6;
2007-08-31;5.4;
2007-09-30;16.8;
2007-10-31;153;
2007-11-30;null;
2007-12-31;243.8;
2008-01-31;292.2;
2008-02-29;241.8;
2008-03-31;265;
2008-04-30;115;
2008-05-31;22;
2008-06-30;20.4;
2008-07-31;18.8;
2008-08-31;10.2;
2008-09-30;76;
2008-10-31;68;
2008-11-30;352.4;
2008-12-31;577.2;
2009-01-31;342.4;
2009-02-28;98.6;
2009-03-31;276;
2009-04-30;188.8;
2009-05-31;16;
2009-06-30;37;
2009-07-31;4.8;
2009-08-31;20.4;
2009-09-30;98;
2009-10-31;173;
2009-11-30;143;
2009-12-31;313.6;
2010-01-31;122.8;
2010-02-28;64.4;
2010-03-31;158;
2010-04-30;151.8;
2010-05-31;51.8;
2010-06-30;.2;
2010-07-31;23.2;
2010-08-31;10;
2010-09-30;30.2;
2010-10-31;129;
2010-11-30;420;
2010-12-31;526.4;
2011-01-31;155.2;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;26.6;
2011-06-30;13.6;
2011-07-31;5;
2011-08-31;19;
2011-09-30;9.4;
2011-10-31;222;
2011-11-30;301.4;
2011-12-31;479.8;
2012-01-31;652;
2012-02-29;25;
2012-03-31;226;
2012-04-30;87.6;
2012-05-31;159;
2012-06-30;13.2;
2012-07-31;1.2;
2012-08-31;48.2;
2012-09-30;34;
2012-10-31;83.8;
2012-11-30;362.4;
2012-12-31;74.8;
2013-01-31;235;
2013-02-28;141.2;
2013-03-31;222;
2013-04-30;46.6;
2013-05-31;80.2;
2013-06-30;33.6;
2013-07-31;12.8;
2013-08-31;59.2;
2013-09-30;33.4;
2013-10-31;87.2;
2013-11-30;359.6;
2013-12-31;572.2;
2014-01-31;81;
2014-02-28;40.6;
2014-03-31;109.8;
2014-04-30;97.6;
2014-05-31;9.8;
2014-06-30;4.6;
2014-07-31;60;
2014-08-31;null;
2014-09-30;null;
2014-10-31;105.6;
2014-11-30;265;
2014-12-31;188.6;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;136.4;
2015-05-31;83.4;
2015-06-30;64.2;
2015-07-31;14.4;
2015-08-31;20.2;
2015-09-30;116.4;
2015-10-31;143.8;
2015-11-30;145.4;
2015-12-31;364.2;
2016-01-31;296.6;
2016-02-29;133.8;
2016-03-31;null;
2016-04-30;null;
2016-05-31;20.6;
2016-06-30;69;
2016-07-31;0;
2016-08-31;16;
2016-09-30;null;
2016-10-31;93.2;
2016-11-30;null;
2016-12-31;255.8;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;20.8;
2017-08-31;4.2;
2017-09-30;.8;
2017-10-31;19.8;
2017-11-30;224;
2017-12-31;236.4;
2018-01-31;176.8;
2018-02-28;200.4;
2018-03-31;349.4;
2018-04-30;54.6;
2018-05-31;12.8;
2018-06-30;2.2;
2018-07-31;18.4;
2018-08-31;71.6;
2018-09-30;93;
2018-10-31;54.6;
2018-11-30;261.4;
2018-12-31;203.8;
2019-01-31;95.6;
2019-02-28;159.6;
2019-03-31;194.4;
2019-04-30;112.4;
2019-05-31;89.2;
2019-06-30;13;
2019-07-31;0;
2019-08-31;41.6;
2019-09-30;62.6;
2019-10-31;52.2;
2019-11-30;305;
2019-12-31;277;
2020-01-31;396.8;
2020-02-29;339.4;
2020-03-31;300.2;
2020-04-30;120.2;
2020-05-31;77.4;
2020-06-30;4.2;
2020-07-31;.8;
2020-08-31;24;
2020-09-30;37.8;
2020-10-31;139.8;
2020-11-30;180.4;
2020-12-31;180.4;
2021-01-31;186.6;
2021-02-28;233.2;
2021-03-31;65.4;
2021-04-30;59.6;
2021-05-31;0;
2021-06-30;0;
2021-07-31;0;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;115.6;
2021-12-31;0;
2022-01-31;null;

