Nome: CONCEICAO DAS ALAGOAS
Codigo Estacao: A520
Latitude: -19.98586
Longitude: -48.151574
Altitude: 572.54
Situacao: Operante
Data Inicial: 2006-07-17
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-07-31;null;
2006-08-31;29.6;
2006-09-30;90.4;
2006-10-31;288.4;
2006-11-30;223.2;
2006-12-31;null;
2007-01-31;null;
2007-02-28;270.2;
2007-03-31;118;
2007-04-30;36;
2007-05-31;22.6;
2007-06-30;0;
2007-07-31;18.8;
2007-08-31;1.4;
2007-09-30;5.2;
2007-10-31;90.8;
2007-11-30;null;
2007-12-31;311.8;
2008-01-31;310.8;
2008-02-29;256.2;
2008-03-31;279;
2008-04-30;191.6;
2008-05-31;34.4;
2008-06-30;.8;
2008-07-31;0;
2008-08-31;7.6;
2008-09-30;17.2;
2008-10-31;50.2;
2008-11-30;51;
2008-12-31;217.2;
2009-01-31;335.6;
2009-02-28;188.2;
2009-03-31;195.2;
2009-04-30;78.4;
2009-05-31;37.2;
2009-06-30;43.8;
2009-07-31;11.2;
2009-08-31;19;
2009-09-30;84.8;
2009-10-31;18.6;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;253.8;
2010-03-31;153.8;
2010-04-30;21.6;
2010-05-31;13.2;
2010-06-30;24.8;
2010-07-31;1.2;
2010-08-31;1.6;
2010-09-30;75.6;
2010-10-31;97.4;
2010-11-30;255;
2010-12-31;231.4;
2011-01-31;165.4;
2011-02-28;73.4;
2011-03-31;343.2;
2011-04-30;113.6;
2011-05-31;4.8;
2011-06-30;25.2;
2011-07-31;.4;
2011-08-31;1;
2011-09-30;3;
2011-10-31;111.4;
2011-11-30;77.6;
2011-12-31;202;
2012-01-31;400.8;
2012-02-29;57.4;
2012-03-31;64.4;
2012-04-30;80;
2012-05-31;19.4;
2012-06-30;84.2;
2012-07-31;13.8;
2012-08-31;0;
2012-09-30;78;
2012-10-31;44.8;
2012-11-30;218;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;null;
2013-04-30;209.4;
2013-05-31;104.8;
2013-06-30;30.4;
2013-07-31;7.8;
2013-08-31;.2;
2013-09-30;90.4;
2013-10-31;75.4;
2013-11-30;181.2;
2013-12-31;234.2;
2014-01-31;184;
2014-02-28;147.4;
2014-03-31;158.6;
2014-04-30;37.4;
2014-05-31;11.2;
2014-06-30;2;
2014-07-31;66.6;
2014-08-31;0;
2014-09-30;73.4;
2014-10-31;50;
2014-11-30;257.6;
2014-12-31;246.6;
2015-01-31;32.8;
2015-02-28;250.8;
2015-03-31;242;
2015-04-30;109.2;
2015-05-31;78.4;
2015-06-30;4.8;
2015-07-31;15.4;
2015-08-31;0;
2015-09-30;114.2;
2015-10-31;92;
2015-11-30;184.8;
2015-12-31;220.8;
2016-01-31;465.4;
2016-02-29;216.6;
2016-03-31;162.6;
2016-04-30;2.2;
2016-05-31;23.6;
2016-06-30;65.4;
2016-07-31;0;
2016-08-31;38;
2016-09-30;5;
2016-10-31;90;
2016-11-30;202.2;
2016-12-31;238.8;
2017-01-31;177.8;
2017-02-28;60;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;0;
2017-08-31;null;
2017-09-30;null;
2017-10-31;55.4;
2017-11-30;196;
2017-12-31;110;
2018-01-31;null;
2018-02-28;null;
2018-03-31;39.6;
2018-04-30;null;
2018-05-31;null;
2018-06-30;.4;
2018-07-31;0;
2018-08-31;14.8;
2018-09-30;44.6;
2018-10-31;183.2;
2018-11-30;243.4;
2018-12-31;192.2;
2019-01-31;71;
2019-02-28;196.6;
2019-03-31;271.2;
2019-04-30;213;
2019-05-31;35.4;
2019-06-30;3.8;
2019-07-31;2.4;
2019-08-31;5;
2019-09-30;20.8;
2019-10-31;42.8;
2019-11-30;189.6;
2019-12-31;195.6;
2020-01-31;369.4;
2020-02-29;292.2;
2020-03-31;87.4;
2020-04-30;27.4;
2020-05-31;32.8;
2020-06-30;0;
2020-07-31;0;
2020-08-31;4.6;
2020-09-30;4.8;
2020-10-31;66.8;
2020-11-30;93.4;
2020-12-31;303.2;
2021-01-31;144.2;
2021-02-28;297.2;
2021-03-31;92.4;
2021-04-30;58;
2021-05-31;7.4;
2021-06-30;19.8;
2021-07-31;0;
2021-08-31;2.2;
2021-09-30;3.8;
2021-10-31;127.8;
2021-11-30;133.2;
2021-12-31;156.8;
2022-01-31;null;

