Nome: PATROCINIO
Codigo Estacao: A523
Latitude: -18.996684
Longitude: -46.985935
Altitude: 978.11
Situacao: Operante
Data Inicial: 2006-08-21
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-08-31;null;
2006-09-30;112.8;
2006-10-31;165;
2006-11-30;103.4;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;12.6;
2007-07-31;2.6;
2007-08-31;0;
2007-09-30;3.4;
2007-10-31;74.8;
2007-11-30;null;
2007-12-31;316;
2008-01-31;356.4;
2008-02-29;321.4;
2008-03-31;318.4;
2008-04-30;91.6;
2008-05-31;25.4;
2008-06-30;9.2;
2008-07-31;0;
2008-08-31;7.4;
2008-09-30;60.6;
2008-10-31;27.8;
2008-11-30;100.4;
2008-12-31;421.2;
2009-01-31;245.8;
2009-02-28;169;
2009-03-31;238.2;
2009-04-30;33.8;
2009-05-31;57.4;
2009-06-30;49.4;
2009-07-31;7.6;
2009-08-31;30.6;
2009-09-30;71;
2009-10-31;154.4;
2009-11-30;147.4;
2009-12-31;378.8;
2010-01-31;207.4;
2010-02-28;101;
2010-03-31;186;
2010-04-30;80;
2010-05-31;9.8;
2010-06-30;16;
2010-07-31;0;
2010-08-31;0;
2010-09-30;39.2;
2010-10-31;155.4;
2010-11-30;247.2;
2010-12-31;212.8;
2011-01-31;142.2;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;1.8;
2011-06-30;11;
2011-07-31;.4;
2011-08-31;0;
2011-09-30;17.6;
2011-10-31;158.2;
2011-11-30;126.4;
2011-12-31;529;
2012-01-31;247.6;
2012-02-29;74.8;
2012-03-31;94.2;
2012-04-30;40.6;
2012-05-31;12.6;
2012-06-30;85;
2012-07-31;.4;
2012-08-31;0;
2012-09-30;44.6;
2012-10-31;95.4;
2012-11-30;223.6;
2012-12-31;183.2;
2013-01-31;296.4;
2013-02-28;103.2;
2013-03-31;198.8;
2013-04-30;117.4;
2013-05-31;79;
2013-06-30;23.4;
2013-07-31;.4;
2013-08-31;4.8;
2013-09-30;15;
2013-10-31;155.8;
2013-11-30;234;
2013-12-31;278;
2014-01-31;80;
2014-02-28;80.2;
2014-03-31;116.6;
2014-04-30;93;
2014-05-31;19.8;
2014-06-30;2;
2014-07-31;80;
2014-08-31;0;
2014-09-30;8.2;
2014-10-31;89.2;
2014-11-30;299;
2014-12-31;208.6;
2015-01-31;66.6;
2015-02-28;272.4;
2015-03-31;274.6;
2015-04-30;100.6;
2015-05-31;130.6;
2015-06-30;43.6;
2015-07-31;3.2;
2015-08-31;0;
2015-09-30;79.8;
2015-10-31;50.8;
2015-11-30;204.4;
2015-12-31;110.8;
2016-01-31;381.6;
2016-02-29;113.2;
2016-03-31;82.2;
2016-04-30;1.8;
2016-05-31;.6;
2016-06-30;null;
2016-07-31;0;
2016-08-31;0;
2016-09-30;.2;
2016-10-31;null;
2016-11-30;219.6;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;111.8;
2017-04-30;48;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;146.6;
2017-11-30;191.2;
2017-12-31;332.8;
2018-01-31;175.2;
2018-02-28;285.6;
2018-03-31;186.6;
2018-04-30;null;
2018-05-31;null;
2018-06-30;.2;
2018-07-31;0;
2018-08-31;19.8;
2018-09-30;35.6;
2018-10-31;283;
2018-11-30;377.2;
2018-12-31;259.4;
2019-01-31;93;
2019-02-28;224;
2019-03-31;300.2;
2019-04-30;110.8;
2019-05-31;63.2;
2019-06-30;11;
2019-07-31;0;
2019-08-31;1.4;
2019-09-30;47;
2019-10-31;73.6;
2019-11-30;244.2;
2019-12-31;329.8;
2020-01-31;319.8;
2020-02-29;469.4;
2020-03-31;212;
2020-04-30;96.8;
2020-05-31;36.2;
2020-06-30;7;
2020-07-31;3.8;
2020-08-31;1.4;
2020-09-30;26.6;
2020-10-31;130.4;
2020-11-30;148.4;
2020-12-31;421.6;
2021-01-31;126.4;
2021-02-28;291.6;
2021-03-31;51.4;
2021-04-30;40.4;
2021-05-31;1;
2021-06-30;2;
2021-07-31;0;
2021-08-31;3.4;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;308.6;
2022-01-31;null;

