Nome: FORMIGA
Codigo Estacao: A524
Latitude: -20.455
Longitude: -45.45388888
Altitude: 878.14
Situacao: Operante
Data Inicial: 2006-08-16
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-08-31;null;
2006-09-30;67.6;
2006-10-31;130.8;
2006-11-30;163.4;
2006-12-31;283.8;
2007-01-31;402.2;
2007-02-28;89.2;
2007-03-31;35.8;
2007-04-30;63.8;
2007-05-31;47;
2007-06-30;1.2;
2007-07-31;29.6;
2007-08-31;.2;
2007-09-30;0;
2007-10-31;111.2;
2007-11-30;null;
2007-12-31;241;
2008-01-31;435.2;
2008-02-29;219.6;
2008-03-31;132.8;
2008-04-30;115.6;
2008-05-31;2.8;
2008-06-30;7.4;
2008-07-31;0;
2008-08-31;18;
2008-09-30;29.2;
2008-10-31;51.2;
2008-11-30;162.6;
2008-12-31;536.4;
2009-01-31;252.6;
2009-02-28;240.6;
2009-03-31;178.8;
2009-04-30;51.2;
2009-05-31;33.2;
2009-06-30;23;
2009-07-31;5.2;
2009-08-31;30.8;
2009-09-30;101.6;
2009-10-31;160.4;
2009-11-30;104.2;
2009-12-31;253.4;
2010-01-31;157.4;
2010-02-28;89;
2010-03-31;106.8;
2010-04-30;14;
2010-05-31;31.6;
2010-06-30;3.2;
2010-07-31;5.2;
2010-08-31;0;
2010-09-30;44.6;
2010-10-31;112;
2010-11-30;180.4;
2010-12-31;201.4;
2011-01-31;261.8;
2011-02-28;146.4;
2011-03-31;420.8;
2011-04-30;34;
2011-05-31;1;
2011-06-30;1.2;
2011-07-31;0;
2011-08-31;2.4;
2011-09-30;.4;
2011-10-31;142;
2011-11-30;184;
2011-12-31;435.4;
2012-01-31;515.6;
2012-02-29;99.4;
2012-03-31;126.8;
2012-04-30;63.8;
2012-05-31;30.6;
2012-06-30;85.8;
2012-07-31;5;
2012-08-31;0;
2012-09-30;26.4;
2012-10-31;15.8;
2012-11-30;190.2;
2012-12-31;133.4;
2013-01-31;288;
2013-02-28;130.8;
2013-03-31;143.6;
2013-04-30;55;
2013-05-31;82.2;
2013-06-30;44;
2013-07-31;34.6;
2013-08-31;3.4;
2013-09-30;67.4;
2013-10-31;80.6;
2013-11-30;167.6;
2013-12-31;244.8;
2014-01-31;17;
2014-02-28;44.8;
2014-03-31;32.8;
2014-04-30;88.4;
2014-05-31;28.8;
2014-06-30;10.6;
2014-07-31;55.6;
2014-08-31;.6;
2014-09-30;20.8;
2014-10-31;33.8;
2014-11-30;153.2;
2014-12-31;121;
2015-01-31;175.2;
2015-02-28;157.6;
2015-03-31;359.4;
2015-04-30;65.2;
2015-05-31;48.4;
2015-06-30;41.8;
2015-07-31;.6;
2015-08-31;null;
2015-09-30;null;
2015-10-31;27.6;
2015-11-30;143;
2015-12-31;250;
2016-01-31;320.4;
2016-02-29;null;
2016-03-31;null;
2016-04-30;26.4;
2016-05-31;7.4;
2016-06-30;97.8;
2016-07-31;.2;
2016-08-31;14.6;
2016-09-30;6.4;
2016-10-31;113.6;
2016-11-30;248.4;
2016-12-31;123.6;
2017-01-31;111.6;
2017-02-28;199;
2017-03-31;58.8;
2017-04-30;90.8;
2017-05-31;null;
2017-06-30;null;
2017-07-31;0;
2017-08-31;0;
2017-09-30;20;
2017-10-31;87;
2017-11-30;142.6;
2017-12-31;300;
2018-01-31;271.4;
2018-02-28;116.2;
2018-03-31;93.8;
2018-04-30;31.4;
2018-05-31;19.8;
2018-06-30;13.6;
2018-07-31;.6;
2018-08-31;53.4;
2018-09-30;75;
2018-10-31;238.6;
2018-11-30;383.2;
2018-12-31;229.6;
2019-01-31;51.2;
2019-02-28;268.8;
2019-03-31;278;
2019-04-30;83.8;
2019-05-31;33;
2019-06-30;21.4;
2019-07-31;null;
2019-08-31;null;
2019-09-30;53;
2019-10-31;39.2;
2019-11-30;171.2;
2019-12-31;119.8;
2020-01-31;248;
2020-02-29;392.4;
2020-03-31;76.8;
2020-04-30;30.4;
2020-05-31;36.4;
2020-06-30;2.6;
2020-07-31;19.8;
2020-08-31;12.8;
2020-09-30;14.6;
2020-10-31;88;
2020-11-30;232;
2020-12-31;3.8;
2021-01-31;null;
2021-02-28;129.2;
2021-03-31;104.8;
2021-04-30;null;
2021-05-31;40.2;
2021-06-30;17;
2021-07-31;0;
2021-08-31;2;
2021-09-30;.6;
2021-10-31;307.8;
2021-11-30;199.8;
2021-12-31;295;
2022-01-31;null;

