Nome: TEOFILO OTONI
Codigo Estacao: A527
Latitude: -17.89284
Longitude: -41.515423
Altitude: 467.17
Situacao: Operante
Data Inicial: 2006-08-24
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-08-31;null;
2006-09-30;74.4;
2006-10-31;68.6;
2006-11-30;329.2;
2006-12-31;371.6;
2007-01-31;71.2;
2007-02-28;158.6;
2007-03-31;84.6;
2007-04-30;60.6;
2007-05-31;37.2;
2007-06-30;3.4;
2007-07-31;14.4;
2007-08-31;13.8;
2007-09-30;20.4;
2007-10-31;4;
2007-11-30;null;
2007-12-31;86.8;
2008-01-31;108;
2008-02-29;165.4;
2008-03-31;103.6;
2008-04-30;76.8;
2008-05-31;.6;
2008-06-30;null;
2008-07-31;6.8;
2008-08-31;16.8;
2008-09-30;30.4;
2008-10-31;2.8;
2008-11-30;437;
2008-12-31;225;
2009-01-31;220.8;
2009-02-28;18.2;
2009-03-31;176.6;
2009-04-30;136.8;
2009-05-31;11.8;
2009-06-30;47.8;
2009-07-31;11.8;
2009-08-31;29.4;
2009-09-30;4.6;
2009-10-31;290.6;
2009-11-30;139.2;
2009-12-31;191.8;
2010-01-31;12;
2010-02-28;42.8;
2010-03-31;252.4;
2010-04-30;86.2;
2010-05-31;83.2;
2010-06-30;13.8;
2010-07-31;42;
2010-08-31;8.4;
2010-09-30;17.8;
2010-10-31;48.8;
2010-11-30;284.8;
2010-12-31;198.8;
2011-01-31;59;
2011-02-28;null;
2011-03-31;172.6;
2011-04-30;133;
2011-05-31;7.4;
2011-06-30;.8;
2011-07-31;44.6;
2011-08-31;5.6;
2011-09-30;5;
2011-10-31;155.6;
2011-11-30;267.2;
2011-12-31;199.2;
2012-01-31;177.2;
2012-02-29;64.6;
2012-03-31;15.6;
2012-04-30;64.6;
2012-05-31;63;
2012-06-30;12;
2012-07-31;20.4;
2012-08-31;81.6;
2012-09-30;34.4;
2012-10-31;18.8;
2012-11-30;512;
2012-12-31;45.2;
2013-01-31;195;
2013-02-28;14.4;
2013-03-31;139.2;
2013-04-30;45.4;
2013-05-31;40;
2013-06-30;38.4;
2013-07-31;10.8;
2013-08-31;11.4;
2013-09-30;31;
2013-10-31;65.6;
2013-11-30;119.6;
2013-12-31;513.6;
2014-01-31;100.6;
2014-02-28;52.4;
2014-03-31;110.4;
2014-04-30;57.4;
2014-05-31;11.6;
2014-06-30;45.8;
2014-07-31;27.6;
2014-08-31;27.8;
2014-09-30;1.4;
2014-10-31;146.6;
2014-11-30;146.6;
2014-12-31;202.4;
2015-01-31;0;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;43.8;
2015-06-30;32.6;
2015-07-31;23;
2015-08-31;28;
2015-09-30;1;
2015-10-31;22.4;
2015-11-30;190;
2015-12-31;80.2;
2016-01-31;null;
2016-02-29;null;
2016-03-31;34;
2016-04-30;13;
2016-05-31;50.4;
2016-06-30;20.2;
2016-07-31;32.2;
2016-08-31;9.4;
2016-09-30;10.2;
2016-10-31;60.8;
2016-11-30;137;
2016-12-31;186.2;
2017-01-31;41.6;
2017-02-28;126;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;2.4;
2017-09-30;38.4;
2017-10-31;81;
2017-11-30;167.2;
2017-12-31;130.8;
2018-01-31;16.2;
2018-02-28;42.4;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;11.8;
2018-08-31;10.6;
2018-09-30;2.2;
2018-10-31;104.2;
2018-11-30;182;
2018-12-31;259.2;
2019-01-31;18.8;
2019-02-28;58.8;
2019-03-31;118;
2019-04-30;84;
2019-05-31;21.4;
2019-06-30;42;
2019-07-31;19.8;
2019-08-31;23.8;
2019-09-30;21;
2019-10-31;19.6;
2019-11-30;127.4;
2019-12-31;92;
2020-01-31;277.8;
2020-02-29;140.4;
2020-03-31;312;
2020-04-30;84.2;
2020-05-31;60.8;
2020-06-30;32.2;
2020-07-31;42.6;
2020-08-31;40.6;
2020-09-30;23.6;
2020-10-31;108.6;
2020-11-30;194.8;
2020-12-31;79.6;
2021-01-31;28.6;
2021-02-28;270.2;
2021-03-31;111.2;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;185.2;
2021-12-31;349.8;
2022-01-31;null;

