Nome: TRES MARIAS
Codigo Estacao: A528
Latitude: -18.200855
Longitude: -45.459836
Altitude: 931.01
Situacao: Operante
Data Inicial: 2006-08-24
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-08-31;null;
2006-09-30;46.6;
2006-10-31;136;
2006-11-30;296;
2006-12-31;346;
2007-01-31;151;
2007-02-28;179.6;
2007-03-31;17.6;
2007-04-30;82;
2007-05-31;1.2;
2007-06-30;.2;
2007-07-31;1;
2007-08-31;0;
2007-09-30;0;
2007-10-31;19.2;
2007-11-30;null;
2007-12-31;.6;
2008-01-31;192.8;
2008-02-29;261.4;
2008-03-31;200.4;
2008-04-30;72.6;
2008-05-31;6.4;
2008-06-30;.2;
2008-07-31;0;
2008-08-31;0;
2008-09-30;61.8;
2008-10-31;13.6;
2008-11-30;312.4;
2008-12-31;325.4;
2009-01-31;271.6;
2009-02-28;202.2;
2009-03-31;312;
2009-04-30;149.6;
2009-05-31;22.2;
2009-06-30;54.2;
2009-07-31;0;
2009-08-31;30.2;
2009-09-30;42.2;
2009-10-31;78.8;
2009-11-30;108.6;
2009-12-31;245;
2010-01-31;207.2;
2010-02-28;27.2;
2010-03-31;186.2;
2010-04-30;44.8;
2010-05-31;41.2;
2010-06-30;10.6;
2010-07-31;0;
2010-08-31;0;
2010-09-30;23.4;
2010-10-31;129.2;
2010-11-30;241.2;
2010-12-31;253.2;
2011-01-31;202.4;
2011-02-28;28.8;
2011-03-31;494.8;
2011-04-30;74.2;
2011-05-31;.2;
2011-06-30;3;
2011-07-31;0;
2011-08-31;null;
2011-09-30;null;
2011-10-31;123.6;
2011-11-30;149.4;
2011-12-31;382.2;
2012-01-31;233;
2012-02-29;71;
2012-03-31;122.6;
2012-04-30;30;
2012-05-31;29.6;
2012-06-30;8.2;
2012-07-31;0;
2012-08-31;0;
2012-09-30;3.2;
2012-10-31;12.2;
2012-11-30;270.4;
2012-12-31;61.6;
2013-01-31;341;
2013-02-28;60.4;
2013-03-31;229.4;
2013-04-30;103.8;
2013-05-31;33.4;
2013-06-30;7.6;
2013-07-31;2.4;
2013-08-31;3.8;
2013-09-30;39.4;
2013-10-31;105.8;
2013-11-30;167.4;
2013-12-31;418;
2014-01-31;101.2;
2014-02-28;86.6;
2014-03-31;186.6;
2014-04-30;26;
2014-05-31;1.2;
2014-06-30;1;
2014-07-31;22.4;
2014-08-31;0;
2014-09-30;7.8;
2014-10-31;8;
2014-11-30;219.6;
2014-12-31;151;
2015-01-31;46.4;
2015-02-28;165;
2015-03-31;169.4;
2015-04-30;40.6;
2015-05-31;49.8;
2015-06-30;1.6;
2015-07-31;0;
2015-08-31;0;
2015-09-30;49.6;
2015-10-31;130;
2015-11-30;129.4;
2015-12-31;135.8;
2016-01-31;357.2;
2016-02-29;29.8;
2016-03-31;64.8;
2016-04-30;57.8;
2016-05-31;.6;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;104.8;
2016-11-30;362.6;
2016-12-31;224.6;
2017-01-31;118.4;
2017-02-28;136.6;
2017-03-31;137.4;
2017-04-30;48.8;
2017-05-31;104.4;
2017-06-30;0;
2017-07-31;0;
2017-08-31;0;
2017-09-30;null;
2017-10-31;69.2;
2017-11-30;155.4;
2017-12-31;217.4;
2018-01-31;91.8;
2018-02-28;251.6;
2018-03-31;249.4;
2018-04-30;51;
2018-05-31;8.8;
2018-06-30;0;
2018-07-31;0;
2018-08-31;.8;
2018-09-30;33;
2018-10-31;106;
2018-11-30;419.6;
2018-12-31;393;
2019-01-31;49.6;
2019-02-28;195.2;
2019-03-31;134.4;
2019-04-30;155;
2019-05-31;51;
2019-06-30;0;
2019-07-31;0;
2019-08-31;2.4;
2019-09-30;17.6;
2019-10-31;27.8;
2019-11-30;203;
2019-12-31;224.2;
2020-01-31;380.8;
2020-02-29;401.4;
2020-03-31;198.8;
2020-04-30;14.2;
2020-05-31;.8;
2020-06-30;0;
2020-07-31;0;
2020-08-31;3.2;
2020-09-30;.6;
2020-10-31;null;
2020-11-30;158.8;
2020-12-31;88.6;
2021-01-31;196.8;
2021-02-28;299.6;
2021-03-31;45.4;
2021-04-30;25.4;
2021-05-31;0;
2021-06-30;0;
2021-07-31;0;
2021-08-31;0;
2021-09-30;.4;
2021-10-31;123.2;
2021-11-30;286.4;
2021-12-31;316.6;
2022-01-31;null;

