Nome: PASSA QUATRO
Codigo Estacao: A529
Latitude: -22.395799
Longitude: -44.961909
Altitude: 1017.1
Situacao: Operante
Data Inicial: 2007-05-29
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-05-31;null;
2007-06-30;null;
2007-07-31;72.4;
2007-08-31;0;
2007-09-30;17.8;
2007-10-31;114;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;139.4;
2008-05-31;42;
2008-06-30;41.4;
2008-07-31;.2;
2008-08-31;99;
2008-09-30;76.4;
2008-10-31;124;
2008-11-30;221.4;
2008-12-31;222.8;
2009-01-31;261.6;
2009-02-28;199.2;
2009-03-31;61.4;
2009-04-30;34.2;
2009-05-31;50.2;
2009-06-30;31.6;
2009-07-31;70.8;
2009-08-31;58.2;
2009-09-30;154.4;
2009-10-31;226.8;
2009-11-30;124.8;
2009-12-31;431.6;
2010-01-31;190.2;
2010-02-28;95.4;
2010-03-31;198.2;
2010-04-30;79.4;
2010-05-31;20.6;
2010-06-30;16.4;
2010-07-31;45.4;
2010-08-31;0;
2010-09-30;74.8;
2010-10-31;95.2;
2010-11-30;183.4;
2010-12-31;336.2;
2011-01-31;464.8;
2011-02-28;142.6;
2011-03-31;121.8;
2011-04-30;60.2;
2011-05-31;20;
2011-06-30;42.8;
2011-07-31;.4;
2011-08-31;11.2;
2011-09-30;4.8;
2011-10-31;105.2;
2011-11-30;110;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;72.4;
2012-05-31;null;
2012-06-30;71.2;
2012-07-31;37.6;
2012-08-31;5.2;
2012-09-30;34.6;
2012-10-31;53.8;
2012-11-30;null;
2012-12-31;240.4;
2013-01-31;377;
2013-02-28;208;
2013-03-31;132.2;
2013-04-30;129.4;
2013-05-31;48;
2013-06-30;21;
2013-07-31;78.4;
2013-08-31;2.6;
2013-09-30;86;
2013-10-31;137;
2013-11-30;102.4;
2013-12-31;94.8;
2014-01-31;37;
2014-02-28;57.4;
2014-03-31;112;
2014-04-30;48;
2014-05-31;27.4;
2014-06-30;8.2;
2014-07-31;38.6;
2014-08-31;20.4;
2014-09-30;43;
2014-10-31;37;
2014-11-30;139.2;
2014-12-31;153.4;
2015-01-31;109;
2015-02-28;174.2;
2015-03-31;221.6;
2015-04-30;45.4;
2015-05-31;4.4;
2015-06-30;15.8;
2015-07-31;0;
2015-08-31;0;
2015-09-30;68.6;
2015-10-31;97.4;
2015-11-30;204.8;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;34.6;
2016-06-30;124.4;
2016-07-31;.8;
2016-08-31;32.8;
2016-09-30;34.2;
2016-10-31;117.4;
2016-11-30;172.2;
2016-12-31;107;
2017-01-31;222.4;
2017-02-28;129.8;
2017-03-31;173.2;
2017-04-30;46.2;
2017-05-31;79;
2017-06-30;21.4;
2017-07-31;2.2;
2017-08-31;6.6;
2017-09-30;48;
2017-10-31;115;
2017-11-30;142.6;
2017-12-31;170;
2018-01-31;308.8;
2018-02-28;75;
2018-03-31;196.4;
2018-04-30;25.8;
2018-05-31;26.8;
2018-06-30;null;
2018-07-31;11.4;
2018-08-31;90;
2018-09-30;62.4;
2018-10-31;146.4;
2018-11-30;134.6;
2018-12-31;183.2;
2019-01-31;106.4;
2019-02-28;156;
2019-03-31;103.6;
2019-04-30;56.8;
2019-05-31;25.4;
2019-06-30;9.8;
2019-07-31;31.8;
2019-08-31;26.6;
2019-09-30;89;
2019-10-31;116;
2019-11-30;132.2;
2019-12-31;235.8;
2020-01-31;232.4;
2020-02-29;246.2;
2020-03-31;109.4;
2020-04-30;15.2;
2020-05-31;24.8;
2020-06-30;21.6;
2020-07-31;6.6;
2020-08-31;15.2;
2020-09-30;43.6;
2020-10-31;117.2;
2020-11-30;110;
2020-12-31;310.8;
2021-01-31;114.4;
2021-02-28;162.2;
2021-03-31;101.2;
2021-04-30;11.4;
2021-05-31;22;
2021-06-30;25.6;
2021-07-31;13.8;
2021-08-31;21.6;
2021-09-30;35;
2021-10-31;260.8;
2021-11-30;189.6;
2021-12-31;256.2;
2022-01-31;null;

