Nome: CALDAS
Codigo Estacao: A530
Latitude: -21.918066
Longitude: -46.382996
Altitude: 1077.34
Situacao: Operante
Data Inicial: 2006-11-27
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-11-30;null;
2006-12-31;333.6;
2007-01-31;597.2;
2007-02-28;233;
2007-03-31;85.8;
2007-04-30;58;
2007-05-31;63.8;
2007-06-30;14.2;
2007-07-31;130.6;
2007-08-31;.4;
2007-09-30;8.4;
2007-10-31;59;
2007-11-30;null;
2007-12-31;147.2;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;231.2;
2008-05-31;6.6;
2008-06-30;23.2;
2008-07-31;1.6;
2008-08-31;50.4;
2008-09-30;76.2;
2008-10-31;186;
2008-11-30;161.8;
2008-12-31;237.6;
2009-01-31;316.2;
2009-02-28;356;
2009-03-31;164.8;
2009-04-30;76;
2009-05-31;77.2;
2009-06-30;68;
2009-07-31;34.6;
2009-08-31;97.2;
2009-09-30;163;
2009-10-31;259.2;
2009-11-30;208;
2009-12-31;364.6;
2010-01-31;219.2;
2010-02-28;171.8;
2010-03-31;116.2;
2010-04-30;38;
2010-05-31;12.8;
2010-06-30;9.2;
2010-07-31;6.8;
2010-08-31;0;
2010-09-30;.2;
2010-10-31;0;
2010-11-30;.2;
2010-12-31;89;
2011-01-31;157.8;
2011-02-28;24.8;
2011-03-31;40.8;
2011-04-30;null;
2011-05-31;17.2;
2011-06-30;9.6;
2011-07-31;0;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;179.6;
2011-12-31;188.2;
2012-01-31;262.6;
2012-02-29;106.6;
2012-03-31;136;
2012-04-30;75;
2012-05-31;80.6;
2012-06-30;90.6;
2012-07-31;37.8;
2012-08-31;1.4;
2012-09-30;34;
2012-10-31;53.2;
2012-11-30;166.8;
2012-12-31;null;
2013-01-31;385.4;
2013-02-28;220.6;
2013-03-31;310;
2013-04-30;105.6;
2013-05-31;91;
2013-06-30;32.8;
2013-07-31;40.6;
2013-08-31;6.6;
2013-09-30;75;
2013-10-31;123.4;
2013-11-30;233.4;
2013-12-31;173.6;
2014-01-31;43;
2014-02-28;71.8;
2014-03-31;122.8;
2014-04-30;106.2;
2014-05-31;37.8;
2014-06-30;9.8;
2014-07-31;36.6;
2014-08-31;5.2;
2014-09-30;56.4;
2014-10-31;46.8;
2014-11-30;233.4;
2014-12-31;374.4;
2015-01-31;108;
2015-02-28;168.2;
2015-03-31;228.4;
2015-04-30;26.8;
2015-05-31;81.4;
2015-06-30;46.4;
2015-07-31;12.2;
2015-08-31;11.4;
2015-09-30;168.6;
2015-10-31;115.6;
2015-11-30;186;
2015-12-31;329.2;
2016-01-31;350.8;
2016-02-29;244.4;
2016-03-31;284.2;
2016-04-30;5.2;
2016-05-31;29;
2016-06-30;null;
2016-07-31;null;
2016-08-31;25;
2016-09-30;10.6;
2016-10-31;230;
2016-11-30;203.6;
2016-12-31;148;
2017-01-31;null;
2017-02-28;141.8;
2017-03-31;167.8;
2017-04-30;68.8;
2017-05-31;119;
2017-06-30;37.8;
2017-07-31;5.4;
2017-08-31;36;
2017-09-30;21.6;
2017-10-31;190;
2017-11-30;153;
2017-12-31;221.2;
2018-01-31;198.8;
2018-02-28;178.8;
2018-03-31;226.2;
2018-04-30;34.6;
2018-05-31;19.6;
2018-06-30;9.4;
2018-07-31;5.6;
2018-08-31;73.4;
2018-09-30;80.4;
2018-10-31;174.2;
2018-11-30;187;
2018-12-31;15;
2019-01-31;144.8;
2019-02-28;238;
2019-03-31;221.2;
2019-04-30;175.4;
2019-05-31;69.6;
2019-06-30;9.8;
2019-07-31;29;
2019-08-31;null;
2019-09-30;124.6;
2019-10-31;90;
2019-11-30;165.6;
2019-12-31;222.6;
2020-01-31;268.4;
2020-02-29;457.6;
2020-03-31;122.4;
2020-04-30;8.6;
2020-05-31;16.2;
2020-06-30;24.2;
2020-07-31;3.8;
2020-08-31;6.4;
2020-09-30;40;
2020-10-31;67.4;
2020-11-30;78.4;
2020-12-31;438.8;
2021-01-31;77.6;
2021-02-28;103.8;
2021-03-31;124.2;
2021-04-30;41.2;
2021-05-31;19.6;
2021-06-30;34.2;
2021-07-31;7.4;
2021-08-31;.6;
2021-09-30;9.6;
2021-10-31;254.2;
2021-11-30;158;
2021-12-31;247.2;
2022-01-31;null;

