Nome: FLORESTAL
Codigo Estacao: A535
Latitude: -19.885398
Longitude: -44.416883
Altitude: 753.5
Situacao: Operante
Data Inicial: 2008-06-26
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-06-30;null;
2008-07-31;1.4;
2008-08-31;56.6;
2008-09-30;93.6;
2008-10-31;11.2;
2008-11-30;296.8;
2008-12-31;597.4;
2009-01-31;325;
2009-02-28;322.8;
2009-03-31;202.8;
2009-04-30;64.8;
2009-05-31;8.8;
2009-06-30;12.8;
2009-07-31;1.6;
2009-08-31;26.2;
2009-09-30;64.8;
2009-10-31;253.8;
2009-11-30;169.6;
2009-12-31;530.4;
2010-01-31;164.4;
2010-02-28;3.4;
2010-03-31;258.4;
2010-04-30;63;
2010-05-31;58.6;
2010-06-30;3.8;
2010-07-31;1.4;
2010-08-31;.8;
2010-09-30;74.8;
2010-10-31;172;
2010-11-30;295;
2010-12-31;190;
2011-01-31;294.2;
2011-02-28;34.2;
2011-03-31;380;
2011-04-30;37.4;
2011-05-31;3.4;
2011-06-30;16.2;
2011-07-31;1.2;
2011-08-31;.6;
2011-09-30;.6;
2011-10-31;174.6;
2011-11-30;405.2;
2011-12-31;790.8;
2012-01-31;394.4;
2012-02-29;44.6;
2012-03-31;184.6;
2012-04-30;34.6;
2012-05-31;30.8;
2012-06-30;50.4;
2012-07-31;1.2;
2012-08-31;1.2;
2012-09-30;39.8;
2012-10-31;78.2;
2012-11-30;306;
2012-12-31;213;
2013-01-31;293.8;
2013-02-28;67.4;
2013-03-31;154.2;
2013-04-30;91;
2013-05-31;75.2;
2013-06-30;26;
2013-07-31;3;
2013-08-31;.4;
2013-09-30;46.8;
2013-10-31;131.8;
2013-11-30;143;
2013-12-31;393;
2014-01-31;128;
2014-02-28;5.6;
2014-03-31;183.2;
2014-04-30;88.4;
2014-05-31;12.4;
2014-06-30;6.2;
2014-07-31;66;
2014-08-31;1.6;
2014-09-30;4.2;
2014-10-31;189.2;
2014-11-30;314.4;
2014-12-31;161.8;
2015-01-31;229.8;
2015-02-28;156.8;
2015-03-31;218.4;
2015-04-30;32.4;
2015-05-31;40.6;
2015-06-30;11.8;
2015-07-31;1.8;
2015-08-31;1.8;
2015-09-30;86.8;
2015-10-31;48.2;
2015-11-30;311.8;
2015-12-31;134;
2016-01-31;536.8;
2016-02-29;49.4;
2016-03-31;150.8;
2016-04-30;24.6;
2016-05-31;22;
2016-06-30;50.8;
2016-07-31;1.4;
2016-08-31;2;
2016-09-30;75.4;
2016-10-31;147;
2016-11-30;248.2;
2016-12-31;325.4;
2017-01-31;168.8;
2017-02-28;137.6;
2017-03-31;148.8;
2017-04-30;33.2;
2017-05-31;36.6;
2017-06-30;25.4;
2017-07-31;0;
2017-08-31;0;
2017-09-30;17.4;
2017-10-31;115.4;
2017-11-30;151.4;
2017-12-31;175;
2018-01-31;214.8;
2018-02-28;319.4;
2018-03-31;209;
2018-04-30;9.4;
2018-05-31;24.8;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;81;
2018-10-31;69.6;
2018-11-30;339.6;
2018-12-31;293.4;
2019-01-31;193.6;
2019-02-28;322.6;
2019-03-31;235.2;
2019-04-30;127.4;
2019-05-31;60.8;
2019-06-30;19;
2019-07-31;1.2;
2019-08-31;.6;
2019-09-30;32.8;
2019-10-31;50;
2019-11-30;217.2;
2019-12-31;356;
2020-01-31;621.2;
2020-02-29;352;
2020-03-31;209.8;
2020-04-30;89.8;
2020-05-31;41.8;
2020-06-30;5.8;
2020-07-31;.6;
2020-08-31;12.2;
2020-09-30;16.2;
2020-10-31;134.4;
2020-11-30;100;
2020-12-31;266;
2021-01-31;null;
2021-02-28;374.4;
2021-03-31;75;
2021-04-30;8;
2021-05-31;null;
2021-06-30;null;
2021-07-31;.4;
2021-08-31;6;
2021-09-30;9;
2021-10-31;230.8;
2021-11-30;245.6;
2021-12-31;421.8;
2022-01-31;null;

