Nome: MANTENA
Codigo Estacao: A540
Latitude: -18.78062
Longitude: -40.986505
Altitude: 254.91
Situacao: Operante
Data Inicial: 2007-07-31
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-07-31;null;
2007-08-31;26.8;
2007-09-30;43;
2007-10-31;13.8;
2007-11-30;null;
2007-12-31;98;
2008-01-31;88.6;
2008-02-29;117;
2008-03-31;114.2;
2008-04-30;148.6;
2008-05-31;4.2;
2008-06-30;6.8;
2008-07-31;9.8;
2008-08-31;25.6;
2008-09-30;34;
2008-10-31;29.4;
2008-11-30;241;
2008-12-31;129.2;
2009-01-31;273;
2009-02-28;20.8;
2009-03-31;238;
2009-04-30;91.2;
2009-05-31;45.8;
2009-06-30;60.6;
2009-07-31;6.2;
2009-08-31;36.2;
2009-09-30;34.4;
2009-10-31;226.4;
2009-11-30;72;
2009-12-31;186.4;
2010-01-31;44.8;
2010-02-28;32.6;
2010-03-31;108;
2010-04-30;47.8;
2010-05-31;null;
2010-06-30;null;
2010-07-31;61.8;
2010-08-31;4.6;
2010-09-30;16.2;
2010-10-31;85.2;
2010-11-30;256.6;
2010-12-31;372;
2011-01-31;72;
2011-02-28;166.2;
2011-03-31;280.2;
2011-04-30;218.8;
2011-05-31;7.6;
2011-06-30;20.4;
2011-07-31;14.4;
2011-08-31;4.6;
2011-09-30;7.6;
2011-10-31;177.8;
2011-11-30;369.4;
2011-12-31;221.6;
2012-01-31;193.2;
2012-02-29;78;
2012-03-31;26.8;
2012-04-30;24.8;
2012-05-31;65.2;
2012-06-30;33;
2012-07-31;28.2;
2012-08-31;146;
2012-09-30;30.4;
2012-10-31;18;
2012-11-30;312;
2012-12-31;19;
2013-01-31;181.4;
2013-02-28;95.2;
2013-03-31;73.8;
2013-04-30;22.4;
2013-05-31;42;
2013-06-30;62;
2013-07-31;5.4;
2013-08-31;19.8;
2013-09-30;27;
2013-10-31;null;
2013-11-30;null;
2013-12-31;618.4;
2014-01-31;45.2;
2014-02-28;101.8;
2014-03-31;61.6;
2014-04-30;31.4;
2014-05-31;8.6;
2014-06-30;35;
2014-07-31;null;
2014-08-31;null;
2014-09-30;31;
2014-10-31;88.6;
2014-11-30;135.8;
2014-12-31;177.2;
2015-01-31;9.4;
2015-02-28;50;
2015-03-31;127.8;
2015-04-30;34.6;
2015-05-31;15.8;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;2.6;
2015-10-31;46.8;
2015-11-30;48.4;
2015-12-31;56.8;
2016-01-31;384;
2016-02-29;null;
2016-03-31;51.2;
2016-04-30;18.6;
2016-05-31;20.4;
2016-06-30;21.6;
2016-07-31;8;
2016-08-31;7.8;
2016-09-30;28.6;
2016-10-31;62.6;
2016-11-30;170.8;
2016-12-31;234.8;
2017-01-31;76.4;
2017-02-28;115.4;
2017-03-31;null;
2017-04-30;null;
2017-05-31;84.2;
2017-06-30;32;
2017-07-31;57.4;
2017-08-31;2.6;
2017-09-30;50.6;
2017-10-31;60.6;
2017-11-30;174;
2017-12-31;209;
2018-01-31;68.2;
2018-02-28;268.2;
2018-03-31;202.2;
2018-04-30;142.4;
2018-05-31;36.2;
2018-06-30;29.4;
2018-07-31;16;
2018-08-31;51.8;
2018-09-30;28.2;
2018-10-31;96;
2018-11-30;295;
2018-12-31;235.2;
2019-01-31;null;
2019-02-28;null;
2019-03-31;105;
2019-04-30;118.6;
2019-05-31;47.6;
2019-06-30;13.2;
2019-07-31;7.8;
2019-08-31;25.4;
2019-09-30;59.2;
2019-10-31;81.8;
2019-11-30;165.8;
2019-12-31;77.4;
2020-01-31;242.6;
2020-02-29;122.2;
2020-03-31;184.2;
2020-04-30;39.4;
2020-05-31;56.6;
2020-06-30;24.8;
2020-07-31;null;
2020-08-31;17.8;
2020-09-30;15;
2020-10-31;106.8;
2020-11-30;114.4;
2020-12-31;82.4;
2021-01-31;48;
2021-02-28;193.2;
2021-03-31;35.6;
2021-04-30;3.6;
2021-05-31;.2;
2021-06-30;8.6;
2021-07-31;4.8;
2021-08-31;6.4;
2021-09-30;25.8;
2021-10-31;141.4;
2021-11-30;173.4;
2021-12-31;341;
2022-01-31;null;

