Nome: CAPELINHA
Codigo Estacao: A541
Latitude: -17.70555555
Longitude: -42.38916666
Altitude: 932.06
Situacao: Operante
Data Inicial: 2007-08-30
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-08-31;null;
2007-09-30;7.2;
2007-10-31;.2;
2007-11-30;null;
2007-12-31;75.8;
2008-01-31;164.6;
2008-02-29;110.8;
2008-03-31;128.4;
2008-04-30;65.8;
2008-05-31;1.8;
2008-06-30;7.6;
2008-07-31;1.6;
2008-08-31;2.8;
2008-09-30;27.2;
2008-10-31;1.2;
2008-11-30;236;
2008-12-31;387.8;
2009-01-31;255.8;
2009-02-28;123;
2009-03-31;72;
2009-04-30;86;
2009-05-31;6.4;
2009-06-30;16;
2009-07-31;8;
2009-08-31;11.2;
2009-09-30;24;
2009-10-31;265;
2009-11-30;191.6;
2009-12-31;201;
2010-01-31;35;
2010-02-28;41;
2010-03-31;219.6;
2010-04-30;39.8;
2010-05-31;50;
2010-06-30;8.4;
2010-07-31;16.6;
2010-08-31;.8;
2010-09-30;5.2;
2010-10-31;100.6;
2010-11-30;271.2;
2010-12-31;198.8;
2011-01-31;90.2;
2011-02-28;63.6;
2011-03-31;288.6;
2011-04-30;91.8;
2011-05-31;16;
2011-06-30;11.2;
2011-07-31;14.4;
2011-08-31;1.2;
2011-09-30;1.6;
2011-10-31;213.2;
2011-11-30;165.2;
2011-12-31;284.6;
2012-01-31;125.2;
2012-02-29;31.2;
2012-03-31;29.8;
2012-04-30;7.2;
2012-05-31;80;
2012-06-30;15.8;
2012-07-31;7.2;
2012-08-31;38.2;
2012-09-30;8.4;
2012-10-31;36.2;
2012-11-30;447.4;
2012-12-31;98.4;
2013-01-31;180.8;
2013-02-28;63.6;
2013-03-31;29.4;
2013-04-30;121.8;
2013-05-31;10.4;
2013-06-30;28.4;
2013-07-31;3.8;
2013-08-31;10.8;
2013-09-30;10.6;
2013-10-31;97.8;
2013-11-30;230.2;
2013-12-31;930;
2014-01-31;70.2;
2014-02-28;5.2;
2014-03-31;123.4;
2014-04-30;65.6;
2014-05-31;10.6;
2014-06-30;41.6;
2014-07-31;19.8;
2014-08-31;15.8;
2014-09-30;.8;
2014-10-31;155.6;
2014-11-30;228.4;
2014-12-31;130.8;
2015-01-31;14.2;
2015-02-28;86.6;
2015-03-31;89.4;
2015-04-30;75.8;
2015-05-31;23.6;
2015-06-30;13;
2015-07-31;7.6;
2015-08-31;11.8;
2015-09-30;1.2;
2015-10-31;55;
2015-11-30;196;
2015-12-31;137.4;
2016-01-31;420.4;
2016-02-29;140;
2016-03-31;66.6;
2016-04-30;16.4;
2016-05-31;51.8;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;47.8;
2016-11-30;187.2;
2016-12-31;216.4;
2017-01-31;90;
2017-02-28;204;
2017-03-31;60.8;
2017-04-30;14.4;
2017-05-31;28.8;
2017-06-30;15.8;
2017-07-31;19;
2017-08-31;2;
2017-09-30;6.4;
2017-10-31;23.6;
2017-11-30;150.4;
2017-12-31;268.8;
2018-01-31;109.2;
2018-02-28;120;
2018-03-31;54.2;
2018-04-30;68.2;
2018-05-31;31.4;
2018-06-30;4.4;
2018-07-31;6.8;
2018-08-31;15.6;
2018-09-30;21.8;
2018-10-31;167.4;
2018-11-30;160.2;
2018-12-31;336.4;
2019-01-31;48;
2019-02-28;125.8;
2019-03-31;111.2;
2019-04-30;77.8;
2019-05-31;23.4;
2019-06-30;10.4;
2019-07-31;7.2;
2019-08-31;20.6;
2019-09-30;8.2;
2019-10-31;60;
2019-11-30;149.8;
2019-12-31;142.2;
2020-01-31;470.8;
2020-02-29;159.2;
2020-03-31;189;
2020-04-30;62.8;
2020-05-31;92;
2020-06-30;15.8;
2020-07-31;18.6;
2020-08-31;21.6;
2020-09-30;2.4;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;132.8;
2021-02-28;274.2;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

