Nome: UNAI
Codigo Estacao: A542
Latitude: -16.55416666
Longitude: -46.88194443
Altitude: 640.85
Situacao: Operante
Data Inicial: 2007-06-15
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-06-30;null;
2007-07-31;8.4;
2007-08-31;0;
2007-09-30;.2;
2007-10-31;60.8;
2007-11-30;null;
2007-12-31;336.6;
2008-01-31;262.6;
2008-02-29;166.6;
2008-03-31;130.4;
2008-04-30;107.2;
2008-05-31;.6;
2008-06-30;0;
2008-07-31;0;
2008-08-31;.2;
2008-09-30;44;
2008-10-31;3.8;
2008-11-30;250.2;
2008-12-31;335.2;
2009-01-31;187.8;
2009-02-28;196.4;
2009-03-31;83.8;
2009-04-30;139.2;
2009-05-31;3;
2009-06-30;16.6;
2009-07-31;0;
2009-08-31;22.2;
2009-09-30;57.6;
2009-10-31;204.2;
2009-11-30;84.2;
2009-12-31;331.8;
2010-01-31;106.8;
2010-02-28;63;
2010-03-31;211.4;
2010-04-30;76;
2010-05-31;23;
2010-06-30;15.4;
2010-07-31;0;
2010-08-31;0;
2010-09-30;17.6;
2010-10-31;150.6;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;52.8;
2011-03-31;438.8;
2011-04-30;62.4;
2011-05-31;17.4;
2011-06-30;1.4;
2011-07-31;.2;
2011-08-31;0;
2011-09-30;0;
2011-10-31;200;
2011-11-30;159.6;
2011-12-31;303.4;
2012-01-31;249.8;
2012-02-29;69.8;
2012-03-31;114.8;
2012-04-30;27.6;
2012-05-31;22.6;
2012-06-30;10.2;
2012-07-31;0;
2012-08-31;0;
2012-09-30;32.8;
2012-10-31;19.4;
2012-11-30;513.4;
2012-12-31;103.4;
2013-01-31;null;
2013-02-28;null;
2013-03-31;157.8;
2013-04-30;117.6;
2013-05-31;15;
2013-06-30;16.4;
2013-07-31;0;
2013-08-31;0;
2013-09-30;41.2;
2013-10-31;139.8;
2013-11-30;115.2;
2013-12-31;426.8;
2014-01-31;53;
2014-02-28;158;
2014-03-31;228.2;
2014-04-30;91.4;
2014-05-31;.6;
2014-06-30;3.8;
2014-07-31;1.6;
2014-08-31;0;
2014-09-30;1;
2014-10-31;34.4;
2014-11-30;228.8;
2014-12-31;226.2;
2015-01-31;86.2;
2015-02-28;232.4;
2015-03-31;267.2;
2015-04-30;135.8;
2015-05-31;51.6;
2015-06-30;null;
2015-07-31;.8;
2015-08-31;6.2;
2015-09-30;8;
2015-10-31;23.6;
2015-11-30;171.8;
2015-12-31;123.6;
2016-01-31;383.4;
2016-02-29;13.2;
2016-03-31;126.2;
2016-04-30;37.4;
2016-05-31;.4;
2016-06-30;.2;
2016-07-31;.4;
2016-08-31;10.2;
2016-09-30;32.6;
2016-10-31;37;
2016-11-30;310.2;
2016-12-31;150.6;
2017-01-31;91;
2017-02-28;216.6;
2017-03-31;170.8;
2017-04-30;1.2;
2017-05-31;65;
2017-06-30;1.6;
2017-07-31;0;
2017-08-31;0;
2017-09-30;1.2;
2017-10-31;75.6;
2017-11-30;324.4;
2017-12-31;261.4;
2018-01-31;119.8;
2018-02-28;213.6;
2018-03-31;90.6;
2018-04-30;96.8;
2018-05-31;25.6;
2018-06-30;.2;
2018-07-31;0;
2018-08-31;2;
2018-09-30;22.6;
2018-10-31;191.4;
2018-11-30;406.6;
2018-12-31;279.2;
2019-01-31;71.4;
2019-02-28;71.6;
2019-03-31;202.6;
2019-04-30;122.4;
2019-05-31;60.2;
2019-06-30;.2;
2019-07-31;0;
2019-08-31;0;
2019-09-30;11.6;
2019-10-31;28.6;
2019-11-30;230.6;
2019-12-31;239.8;
2020-01-31;368.6;
2020-02-29;168.2;
2020-03-31;307;
2020-04-30;145.2;
2020-05-31;8;
2020-06-30;0;
2020-07-31;0;
2020-08-31;null;
2020-09-30;1.4;
2020-10-31;.2;
2020-11-30;0;
2020-12-31;168.6;
2021-01-31;null;
2021-02-28;282.4;
2021-03-31;75.8;
2021-04-30;78.2;
2021-05-31;.8;
2021-06-30;3.4;
2021-07-31;0;
2021-08-31;0;
2021-09-30;4.6;
2021-10-31;80.2;
2021-11-30;234.6;
2021-12-31;null;
2022-01-31;null;

