Nome: BURITIS
Codigo Estacao: A544
Latitude: -15.52416666
Longitude: -46.43555555
Altitude: 894
Situacao: Pane
Data Inicial: 2007-06-18
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-06-30;null;
2007-07-31;0;
2007-08-31;0;
2007-09-30;0;
2007-10-31;18.8;
2007-11-30;null;
2007-12-31;190.2;
2008-01-31;195.2;
2008-02-29;118.2;
2008-03-31;157.2;
2008-04-30;176.2;
2008-05-31;0;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;37.8;
2008-10-31;0;
2008-11-30;285;
2008-12-31;160;
2009-01-31;305.8;
2009-02-28;null;
2009-03-31;null;
2009-04-30;180.8;
2009-05-31;46;
2009-06-30;28;
2009-07-31;0;
2009-08-31;37.4;
2009-09-30;11.6;
2009-10-31;173.6;
2009-11-30;87;
2009-12-31;243;
2010-01-31;222.4;
2010-02-28;20;
2010-03-31;247;
2010-04-30;110.6;
2010-05-31;26.6;
2010-06-30;0;
2010-07-31;0;
2010-08-31;0;
2010-09-30;7.8;
2010-10-31;113;
2010-11-30;242;
2010-12-31;231.4;
2011-01-31;144.2;
2011-02-28;43.6;
2011-03-31;267.2;
2011-04-30;72.4;
2011-05-31;9.2;
2011-06-30;0;
2011-07-31;0;
2011-08-31;0;
2011-09-30;1.8;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;105.6;
2012-04-30;28.6;
2012-05-31;13.8;
2012-06-30;3.6;
2012-07-31;2.8;
2012-08-31;14.2;
2012-09-30;0;
2012-10-31;null;
2012-11-30;null;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;227;
2013-04-30;97.4;
2013-05-31;17.8;
2013-06-30;14.2;
2013-07-31;0;
2013-08-31;0;
2013-09-30;23.8;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;88.6;
2014-05-31;1;
2014-06-30;11.8;
2014-07-31;0;
2014-08-31;0;
2014-09-30;.6;
2014-10-31;48.8;
2014-11-30;146;
2014-12-31;311.6;
2015-01-31;25.2;
2015-02-28;107.6;
2015-03-31;146.8;
2015-04-30;178.2;
2015-05-31;15.8;
2015-06-30;0;
2015-07-31;0;
2015-08-31;0;
2015-09-30;5.4;
2015-10-31;28.8;
2015-11-30;154;
2015-12-31;68;
2016-01-31;265.6;
2016-02-29;85.4;
2016-03-31;137.6;
2016-04-30;13.4;
2016-05-31;0;
2016-06-30;1.4;
2016-07-31;0;
2016-08-31;0;
2016-09-30;13.8;
2016-10-31;105.6;
2016-11-30;244.6;
2016-12-31;152.6;
2017-01-31;117.8;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;47.8;
2018-05-31;28.6;
2018-06-30;0;
2018-07-31;0;
2018-08-31;12.2;
2018-09-30;4.8;
2018-10-31;77;
2018-11-30;240.4;
2018-12-31;185.8;
2019-01-31;15.6;
2019-02-28;93.2;
2019-03-31;150.4;
2019-04-30;141.4;
2019-05-31;107.4;
2019-06-30;0;
2019-07-31;0;
2019-08-31;0;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;57.8;
2020-01-31;122.6;
2020-02-29;69.4;
2020-03-31;41;
2020-04-30;10.2;
2020-05-31;null;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;.6;
2020-10-31;.4;
2020-11-30;0;
2020-12-31;0;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;0;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

