Nome: ITAOBIM
Codigo Estacao: A550
Latitude: -16.575667
Longitude: -41.485588
Altitude: 271.63
Situacao: Operante
Data Inicial: 2007-09-04
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-09-30;null;
2007-10-31;.2;
2007-11-30;null;
2007-12-31;232.8;
2008-01-31;143.6;
2008-02-29;51.2;
2008-03-31;182.4;
2008-04-30;19.8;
2008-05-31;5.4;
2008-06-30;0;
2008-07-31;.4;
2008-08-31;4;
2008-09-30;47.4;
2008-10-31;.4;
2008-11-30;181.2;
2008-12-31;168;
2009-01-31;268.2;
2009-02-28;7.4;
2009-03-31;92.2;
2009-04-30;101.2;
2009-05-31;19.8;
2009-06-30;2.2;
2009-07-31;2.4;
2009-08-31;1.6;
2009-09-30;1.8;
2009-10-31;173.4;
2009-11-30;27.8;
2009-12-31;93.4;
2010-01-31;9.2;
2010-02-28;31.2;
2010-03-31;298.8;
2010-04-30;32.8;
2010-05-31;18.6;
2010-06-30;.2;
2010-07-31;5.2;
2010-08-31;3.2;
2010-09-30;3;
2010-10-31;52;
2010-11-30;169.8;
2010-12-31;180.6;
2011-01-31;48.6;
2011-02-28;29;
2011-03-31;149.4;
2011-04-30;88.2;
2011-05-31;1.2;
2011-06-30;1;
2011-07-31;7.6;
2011-08-31;.2;
2011-09-30;0;
2011-10-31;70.6;
2011-11-30;133.8;
2011-12-31;183.2;
2012-01-31;142.6;
2012-02-29;null;
2012-03-31;8.6;
2012-04-30;3.6;
2012-05-31;50.4;
2012-06-30;0;
2012-07-31;5.6;
2012-08-31;18.2;
2012-09-30;7.4;
2012-10-31;5.8;
2012-11-30;307.6;
2012-12-31;47;
2013-01-31;182.8;
2013-02-28;3;
2013-03-31;22.2;
2013-04-30;29.4;
2013-05-31;2.8;
2013-06-30;12.6;
2013-07-31;1.2;
2013-08-31;4.6;
2013-09-30;5.4;
2013-10-31;61;
2013-11-30;59;
2013-12-31;234.2;
2014-01-31;52.8;
2014-02-28;4.8;
2014-03-31;20.6;
2014-04-30;5.4;
2014-05-31;3;
2014-06-30;18.6;
2014-07-31;15.4;
2014-08-31;.6;
2014-09-30;1.4;
2014-10-31;83.6;
2014-11-30;102.4;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;28.2;
2015-06-30;11.4;
2015-07-31;4;
2015-08-31;11.8;
2015-09-30;0;
2015-10-31;6.2;
2015-11-30;22.8;
2015-12-31;29.4;
2016-01-31;351;
2016-02-29;3.2;
2016-03-31;0;
2016-04-30;.6;
2016-05-31;3.2;
2016-06-30;23.4;
2016-07-31;7.2;
2016-08-31;8;
2016-09-30;30.8;
2016-10-31;65.6;
2016-11-30;219.2;
2016-12-31;168;
2017-01-31;9;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;0;
2017-09-30;0;
2017-10-31;0;
2017-11-30;37.2;
2017-12-31;266.8;
2018-01-31;15;
2018-02-28;176.4;
2018-03-31;130.6;
2018-04-30;30.4;
2018-05-31;null;
2018-06-30;null;
2018-07-31;8.8;
2018-08-31;3;
2018-09-30;14.8;
2018-10-31;66.8;
2018-11-30;91;
2018-12-31;172.8;
2019-01-31;11.8;
2019-02-28;40.4;
2019-03-31;87;
2019-04-30;39.8;
2019-05-31;4.4;
2019-06-30;10.2;
2019-07-31;5;
2019-08-31;12.6;
2019-09-30;.4;
2019-10-31;42;
2019-11-30;47.8;
2019-12-31;39;
2020-01-31;136.8;
2020-02-29;139;
2020-03-31;185.8;
2020-04-30;15.6;
2020-05-31;74.6;
2020-06-30;2.6;
2020-07-31;35.6;
2020-08-31;8;
2020-09-30;3.4;
2020-10-31;57.4;
2020-11-30;108.8;
2020-12-31;18.2;
2021-01-31;15.2;
2021-02-28;170.8;
2021-03-31;63;
2021-04-30;92.2;
2021-05-31;null;
2021-06-30;1;
2021-07-31;.4;
2021-08-31;8.6;
2021-09-30;2;
2021-10-31;76.8;
2021-11-30;218.4;
2021-12-31;462.6;
2022-01-31;null;

