Nome: SALINAS
Codigo Estacao: A552
Latitude: -16.16027777
Longitude: -42.31027777
Altitude: 487.14
Situacao: Operante
Data Inicial: 2007-09-13
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-09-30;null;
2007-10-31;0;
2007-11-30;null;
2007-12-31;128.8;
2008-01-31;79.6;
2008-02-29;83;
2008-03-31;34.8;
2008-04-30;95.4;
2008-05-31;0;
2008-06-30;.6;
2008-07-31;.2;
2008-08-31;.4;
2008-09-30;21.6;
2008-10-31;2;
2008-11-30;362.2;
2008-12-31;207.2;
2009-01-31;121;
2009-02-28;15.8;
2009-03-31;65.4;
2009-04-30;201.4;
2009-05-31;27.2;
2009-06-30;2.8;
2009-07-31;1;
2009-08-31;8.8;
2009-09-30;5.6;
2009-10-31;215.6;
2009-11-30;47.8;
2009-12-31;84;
2010-01-31;35.8;
2010-02-28;101.6;
2010-03-31;278;
2010-04-30;109.8;
2010-05-31;27.8;
2010-06-30;.8;
2010-07-31;4.2;
2010-08-31;0;
2010-09-30;0;
2010-10-31;17.6;
2010-11-30;276.4;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;34.8;
2011-05-31;3.6;
2011-06-30;0;
2011-07-31;5.2;
2011-08-31;.6;
2011-09-30;0;
2011-10-31;102.6;
2011-11-30;203.6;
2011-12-31;192.2;
2012-01-31;99;
2012-02-29;37.8;
2012-03-31;32;
2012-04-30;3.2;
2012-05-31;76.6;
2012-06-30;0;
2012-07-31;2.2;
2012-08-31;4.6;
2012-09-30;6.6;
2012-10-31;14.8;
2012-11-30;272;
2012-12-31;55.4;
2013-01-31;160.4;
2013-02-28;53.2;
2013-03-31;82.6;
2013-04-30;36.6;
2013-05-31;27.6;
2013-06-30;11.8;
2013-07-31;.2;
2013-08-31;12.6;
2013-09-30;2.2;
2013-10-31;38.2;
2013-11-30;221.6;
2013-12-31;354.2;
2014-01-31;44.2;
2014-02-28;49.2;
2014-03-31;null;
2014-04-30;11.6;
2014-05-31;15.2;
2014-06-30;13.8;
2014-07-31;4.4;
2014-08-31;.2;
2014-09-30;.6;
2014-10-31;74.2;
2014-11-30;213.8;
2014-12-31;239.4;
2015-01-31;10.4;
2015-02-28;97.2;
2015-03-31;56.2;
2015-04-30;28.2;
2015-05-31;29.4;
2015-06-30;2.6;
2015-07-31;10;
2015-08-31;5.4;
2015-09-30;0;
2015-10-31;55.2;
2015-11-30;92.2;
2015-12-31;109;
2016-01-31;340;
2016-02-29;5.2;
2016-03-31;8.2;
2016-04-30;0;
2016-05-31;4;
2016-06-30;12.4;
2016-07-31;2.2;
2016-08-31;6;
2016-09-30;51.2;
2016-10-31;51.4;
2016-11-30;null;
2016-12-31;null;
2017-01-31;107.2;
2017-02-28;null;
2017-03-31;42.8;
2017-04-30;44.2;
2017-05-31;4.2;
2017-06-30;3;
2017-07-31;9.4;
2017-08-31;0;
2017-09-30;0;
2017-10-31;0;
2017-11-30;182.2;
2017-12-31;224.2;
2018-01-31;125.4;
2018-02-28;315.2;
2018-03-31;57;
2018-04-30;5.6;
2018-05-31;29.8;
2018-06-30;7.8;
2018-07-31;.6;
2018-08-31;7.6;
2018-09-30;2.2;
2018-10-31;134.8;
2018-11-30;159.6;
2018-12-31;204.2;
2019-01-31;8.8;
2019-02-28;66.4;
2019-03-31;90.4;
2019-04-30;71.2;
2019-05-31;6;
2019-06-30;5.8;
2019-07-31;5.2;
2019-08-31;7.4;
2019-09-30;.8;
2019-10-31;25.6;
2019-11-30;62.4;
2019-12-31;56.8;
2020-01-31;168.4;
2020-02-29;116.2;
2020-03-31;337;
2020-04-30;47.8;
2020-05-31;35.6;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;24.2;
2021-02-28;312.4;
2021-03-31;32;
2021-04-30;10.2;
2021-05-31;.4;
2021-06-30;1;
2021-07-31;1.4;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;541.2;
2022-01-31;null;

