Nome: CARATINGA
Codigo Estacao: A554
Latitude: -19.735757
Longitude: -42.137146
Altitude: 609.25
Situacao: Operante
Data Inicial: 2007-05-23
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-05-31;null;
2007-06-30;2.2;
2007-07-31;1.8;
2007-08-31;3.6;
2007-09-30;25.6;
2007-10-31;49.6;
2007-11-30;null;
2007-12-31;167.8;
2008-01-31;172.2;
2008-02-29;155.6;
2008-03-31;172.8;
2008-04-30;97.4;
2008-05-31;8.8;
2008-06-30;19.2;
2008-07-31;2;
2008-08-31;21.2;
2008-09-30;30.8;
2008-10-31;33;
2008-11-30;249;
2008-12-31;263.4;
2009-01-31;260.6;
2009-02-28;87.6;
2009-03-31;150.2;
2009-04-30;84;
2009-05-31;32.8;
2009-06-30;35;
2009-07-31;5.2;
2009-08-31;10;
2009-09-30;159.6;
2009-10-31;150.8;
2009-11-30;71.4;
2009-12-31;347.8;
2010-01-31;85.4;
2010-02-28;50.4;
2010-03-31;241.8;
2010-04-30;65;
2010-05-31;36.2;
2010-06-30;5.2;
2010-07-31;3.2;
2010-08-31;5.8;
2010-09-30;8.2;
2010-10-31;111;
2010-11-30;217.4;
2010-12-31;549.6;
2011-01-31;165.8;
2011-02-28;33.6;
2011-03-31;291.8;
2011-04-30;74;
2011-05-31;12;
2011-06-30;14;
2011-07-31;4.2;
2011-08-31;1.2;
2011-09-30;11.4;
2011-10-31;131.6;
2011-11-30;299.2;
2011-12-31;388.6;
2012-01-31;239.6;
2012-02-29;19.4;
2012-03-31;132;
2012-04-30;51.8;
2012-05-31;119.2;
2012-06-30;null;
2012-07-31;0;
2012-08-31;2.8;
2012-09-30;16.6;
2012-10-31;26;
2012-11-30;434;
2012-12-31;51.4;
2013-01-31;272.6;
2013-02-28;182.4;
2013-03-31;null;
2013-04-30;null;
2013-05-31;78.2;
2013-06-30;25;
2013-07-31;20.2;
2013-08-31;6.4;
2013-09-30;48.8;
2013-10-31;87.6;
2013-11-30;184.2;
2013-12-31;520.4;
2014-01-31;49.8;
2014-02-28;41.8;
2014-03-31;145.4;
2014-04-30;99.2;
2014-05-31;60.2;
2014-06-30;1.8;
2014-07-31;21.6;
2014-08-31;2;
2014-09-30;7.2;
2014-10-31;127.8;
2014-11-30;140.2;
2014-12-31;140;
2015-01-31;4;
2015-02-28;229;
2015-03-31;67;
2015-04-30;62.4;
2015-05-31;97.8;
2015-06-30;5;
2015-07-31;1.8;
2015-08-31;1.2;
2015-09-30;27.8;
2015-10-31;73;
2015-11-30;138.4;
2015-12-31;151.2;
2016-01-31;302.8;
2016-02-29;11.4;
2016-03-31;158.2;
2016-04-30;55.8;
2016-05-31;11;
2016-06-30;21.4;
2016-07-31;.8;
2016-08-31;.2;
2016-09-30;76.4;
2016-10-31;36.2;
2016-11-30;283.6;
2016-12-31;185.2;
2017-01-31;105.6;
2017-02-28;138;
2017-03-31;104;
2017-04-30;70.8;
2017-05-31;21.4;
2017-06-30;20.8;
2017-07-31;7.4;
2017-08-31;1.8;
2017-09-30;.4;
2017-10-31;54.2;
2017-11-30;215.6;
2017-12-31;null;
2018-01-31;null;
2018-02-28;209.4;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;3.8;
2018-08-31;9.4;
2018-09-30;39;
2018-10-31;71.6;
2018-11-30;93;
2018-12-31;244.4;
2019-01-31;39.6;
2019-02-28;200.4;
2019-03-31;36.8;
2019-04-30;107.6;
2019-05-31;65.6;
2019-06-30;1.6;
2019-07-31;1;
2019-08-31;2;
2019-09-30;22.8;
2019-10-31;65;
2019-11-30;198.4;
2019-12-31;204.2;
2020-01-31;395.2;
2020-02-29;184;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;3.6;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;109.8;
2021-02-28;375.6;
2021-03-31;113.6;
2021-04-30;58.6;
2021-05-31;25;
2021-06-30;19.2;
2021-07-31;.2;
2021-08-31;.4;
2021-09-30;1.6;
2021-10-31;179.8;
2021-11-30;296.4;
2021-12-31;217.8;
2022-01-31;null;

