Nome: MANHUACU
Codigo Estacao: A556
Latitude: -20.26333333
Longitude: -42.18277777
Altitude: 819.47
Situacao: Operante
Data Inicial: 2010-09-24
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2010-09-30;null;
2010-10-31;136.2;
2010-11-30;328.8;
2010-12-31;627.2;
2011-01-31;69.4;
2011-02-28;63.2;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;1.4;
2011-09-30;4.8;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;7;
2012-03-31;101;
2012-04-30;48.4;
2012-05-31;78.6;
2012-06-30;5.2;
2012-07-31;2;
2012-08-31;4.6;
2012-09-30;11.8;
2012-10-31;114.2;
2012-11-30;284;
2012-12-31;144.2;
2013-01-31;324;
2013-02-28;61;
2013-03-31;272.8;
2013-04-30;46.2;
2013-05-31;76.6;
2013-06-30;22.4;
2013-07-31;26.8;
2013-08-31;8.6;
2013-09-30;null;
2013-10-31;null;
2013-11-30;91.8;
2013-12-31;271.8;
2014-01-31;1.4;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;3.2;
2014-07-31;46.2;
2014-08-31;3.4;
2014-09-30;.6;
2014-10-31;null;
2014-11-30;null;
2014-12-31;92.8;
2015-01-31;49;
2015-02-28;125.6;
2015-03-31;51.6;
2015-04-30;47.2;
2015-05-31;101.6;
2015-06-30;11;
2015-07-31;11.2;
2015-08-31;1;
2015-09-30;52;
2015-10-31;63.6;
2015-11-30;null;
2015-12-31;null;
2016-01-31;365.4;
2016-02-29;66.4;
2016-03-31;null;
2016-04-30;59.4;
2016-05-31;null;
2016-06-30;45.2;
2016-07-31;2.2;
2016-08-31;1.4;
2016-09-30;72;
2016-10-31;113.8;
2016-11-30;230;
2016-12-31;340.6;
2017-01-31;69.8;
2017-02-28;155.8;
2017-03-31;76.4;
2017-04-30;152.2;
2017-05-31;30.4;
2017-06-30;8.6;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;270.2;
2018-01-31;null;
2018-02-28;null;
2018-03-31;276.4;
2018-04-30;null;
2018-05-31;67.6;
2018-06-30;2.6;
2018-07-31;3.4;
2018-08-31;102.6;
2018-09-30;77.4;
2018-10-31;248.8;
2018-11-30;148.4;
2018-12-31;211.2;
2019-01-31;36.6;
2019-02-28;94;
2019-03-31;87.2;
2019-04-30;93.8;
2019-05-31;25;
2019-06-30;8.2;
2019-07-31;null;
2019-08-31;null;
2019-09-30;20.4;
2019-10-31;76;
2019-11-30;243.8;
2019-12-31;314;
2020-01-31;277.8;
2020-02-29;281.2;
2020-03-31;195.6;
2020-04-30;null;
2020-05-31;null;
2020-06-30;6.6;
2020-07-31;27.2;
2020-08-31;23.4;
2020-09-30;2.6;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;222.8;
2021-12-31;166.2;
2022-01-31;null;

