Nome: CORONEL PACHECO
Codigo Estacao: A557
Latitude: -21.54666666
Longitude: -43.26111111
Altitude: 411.14
Situacao: Pane
Data Inicial: 2012-10-16
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2012-10-31;null;
2012-11-30;354.4;
2012-12-31;153;
2013-01-31;236.2;
2013-02-28;143.6;
2013-03-31;292.6;
2013-04-30;65.6;
2013-05-31;78.8;
2013-06-30;null;
2013-07-31;34.2;
2013-08-31;11.8;
2013-09-30;61.6;
2013-10-31;112.4;
2013-11-30;183.4;
2013-12-31;425.4;
2014-01-31;120.2;
2014-02-28;31;
2014-03-31;122.4;
2014-04-30;101.4;
2014-05-31;13;
2014-06-30;9.8;
2014-07-31;38.6;
2014-08-31;20.4;
2014-09-30;3.4;
2014-10-31;46.4;
2014-11-30;238.4;
2014-12-31;284.2;
2015-01-31;53;
2015-02-28;110.2;
2015-03-31;216.4;
2015-04-30;38.6;
2015-05-31;41.4;
2015-06-30;8.2;
2015-07-31;10.6;
2015-08-31;33.6;
2015-09-30;103.4;
2015-10-31;54.4;
2015-11-30;199.2;
2015-12-31;199.8;
2016-01-31;505.4;
2016-02-29;151;
2016-03-31;111;
2016-04-30;44.4;
2016-05-31;16.4;
2016-06-30;29;
2016-07-31;6.6;
2016-08-31;12;
2016-09-30;53;
2016-10-31;53;
2016-11-30;280.2;
2016-12-31;150.2;
2017-01-31;null;
2017-02-28;null;
2017-03-31;93.6;
2017-04-30;97.2;
2017-05-31;68.4;
2017-06-30;23.6;
2017-07-31;7.8;
2017-08-31;4.8;
2017-09-30;1.4;
2017-10-31;97.6;
2017-11-30;144.4;
2017-12-31;152.4;
2018-01-31;250.6;
2018-02-28;null;
2018-03-31;159.2;
2018-04-30;111;
2018-05-31;42;
2018-06-30;8.6;
2018-07-31;25.4;
2018-08-31;69.8;
2018-09-30;66.8;
2018-10-31;94.6;
2018-11-30;313.2;
2018-12-31;237.4;
2019-01-31;108.2;
2019-02-28;251.8;
2019-03-31;119.6;
2019-04-30;66.6;
2019-05-31;53.8;
2019-06-30;31;
2019-07-31;2.2;
2019-08-31;11.2;
2019-09-30;36;
2019-10-31;83.6;
2019-11-30;206;
2019-12-31;298.6;
2020-01-31;257.6;
2020-02-29;298.4;
2020-03-31;225.4;
2020-04-30;64.6;
2020-05-31;33.8;
2020-06-30;11;
2020-07-31;2.2;
2020-08-31;null;
2020-09-30;41.6;
2020-10-31;77;
2020-11-30;177.6;
2020-12-31;188.8;
2021-01-31;274.2;
2021-02-28;279.2;
2021-03-31;88;
2021-04-30;69.6;
2021-05-31;3.4;
2021-06-30;36.8;
2021-07-31;.6;
2021-08-31;48.2;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

