Nome: POMPEU
Codigo Estacao: A560
Latitude: -19.23249999
Longitude: -44.96416666
Altitude: 705
Situacao: Operante
Data Inicial: 2015-08-20
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2015-08-31;null;
2015-09-30;51.8;
2015-10-31;70.4;
2015-11-30;47;
2015-12-31;127.6;
2016-01-31;393.2;
2016-02-29;82;
2016-03-31;110.6;
2016-04-30;41.4;
2016-05-31;7;
2016-06-30;6.2;
2016-07-31;0;
2016-08-31;10.8;
2016-09-30;28;
2016-10-31;120.8;
2016-11-30;261.4;
2016-12-31;126.6;
2017-01-31;151.2;
2017-02-28;92.6;
2017-03-31;37.2;
2017-04-30;110.8;
2017-05-31;45;
2017-06-30;24.2;
2017-07-31;0;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;151.8;
2017-12-31;251;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;359.6;
2021-12-31;396.6;
2022-01-31;null;

