Nome: ARACUAI
Codigo Estacao: A566
Latitude: -16.84888888
Longitude: -42.03527777
Altitude: 308
Situacao: Operante
Data Inicial: 2017-05-18
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2017-05-31;null;
2017-06-30;0;
2017-07-31;3;
2017-08-31;0;
2017-09-30;1;
2017-10-31;10.4;
2017-11-30;93.2;
2017-12-31;168.8;
2018-01-31;33.2;
2018-02-28;243.6;
2018-03-31;122;
2018-04-30;22.6;
2018-05-31;12.6;
2018-06-30;.8;
2018-07-31;1.2;
2018-08-31;.2;
2018-09-30;4.4;
2018-10-31;96.8;
2018-11-30;93.2;
2018-12-31;138.4;
2019-01-31;30.2;
2019-02-28;116.6;
2019-03-31;53.2;
2019-04-30;27;
2019-05-31;6.6;
2019-06-30;4.4;
2019-07-31;.2;
2019-08-31;8;
2019-09-30;1.8;
2019-10-31;64.2;
2019-11-30;43.6;
2019-12-31;65.6;
2020-01-31;314.2;
2020-02-29;42.6;
2020-03-31;186.4;
2020-04-30;13.8;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;211;
2021-03-31;22.4;
2021-04-30;47.6;
2021-05-31;.6;
2021-06-30;2.2;
2021-07-31;0;
2021-08-31;4.2;
2021-09-30;2.4;
2021-10-31;76.8;
2021-11-30;174.6;
2021-12-31;362.8;
2022-01-31;null;

