Nome: MACHADO
Codigo Estacao: A567
Latitude: -21.680722
Longitude: -45.944389
Altitude: 969
Situacao: Operante
Data Inicial: 2017-07-20
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2017-07-31;null;
2017-08-31;13.8;
2017-09-30;47;
2017-10-31;132;
2017-11-30;156.6;
2017-12-31;212.6;
2018-01-31;155.4;
2018-02-28;110.2;
2018-03-31;126.6;
2018-04-30;27.6;
2018-05-31;80.4;
2018-06-30;31.8;
2018-07-31;9.8;
2018-08-31;63.2;
2018-09-30;86;
2018-10-31;null;
2018-11-30;null;
2018-12-31;248;
2019-01-31;142.4;
2019-02-28;173.2;
2019-03-31;140.2;
2019-04-30;121.6;
2019-05-31;95.6;
2019-06-30;.4;
2019-07-31;22.4;
2019-08-31;18.8;
2019-09-30;91.2;
2019-10-31;34.8;
2019-11-30;143.2;
2019-12-31;162.8;
2020-01-31;165.8;
2020-02-29;508.2;
2020-03-31;112.2;
2020-04-30;9.4;
2020-05-31;38.6;
2020-06-30;17.6;
2020-07-31;0;
2020-08-31;14.2;
2020-09-30;41;
2020-10-31;77.8;
2020-11-30;108.4;
2020-12-31;440.4;
2021-01-31;null;
2021-02-28;244.2;
2021-03-31;136.4;
2021-04-30;11.6;
2021-05-31;7.8;
2021-06-30;33;
2021-07-31;2.6;
2021-08-31;1.8;
2021-09-30;15.4;
2021-10-31;254.8;
2021-11-30;217.6;
2021-12-31;null;
2022-01-31;null;

