Nome: PARACATU
Codigo Estacao: A571
Latitude: -17.24444444
Longitude: -46.88166666
Altitude: 705
Situacao: Operante
Data Inicial: 2018-03-15
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2018-03-31;null;
2018-04-30;67.4;
2018-05-31;6.4;
2018-06-30;0;
2018-07-31;0;
2018-08-31;null;
2018-09-30;16.6;
2018-10-31;null;
2018-11-30;47.4;
2018-12-31;268.2;
2019-01-31;21.4;
2019-02-28;224.2;
2019-03-31;143.4;
2019-04-30;73;
2019-05-31;81.8;
2019-06-30;0;
2019-07-31;0;
2019-08-31;0;
2019-09-30;7.8;
2019-10-31;50.8;
2019-11-30;198.8;
2019-12-31;165.4;
2020-01-31;380.8;
2020-02-29;314;
2020-03-31;223;
2020-04-30;55.2;
2020-05-31;72;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;43.4;
2021-02-28;278.6;
2021-03-31;191.2;
2021-04-30;26.4;
2021-05-31;0;
2021-06-30;0;
2021-07-31;0;
2021-08-31;0;
2021-09-30;.8;
2021-10-31;146.4;
2021-11-30;237;
2021-12-31;1.8;
2022-01-31;null;

