Nome: SEROPEDICA-ECOLOGIA AGRICOLA
Codigo Estacao: A601
Latitude: -22.75777777
Longitude: -43.68472221
Altitude: 35
Situacao: Operante
Data Inicial: 2000-05-23
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2000-05-31;null;
2000-06-30;2.6;
2000-07-31;77;
2000-08-31;null;
2000-09-30;null;
2000-10-31;57;
2000-11-30;161;
2000-12-31;null;
2001-01-31;null;
2001-02-28;null;
2001-03-31;122.6;
2001-04-30;null;
2001-05-31;null;
2001-06-30;null;
2001-07-31;null;
2001-08-31;30.2;
2001-09-30;40;
2001-10-31;118;
2001-11-30;null;
2001-12-31;258.8;
2002-01-31;null;
2002-02-28;null;
2002-03-31;115;
2002-04-30;46;
2002-05-31;75.2;
2002-06-30;null;
2002-07-31;null;
2002-08-31;null;
2002-09-30;80.6;
2002-10-31;54;
2002-11-30;null;
2002-12-31;null;
2003-01-31;null;
2003-02-28;null;
2003-03-31;null;
2003-04-30;55.8;
2003-05-31;58;
2003-06-30;6;
2003-07-31;12.4;
2003-08-31;null;
2003-09-30;59.6;
2003-10-31;169.8;
2003-11-30;222.2;
2003-12-31;null;
2004-01-31;187.2;
2004-02-29;null;
2004-03-31;58.2;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;25;
2004-12-31;30.2;
2005-01-31;32.6;
2005-02-28;12;
2005-03-31;26.6;
2005-04-30;17.6;
2005-05-31;12.8;
2005-06-30;null;
2005-07-31;12.2;
2005-08-31;.6;
2005-09-30;null;
2005-10-31;null;
2005-11-30;null;
2005-12-31;38.6;
2006-01-31;19.4;
2006-02-28;null;
2006-03-31;6;
2006-04-30;null;
2006-05-31;null;
2006-06-30;0;
2006-07-31;0;
2006-08-31;0;
2006-09-30;0;
2006-10-31;.4;
2006-11-30;10;
2006-12-31;15.6;
2007-01-31;22.4;
2007-02-28;17.8;
2007-03-31;2;
2007-04-30;7.8;
2007-05-31;0;
2007-06-30;0;
2007-07-31;35.6;
2007-08-31;9;
2007-09-30;19.4;
2007-10-31;149.6;
2007-11-30;null;
2007-12-31;189.8;
2008-01-31;201.8;
2008-02-29;259.2;
2008-03-31;193;
2008-04-30;140.6;
2008-05-31;48.6;
2008-06-30;32.8;
2008-07-31;18;
2008-08-31;88.4;
2008-09-30;61;
2008-10-31;98;
2008-11-30;184.2;
2008-12-31;261.6;
2009-01-31;182.8;
2009-02-28;null;
2009-03-31;105.6;
2009-04-30;76.8;
2009-05-31;90.8;
2009-06-30;58.4;
2009-07-31;71.6;
2009-08-31;31.4;
2009-09-30;135.6;
2009-10-31;206.2;
2009-11-30;141.2;
2009-12-31;225.2;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;281.2;
2010-05-31;69.2;
2010-06-30;33.4;
2010-07-31;61.8;
2010-08-31;8;
2010-09-30;51.8;
2010-10-31;106.8;
2010-11-30;93.4;
2010-12-31;223.2;
2011-01-31;122.4;
2011-02-28;37.4;
2011-03-31;156;
2011-04-30;104.4;
2011-05-31;65.4;
2011-06-30;39.2;
2011-07-31;15;
2011-08-31;20.6;
2011-09-30;24.6;
2011-10-31;101.4;
2011-11-30;106.6;
2011-12-31;129.6;
2012-01-31;285.2;
2012-02-29;58;
2012-03-31;null;
2012-04-30;null;
2012-05-31;81.2;
2012-06-30;103;
2012-07-31;32.6;
2012-08-31;31.4;
2012-09-30;77.6;
2012-10-31;63.2;
2012-11-30;101.2;
2012-12-31;138.6;
2013-01-31;363.2;
2013-02-28;171.6;
2013-03-31;180.4;
2013-04-30;92;
2013-05-31;89.6;
2013-06-30;29.6;
2013-07-31;129.8;
2013-08-31;9.4;
2013-09-30;41.4;
2013-10-31;15.2;
2013-11-30;186.8;
2013-12-31;125.6;
2014-01-31;96;
2014-02-28;145.8;
2014-03-31;211.2;
2014-04-30;99.4;
2014-05-31;38.8;
2014-06-30;38.8;
2014-07-31;54.2;
2014-08-31;28.2;
2014-09-30;45.2;
2014-10-31;23;
2014-11-30;79.2;
2014-12-31;94;
2015-01-31;13.8;
2015-02-28;113.6;
2015-03-31;null;
2015-04-30;31;
2015-05-31;43.6;
2015-06-30;47.4;
2015-07-31;11.4;
2015-08-31;7.6;
2015-09-30;95.2;
2015-10-31;28.2;
2015-11-30;149.4;
2015-12-31;154.6;
2016-01-31;207.2;
2016-02-29;208.6;
2016-03-31;89;
2016-04-30;13.6;
2016-05-31;62;
2016-06-30;108;
2016-07-31;0;
2016-08-31;31.2;
2016-09-30;50.4;
2016-10-31;55.2;
2016-11-30;242.8;
2016-12-31;112;
2017-01-31;159.6;
2017-02-28;124.6;
2017-03-31;116.6;
2017-04-30;70.4;
2017-05-31;71.6;
2017-06-30;57.2;
2017-07-31;11.8;
2017-08-31;53.6;
2017-09-30;11;
2017-10-31;86.6;
2017-11-30;166.2;
2017-12-31;66.2;
2018-01-31;271.8;
2018-02-28;102.2;
2018-03-31;113.4;
2018-04-30;64;
2018-05-31;55.6;
2018-06-30;32.2;
2018-07-31;29.8;
2018-08-31;67;
2018-09-30;68.2;
2018-10-31;107;
2018-11-30;189.4;
2018-12-31;72.4;
2019-01-31;77.2;
2019-02-28;258.4;
2019-03-31;250.2;
2019-04-30;107.8;
2019-05-31;81.6;
2019-06-30;76.2;
2019-07-31;13.4;
2019-08-31;53.8;
2019-09-30;106.6;
2019-10-31;60.4;
2019-11-30;102.2;
2019-12-31;156.6;
2020-01-31;104.6;
2020-02-29;265;
2020-03-31;245.2;
2020-04-30;16;
2020-05-31;63.8;
2020-06-30;6;
2020-07-31;45;
