Nome: DUQUE DE CAXIAS - XEREM
Codigo Estacao: A603
Latitude: -22.58972221
Longitude: -43.28222221
Altitude: 22
Situacao: Operante
Data Inicial: 2002-10-20
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2002-10-31;null;
2002-11-30;null;
2002-12-31;null;
2003-01-31;null;
2003-02-28;null;
2003-03-31;null;
2003-04-30;133.2;
2003-05-31;131.8;
2003-06-30;23.6;
2003-07-31;56.8;
2003-08-31;206;
2003-09-30;null;
2003-10-31;null;
2003-11-30;null;
2003-12-31;null;
2004-01-31;null;
2004-02-29;null;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;null;
2005-01-31;465.8;
2005-02-28;252.8;
2005-03-31;234.6;
2005-04-30;242.8;
2005-05-31;92.4;
2005-06-30;103.2;
2005-07-31;125.8;
2005-08-31;13.8;
2005-09-30;null;
2005-10-31;31.6;
2005-11-30;null;
2005-12-31;null;
2006-01-31;null;
2006-02-28;null;
2006-03-31;null;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;124;
2006-08-31;null;
2006-09-30;null;
2006-10-31;null;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;101.6;
2007-04-30;145.4;
2007-05-31;141.6;
2007-06-30;33.2;
2007-07-31;79.6;
2007-08-31;54.6;
2007-09-30;51.2;
2007-10-31;127.4;
2007-11-30;null;
2007-12-31;352.2;
2008-01-31;306;
2008-02-29;306.6;
2008-03-31;365;
2008-04-30;235.8;
2008-05-31;101.6;
2008-06-30;58;
2008-07-31;41.6;
2008-08-31;104;
2008-09-30;143.8;
2008-10-31;null;
2008-11-30;null;
2008-12-31;312.4;
2009-01-31;385;
2009-02-28;262.4;
2009-03-31;160.6;
2009-04-30;249.4;
2009-05-31;136.2;
2009-06-30;65.2;
2009-07-31;104.4;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;430;
2009-12-31;611.8;
2010-01-31;301.8;
2010-02-28;309.8;
2010-03-31;356.2;
2010-04-30;330.4;
2010-05-31;99.6;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;102.4;
2010-10-31;252.4;
2010-11-30;421;
2010-12-31;610;
2011-01-31;225.6;
2011-02-28;102.6;
2011-03-31;466;
2011-04-30;265.8;
2011-05-31;170.4;
2011-06-30;62.2;
2011-07-31;102.8;
2011-08-31;75.6;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;141.2;
2012-06-30;143.6;
2012-07-31;45.8;
2012-08-31;33.6;
2012-09-30;140.4;
2012-10-31;95.8;
2012-11-30;241.2;
2012-12-31;129.2;
2013-01-31;590.2;
2013-02-28;91.2;
2013-03-31;471.2;
2013-04-30;127;
2013-05-31;158;
2013-06-30;null;
2013-07-31;190.2;
2013-08-31;34.4;
2013-09-30;87.8;
2013-10-31;102.6;
2013-11-30;260;
2013-12-31;318.2;
2014-01-31;67.4;
2014-02-28;50.8;
2014-03-31;160.2;
2014-04-30;212.4;
2014-05-31;75.4;
2014-06-30;null;
2014-07-31;null;
2014-08-31;58.8;
2014-09-30;51;
2014-10-31;110.6;
2014-11-30;196.2;
2014-12-31;105.2;
2015-01-31;141.8;
2015-02-28;null;
2015-03-31;229.4;
2015-04-30;70.2;
2015-05-31;43;
2015-06-30;157;
2015-07-31;34.2;
2015-08-31;21;
2015-09-30;111;
2015-10-31;52.8;
2015-11-30;251.8;
2015-12-31;151.8;
2016-01-31;528.6;
2016-02-29;345;
2016-03-31;199;
2016-04-30;20;
2016-05-31;65.6;
2016-06-30;161.8;
2016-07-31;8;
2016-08-31;69;
2016-09-30;126.6;
2016-10-31;117;
2016-11-30;650;
2016-12-31;244;
2017-01-31;389;
2017-02-28;190.2;
2017-03-31;265.2;
2017-04-30;165.6;
2017-05-31;82.4;
2017-06-30;118.2;
2017-07-31;77.6;
2017-08-31;74;
2017-09-30;8.8;
2017-10-31;108.6;
2017-11-30;236.2;
2017-12-31;159.8;
2018-01-31;361.2;
2018-02-28;251.6;
2018-03-31;352;
2018-04-30;133.2;
2018-05-31;84;
2018-06-30;46;
2018-07-31;58.4;
2018-08-31;110;
2018-09-30;83.8;
2018-10-31;146.2;
2018-11-30;286.8;
2018-12-31;197.4;
2019-01-31;143.6;
2019-02-28;286.2;
2019-03-31;241.6;
2019-04-30;186.2;
2019-05-31;75;
2019-06-30;92.4;
2019-07-31;29.2;
2019-08-31;116.6;
2019-09-30;179.2;
2019-10-31;72.4;
2019-11-30;212.2;
2019-12-31;231.8;
2020-01-31;403;
2020-02-29;389.2;
2020-03-31;243.8;
2020-04-30;52.2;
2020-05-31;101.2;
2020-06-30;28;
2020-07-31;55.4;
2020-08-31;111;
2020-09-30;108.4;
2020-10-31;124.8;
2020-11-30;307.6;
2020-12-31;559.4;
2021-01-31;142;
2021-02-28;134.2;
2021-03-31;198.8;
2021-04-30;109.4;
2021-05-31;68;
2021-06-30;30.2;
2021-07-31;30.4;
2021-08-31;45.4;
2021-09-30;88.2;
2021-10-31;189.2;
2021-11-30;193.4;
2021-12-31;247;
2022-01-31;null;

