Nome: CAMBUCI
Codigo Estacao: A604
Latitude: -21.58749999
Longitude: -41.95833333
Altitude: 46
Situacao: Operante
Data Inicial: 2002-11-19
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2002-11-30;null;
2002-12-31;null;
2003-01-31;null;
2003-02-28;null;
2003-03-31;40;
2003-04-30;51.8;
2003-05-31;40.4;
2003-06-30;.2;
2003-07-31;14.6;
2003-08-31;61.4;
2003-09-30;64.8;
2003-10-31;82.8;
2003-11-30;135.4;
2003-12-31;null;
2004-01-31;null;
2004-02-29;null;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;null;
2005-01-31;234;
2005-02-28;142.8;
2005-03-31;221.6;
2005-04-30;46;
2005-05-31;53.2;
2005-06-30;78.6;
2005-07-31;37;
2005-08-31;3.2;
2005-09-30;null;
2005-10-31;null;
2005-11-30;null;
2005-12-31;199.8;
2006-01-31;81.2;
2006-02-28;null;
2006-03-31;91.8;
2006-04-30;null;
2006-05-31;null;
2006-06-30;15.6;
2006-07-31;28.2;
2006-08-31;31.6;
2006-09-30;104.6;
2006-10-31;68.6;
2006-11-30;342.6;
2006-12-31;219.4;
2007-01-31;594.4;
2007-02-28;99.6;
2007-03-31;19.8;
2007-04-30;68.6;
2007-05-31;25.8;
2007-06-30;8;
2007-07-31;null;
2007-08-31;1.6;
2007-09-30;22.4;
2007-10-31;53.6;
2007-11-30;65.8;
2007-12-31;220.6;
2008-01-31;221.6;
2008-02-29;153;
2008-03-31;112;
2008-04-30;56.6;
2008-05-31;59.8;
2008-06-30;null;
2008-07-31;null;
2008-08-31;null;
2008-09-30;56.2;
2008-10-31;57.6;
2008-11-30;348.4;
2008-12-31;423;
2009-01-31;354.2;
2009-02-28;97.6;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;26.6;
2009-09-30;59.4;
2009-10-31;275.8;
2009-11-30;163.6;
2009-12-31;359.8;
2010-01-31;110.6;
2010-02-28;50.8;
2010-03-31;154;
2010-04-30;111.2;
2010-05-31;null;
2010-06-30;6.4;
2010-07-31;null;
2010-08-31;14.6;
2010-09-30;24.8;
2010-10-31;null;
2010-11-30;325;
2010-12-31;460.2;
2011-01-31;153;
2011-02-28;155;
2011-03-31;444.2;
2011-04-30;124.4;
2011-05-31;56.4;
2011-06-30;28;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;268.2;
2011-11-30;185.8;
2011-12-31;253.6;
2012-01-31;434.4;
2012-02-29;43.8;
2012-03-31;104.8;
2012-04-30;30;
2012-05-31;null;
2012-06-30;null;
2012-07-31;null;
2012-08-31;93.8;
2012-09-30;43.2;
2012-10-31;19.6;
2012-11-30;219.8;
2012-12-31;33.6;
2013-01-31;166.4;
2013-02-28;48.8;
2013-03-31;179.8;
2013-04-30;30.4;
2013-05-31;45.8;
2013-06-30;18.4;
2013-07-31;8;
2013-08-31;28.8;
2013-09-30;54.2;
2013-10-31;23.8;
2013-11-30;126.6;
2013-12-31;545;
2014-01-31;22.8;
2014-02-28;91.4;
2014-03-31;78.6;
2014-04-30;34.8;
2014-05-31;58.8;
2014-06-30;39.8;
2014-07-31;28;
2014-08-31;24.4;
2014-09-30;5;
2014-10-31;65.6;
2014-11-30;317.6;
2014-12-31;72.4;
2015-01-31;20.4;
2015-02-28;104.6;
2015-03-31;179.2;
2015-04-30;77.4;
2015-05-31;null;
2015-06-30;null;
2015-07-31;18;
2015-08-31;33.8;
2015-09-30;70.6;
2015-10-31;56.2;
2015-11-30;160;
2015-12-31;98.4;
2016-01-31;124.4;
2016-02-29;105.8;
2016-03-31;145.6;
2016-04-30;42;
2016-05-31;62.4;
2016-06-30;68.2;
2016-07-31;5.2;
2016-08-31;12.8;
2016-09-30;65.4;
2016-10-31;31.4;
2016-11-30;250;
2016-12-31;200.8;
2017-01-31;49.6;
2017-02-28;45.2;
2017-03-31;74.4;
2017-04-30;47.2;
2017-05-31;55.8;
2017-06-30;14.8;
2017-07-31;38.6;
2017-08-31;3.6;
2017-09-30;.2;
2017-10-31;17.2;
2017-11-30;210;
2017-12-31;72.4;
2018-01-31;167.2;
2018-02-28;34.4;
2018-03-31;null;
2018-04-30;null;
2018-05-31;21;
2018-06-30;6.6;
2018-07-31;57.6;
2018-08-31;46.4;
2018-09-30;52.8;
2018-10-31;51.6;
2018-11-30;256.4;
2018-12-31;121.2;
2019-01-31;59.6;
2019-02-28;141.8;
2019-03-31;130.2;
2019-04-30;19.4;
2019-05-31;48.4;
2019-06-30;5.8;
2019-07-31;.2;
2019-08-31;15.6;
2019-09-30;54.4;
2019-10-31;29.4;
2019-11-30;315.8;
2019-12-31;226.6;
2020-01-31;234.8;
2020-02-29;249.8;
2020-03-31;77.8;
2020-04-30;95.4;
2020-05-31;88.8;
2020-06-30;1.2;
2020-07-31;2.8;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;2.6;
2021-08-31;30;
2021-09-30;22.6;
2021-10-31;192.4;
2021-11-30;228.4;
2021-12-31;195.4;
2022-01-31;null;

