Nome: CAMPOS DOS GOYTACAZES
Codigo Estacao: A607
Latitude: -21.71472222
Longitude: -41.34388888
Altitude: 17
Situacao: Operante
Data Inicial: 2006-09-24
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-09-30;null;
2006-10-31;122.6;
2006-11-30;192.8;
2006-12-31;149.4;
2007-01-31;429.4;
2007-02-28;50.4;
2007-03-31;67.2;
2007-04-30;91.8;
2007-05-31;122;
2007-06-30;13.8;
2007-07-31;19.8;
2007-08-31;9.8;
2007-09-30;27.2;
2007-10-31;84.6;
2007-11-30;82.6;
2007-12-31;116.2;
2008-01-31;156.6;
2008-02-29;136.2;
2008-03-31;104.4;
2008-04-30;220.8;
2008-05-31;22.8;
2008-06-30;53.6;
2008-07-31;14;
2008-08-31;3.8;
2008-09-30;63.2;
2008-10-31;72.4;
2008-11-30;506.4;
2008-12-31;406.6;
2009-01-31;156;
2009-02-28;67.4;
2009-03-31;146.4;
2009-04-30;105.6;
2009-05-31;39.2;
2009-06-30;49.2;
2009-07-31;36.4;
2009-08-31;19;
2009-09-30;33.4;
2009-10-31;216.2;
2009-11-30;76.2;
2009-12-31;153;
2010-01-31;23.8;
2010-02-28;63.2;
2010-03-31;110.8;
2010-04-30;31.4;
2010-05-31;43;
2010-06-30;44.8;
2010-07-31;57.6;
2010-08-31;6.4;
2010-09-30;9.4;
2010-10-31;99.2;
2010-11-30;171.2;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;242;
2011-04-30;57.8;
2011-05-31;47.6;
2011-06-30;17.8;
2011-07-31;7.4;
2011-08-31;23.4;
2011-09-30;15.2;
2011-10-31;151.6;
2011-11-30;118.6;
2011-12-31;120.2;
2012-01-31;208.2;
2012-02-29;18.2;
2012-03-31;90.2;
2012-04-30;17.2;
2012-05-31;149.4;
2012-06-30;97;
2012-07-31;15.4;
2012-08-31;70.8;
2012-09-30;30;
2012-10-31;5.6;
2012-11-30;169;
2012-12-31;14;
2013-01-31;67;
2013-02-28;47;
2013-03-31;null;
2013-04-30;null;
2013-05-31;54.8;
2013-06-30;23.4;
2013-07-31;76.8;
2013-08-31;58.2;
2013-09-30;52.4;
2013-10-31;13.4;
2013-11-30;null;
2013-12-31;343.2;
2014-01-31;34.6;
2014-02-28;10.6;
2014-03-31;112.2;
2014-04-30;134.4;
2014-05-31;7.6;
2014-06-30;32.2;
2014-07-31;113.8;
2014-08-31;19;
2014-09-30;10.4;
2014-10-31;34.6;
2014-11-30;74.8;
2014-12-31;27.8;
2015-01-31;0;
2015-02-28;50.2;
2015-03-31;114.2;
2015-04-30;62.4;
2015-05-31;125.8;
2015-06-30;44.4;
2015-07-31;18;
2015-08-31;36.4;
2015-09-30;82.4;
2015-10-31;96;
2015-11-30;151.8;
2015-12-31;106.4;
2016-01-31;215.6;
2016-02-29;79.6;
2016-03-31;63.6;
2016-04-30;18.6;
2016-05-31;28.6;
2016-06-30;59;
2016-07-31;27.8;
2016-08-31;17;
2016-09-30;40.6;
2016-10-31;88.8;
2016-11-30;223.8;
2016-12-31;168.4;
2017-01-31;71.2;
2017-02-28;44.2;
2017-03-31;86.8;
2017-04-30;66.8;
2017-05-31;76;
2017-06-30;28.8;
2017-07-31;79;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;121.8;
2017-12-31;114.6;
2018-01-31;138;
2018-02-28;119.4;
2018-03-31;412.8;
2018-04-30;50.4;
2018-05-31;38.8;
2018-06-30;4.6;
2018-07-31;33;
2018-08-31;78.8;
2018-09-30;34;
2018-10-31;94.4;
2018-11-30;128.4;
2018-12-31;53;
2019-01-31;32.2;
2019-02-28;106.6;
2019-03-31;100.6;
2019-04-30;46;
2019-05-31;133.2;
2019-06-30;23.2;
2019-07-31;7.2;
2019-08-31;58;
2019-09-30;72.2;
2019-10-31;25.4;
2019-11-30;336;
2019-12-31;127.2;
2020-01-31;167;
2020-02-29;135.2;
2020-03-31;148.6;
2020-04-30;79.2;
2020-05-31;75.4;
2020-06-30;10.2;
2020-07-31;28.8;
2020-08-31;32;
2020-09-30;64;
2020-10-31;152.6;
2020-11-30;195.4;
2020-12-31;202;
2021-01-31;43.8;
2021-02-28;189.6;
2021-03-31;110.8;
2021-04-30;55.4;
2021-05-31;14.8;
2021-06-30;110.6;
2021-07-31;4.6;
2021-08-31;133.6;
2021-09-30;49.6;
2021-10-31;244.8;
2021-11-30;125.2;
2021-12-31;105.8;
2022-01-31;null;

