Nome: VALENCA
Codigo Estacao: A611
Latitude: -22.35805555
Longitude: -43.69555555
Altitude: 370
Situacao: Operante
Data Inicial: 2006-09-26
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-09-30;null;
2006-10-31;106.4;
2006-11-30;201.8;
2006-12-31;137.2;
2007-01-31;370.8;
2007-02-28;107.2;
2007-03-31;47.6;
2007-04-30;32.6;
2007-05-31;30.8;
2007-06-30;5.6;
2007-07-31;20.6;
2007-08-31;3.6;
2007-09-30;12.4;
2007-10-31;21.6;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;201.2;
2008-04-30;209.4;
2008-05-31;19.2;
2008-06-30;13.8;
2008-07-31;7.2;
2008-08-31;18.2;
2008-09-30;1.6;
2008-10-31;103.2;
2008-11-30;218.6;
2008-12-31;287;
2009-01-31;269;
2009-02-28;248.4;
2009-03-31;148.2;
2009-04-30;52.6;
2009-05-31;15.4;
2009-06-30;30.8;
2009-07-31;27.2;
2009-08-31;10.8;
2009-09-30;94.6;
2009-10-31;146;
2009-11-30;139;
2009-12-31;298;
2010-01-31;263.4;
2010-02-28;116.6;
2010-03-31;130.6;
2010-04-30;114.6;
2010-05-31;30.6;
2010-06-30;6.2;
2010-07-31;49.8;
2010-08-31;2.6;
2010-09-30;42.6;
2010-10-31;120;
2010-11-30;180.4;
2010-12-31;303;
2011-01-31;204.4;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;5.4;
2011-10-31;183;
2011-11-30;130.2;
2011-12-31;287.8;
2012-01-31;359;
2012-02-29;169;
2012-03-31;140;
2012-04-30;85.2;
2012-05-31;86.8;
2012-06-30;98;
2012-07-31;21;
2012-08-31;16.8;
2012-09-30;47.6;
2012-10-31;93.6;
2012-11-30;203.8;
2012-12-31;184;
2013-01-31;251.2;
2013-02-28;119;
2013-03-31;209.2;
2013-04-30;56;
2013-05-31;70.6;
2013-06-30;64.2;
2013-07-31;81.2;
2013-08-31;9.6;
2013-09-30;56.8;
2013-10-31;90.4;
2013-11-30;179.2;
2013-12-31;183.6;
2014-01-31;158.4;
2014-02-28;50.2;
2014-03-31;153.8;
2014-04-30;89.2;
2014-05-31;62.4;
2014-06-30;62.8;
2014-07-31;42;
2014-08-31;14.2;
2014-09-30;null;
2014-10-31;77.4;
2014-11-30;254.4;
2014-12-31;134.2;
2015-01-31;136.6;
2015-02-28;225.8;
2015-03-31;212.2;
2015-04-30;101.8;
2015-05-31;24.6;
2015-06-30;41.2;
2015-07-31;3.2;
2015-08-31;22.2;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;163.4;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;7.4;
2016-05-31;15;
2016-06-30;88.4;
2016-07-31;.2;
2016-08-31;29.8;
2016-09-30;null;
2016-10-31;26;
2016-11-30;206.8;
2016-12-31;154.6;
2017-01-31;170.6;
2017-02-28;null;
2017-03-31;68.4;
2017-04-30;35;
2017-05-31;42.4;
2017-06-30;19;
2017-07-31;null;
2017-08-31;36.6;
2017-09-30;11;
2017-10-31;62.2;
2017-11-30;158.6;
2017-12-31;115.6;
2018-01-31;282.6;
2018-02-28;209.6;
2018-03-31;120.8;
2018-04-30;56.4;
2018-05-31;29.6;
2018-06-30;4;
2018-07-31;8.8;
2018-08-31;50.4;
2018-09-30;103.2;
2018-10-31;42.2;
2018-11-30;160;
2018-12-31;.4;
2019-01-31;54.8;
2019-02-28;167.2;
2019-03-31;114.8;
2019-04-30;58.8;
2019-05-31;14;
2019-06-30;9.6;
2019-07-31;0;
2019-08-31;null;
2019-09-30;25.2;
2019-10-31;null;
2019-11-30;94.4;
2019-12-31;197.8;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;25.2;
2020-06-30;7.8;
2020-07-31;6.2;
2020-08-31;null;
2020-09-30;55.6;
2020-10-31;30;
2020-11-30;177.6;
2020-12-31;262.8;
2021-01-31;75;
2021-02-28;195;
2021-03-31;95.4;
2021-04-30;24.6;
2021-05-31;42.2;
2021-06-30;10.4;
2021-07-31;7.6;
2021-08-31;61.2;
2021-09-30;29.6;
2021-10-31;173.6;
2021-11-30;197.8;
2021-12-31;328.2;
2022-01-31;null;

