Nome: SANTA TERESA
Codigo Estacao: A613
Latitude: -19.988388
Longitude: -40.579572
Altitude: 975.92
Situacao: Operante
Data Inicial: 2007-08-08
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-08-31;null;
2007-09-30;161.2;
2007-10-31;42;
2007-11-30;null;
2007-12-31;97.2;
2008-01-31;116.2;
2008-02-29;203.6;
2008-03-31;149.6;
2008-04-30;51.8;
2008-05-31;44;
2008-06-30;56;
2008-07-31;32.6;
2008-08-31;53.6;
2008-09-30;57;
2008-10-31;164;
2008-11-30;450;
2008-12-31;288.4;
2009-01-31;329.6;
2009-02-28;84.8;
2009-03-31;174.8;
2009-04-30;163;
2009-05-31;54.4;
2009-06-30;88.2;
2009-07-31;78.2;
2009-08-31;86.8;
2009-09-30;65.8;
2009-10-31;380.8;
2009-11-30;175;
2009-12-31;281.8;
2010-01-31;12.6;
2010-02-28;48.8;
2010-03-31;273.4;
2010-04-30;163.4;
2010-05-31;164.8;
2010-06-30;44.4;
2010-07-31;237;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;337;
2010-12-31;366;
2011-01-31;213.2;
2011-02-28;44.8;
2011-03-31;400;
2011-04-30;263.6;
2011-05-31;37.4;
2011-06-30;43.6;
2011-07-31;106;
2011-08-31;33.6;
2011-09-30;125.4;
2011-10-31;259.6;
2011-11-30;313;
2011-12-31;293.6;
2012-01-31;441.8;
2012-02-29;99;
2012-03-31;45.8;
2012-04-30;79.4;
2012-05-31;120.4;
2012-06-30;181.4;
2012-07-31;63.8;
2012-08-31;588.6;
2012-09-30;61.2;
2012-10-31;87;
2012-11-30;353;
2012-12-31;153.6;
2013-01-31;233.2;
2013-02-28;160.4;
2013-03-31;258.8;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;80.8;
2013-08-31;122;
2013-09-30;86;
2013-10-31;143;
2013-11-30;null;
2013-12-31;837.8;
2014-01-31;70;
2014-02-28;null;
2014-03-31;86.8;
2014-04-30;122.8;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;49.4;
2014-10-31;111.6;
2014-11-30;197.6;
2014-12-31;208.2;
2015-01-31;20.2;
2015-02-28;148.2;
2015-03-31;76.6;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;40.6;
2015-08-31;110.2;
2015-09-30;47.8;
2015-10-31;null;
2015-11-30;null;
2015-12-31;66;
2016-01-31;null;
2016-02-29;null;
2016-03-31;78.4;
2016-04-30;null;
2016-05-31;21.2;
2016-06-30;81.2;
2016-07-31;58;
2016-08-31;16;
2016-09-30;null;
2016-10-31;166.2;
2016-11-30;286.4;
2016-12-31;157.8;
2017-01-31;21.8;
2017-02-28;130.2;
2017-03-31;120.4;
2017-04-30;36.2;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;7.8;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;11.6;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;114.8;
2018-09-30;26.6;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;27;
2019-02-28;122;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;80.8;
2019-08-31;81.2;
2019-09-30;79.4;
2019-10-31;79.4;
2019-11-30;336;
2019-12-31;170.4;
2020-01-31;272;
2020-02-29;183.8;
2020-03-31;228.4;
2020-04-30;44.8;
2020-05-31;112.4;
2020-06-30;107.8;
2020-07-31;118;
2020-08-31;100.8;
2020-09-30;30.4;
2020-10-31;262.4;
2020-11-30;145.6;
2020-12-31;167.2;
2021-01-31;42;
2021-02-28;221.6;
2021-03-31;234.4;
2021-04-30;146.8;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;213;
2021-12-31;167.6;
2022-01-31;null;

