Nome: LINHARES
Codigo Estacao: A614
Latitude: -19.35694444
Longitude: -40.0686111
Altitude: 40
Situacao: Operante
Data Inicial: 2006-10-26
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-10-31;null;
2006-11-30;384;
2006-12-31;275.6;
2007-01-31;118.8;
2007-02-28;213.6;
2007-03-31;50.2;
2007-04-30;182.4;
2007-05-31;18.6;
2007-06-30;14.6;
2007-07-31;4.4;
2007-08-31;38.4;
2007-09-30;42;
2007-10-31;21.4;
2007-11-30;149.8;
2007-12-31;84.4;
2008-01-31;136.6;
2008-02-29;159.2;
2008-03-31;86.4;
2008-04-30;101.2;
2008-05-31;12.6;
2008-06-30;25.4;
2008-07-31;30.8;
2008-08-31;27;
2008-09-30;25.4;
2008-10-31;86.2;
2008-11-30;436.4;
2008-12-31;297.6;
2009-01-31;378;
2009-02-28;97.8;
2009-03-31;202.4;
2009-04-30;243;
2009-05-31;17.8;
2009-06-30;26;
2009-07-31;86.2;
2009-08-31;134.4;
2009-09-30;32;
2009-10-31;484.8;
2009-11-30;174.8;
2009-12-31;108.4;
2010-01-31;9.6;
2010-02-28;52.4;
2010-03-31;201.6;
2010-04-30;192.8;
2010-05-31;48.2;
2010-06-30;18.6;
2010-07-31;154.4;
2010-08-31;12.4;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;213.2;
2011-01-31;105.8;
2011-02-28;74.8;
2011-03-31;305.8;
2011-04-30;12.2;
2011-05-31;32.4;
2011-06-30;10.4;
2011-07-31;62.8;
2011-08-31;8.2;
2011-09-30;30;
2011-10-31;237.8;
2011-11-30;213;
2011-12-31;159.2;
2012-01-31;174.2;
2012-02-29;91.8;
2012-03-31;45.8;
2012-04-30;59.8;
2012-05-31;51.6;
2012-06-30;50.8;
2012-07-31;80.6;
2012-08-31;125.4;
2012-09-30;42.4;
2012-10-31;32.2;
2012-11-30;362.4;
2012-12-31;62.6;
2013-01-31;76.4;
2013-02-28;22;
2013-03-31;109.4;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;44.2;
2013-08-31;30.4;
2013-09-30;42.4;
2013-10-31;89.6;
2013-11-30;196.4;
2013-12-31;648.2;
2014-01-31;50.6;
2014-02-28;83.2;
2014-03-31;88.4;
2014-04-30;77;
2014-05-31;10.4;
2014-06-30;37.8;
2014-07-31;79.8;
2014-08-31;58.6;
2014-09-30;15;
2014-10-31;105.6;
2014-11-30;83.8;
2014-12-31;101.6;
2015-01-31;30.8;
2015-02-28;87.4;
2015-03-31;150.6;
2015-04-30;19;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;30.2;
2016-01-31;151.2;
2016-02-29;25.8;
2016-03-31;46;
2016-04-30;22.4;
2016-05-31;23;
2016-06-30;39;
2016-07-31;57;
2016-08-31;16.6;
2016-09-30;15.2;
2016-10-31;55.4;
2016-11-30;261;
2016-12-31;59.4;
2017-01-31;18.8;
2017-02-28;41;
2017-03-31;57.2;
2017-04-30;52.2;
2017-05-31;135.8;
2017-06-30;63;
2017-07-31;92.4;
2017-08-31;9.2;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;281.2;
2018-01-31;113.2;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;110.8;
2018-06-30;39.2;
2018-07-31;12.6;
2018-08-31;63.6;
2018-09-30;27.8;
2018-10-31;113.2;
2018-11-30;254.4;
2018-12-31;215.8;
2019-01-31;null;
2019-02-28;90.8;
2019-03-31;57.4;
2019-04-30;48.4;
2019-05-31;93.6;
2019-06-30;52.4;
2019-07-31;23.4;
2019-08-31;28.4;
2019-09-30;22.8;
2019-10-31;38.6;
2019-11-30;352;
2019-12-31;117;
2020-01-31;227;
2020-02-29;113.6;
2020-03-31;84.8;
2020-04-30;22.2;
2020-05-31;46.6;
2020-06-30;36.4;
2020-07-31;75.8;
2020-08-31;53.2;
2020-09-30;31.8;
2020-10-31;155;
2020-11-30;75.8;
2020-12-31;36;
2021-01-31;42.4;
2021-02-28;175;
2021-03-31;170.6;
2021-04-30;25.6;
2021-05-31;7.8;
2021-06-30;48.2;
2021-07-31;1.4;
2021-08-31;37;
2021-09-30;43.6;
2021-10-31;241;
2021-11-30;209.4;
2021-12-31;188;
2022-01-31;null;

