Nome: ALFREDO CHAVES
Codigo Estacao: A615
Latitude: -20.63638888
Longitude: -40.74194444
Altitude: 14.19
Situacao: Operante
Data Inicial: 2006-11-02
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-11-30;null;
2006-12-31;251.2;
2007-01-31;184.8;
2007-02-28;150;
2007-03-31;25.4;
2007-04-30;120;
2007-05-31;37.2;
2007-06-30;44;
2007-07-31;10.4;
2007-08-31;34.8;
2007-09-30;66.8;
2007-10-31;60.6;
2007-11-30;null;
2007-12-31;110.4;
2008-01-31;null;
2008-02-29;null;
2008-03-31;171.8;
2008-04-30;128.8;
2008-05-31;58;
2008-06-30;67;
2008-07-31;28.2;
2008-08-31;15;
2008-09-30;40.6;
2008-10-31;128.8;
2008-11-30;602.2;
2008-12-31;204.8;
2009-01-31;148;
2009-02-28;35.2;
2009-03-31;237.4;
2009-04-30;286.4;
2009-05-31;95.4;
2009-06-30;30.4;
2009-07-31;101.8;
2009-08-31;87.8;
2009-09-30;43;
2009-10-31;268;
2009-11-30;49;
2009-12-31;48;
2010-01-31;38.4;
2010-02-28;36.6;
2010-03-31;431.2;
2010-04-30;143.2;
2010-05-31;66.6;
2010-06-30;32.6;
2010-07-31;90;
2010-08-31;19.8;
2010-09-30;29.4;
2010-10-31;87.8;
2010-11-30;206;
2010-12-31;215.2;
2011-01-31;90.4;
2011-02-28;19.4;
2011-03-31;442;
2011-04-30;181;
2011-05-31;53.8;
2011-06-30;35;
2011-07-31;81.2;
2011-08-31;53.2;
2011-09-30;53.6;
2011-10-31;250;
2011-11-30;195.2;
2011-12-31;332.8;
2012-01-31;217.8;
2012-02-29;47.6;
2012-03-31;112.2;
2012-04-30;60;
2012-05-31;380.2;
2012-06-30;195;
2012-07-31;49.8;
2012-08-31;238.2;
2012-09-30;59.4;
2012-10-31;23.2;
2012-11-30;392.4;
2012-12-31;205.8;
2013-01-31;239.2;
2013-02-28;12.2;
2013-03-31;423;
2013-04-30;212.8;
2013-05-31;84.6;
2013-06-30;88.6;
2013-07-31;74.2;
2013-08-31;86.6;
2013-09-30;39.4;
2013-10-31;78.2;
2013-11-30;220.6;
2013-12-31;475.2;
2014-01-31;52;
2014-02-28;99.2;
2014-03-31;173.4;
2014-04-30;null;
2014-05-31;null;
2014-06-30;53;
2014-07-31;62.4;
2014-08-31;108.4;
2014-09-30;65.8;
2014-10-31;64.4;
2014-11-30;184.6;
2014-12-31;104.6;
2015-01-31;1;
2015-02-28;58;
2015-03-31;107.8;
2015-04-30;98.6;
2015-05-31;172.2;
2015-06-30;273.8;
2015-07-31;83;
2015-08-31;27;
2015-09-30;86.6;
2015-10-31;112.2;
2015-11-30;80.6;
2015-12-31;143.4;
2016-01-31;211.6;
2016-02-29;23.8;
2016-03-31;204.8;
2016-04-30;37.4;
2016-05-31;21.6;
2016-06-30;111.8;
2016-07-31;22.4;
2016-08-31;50.4;
2016-09-30;44.4;
2016-10-31;196.2;
2016-11-30;167.2;
2016-12-31;300.6;
2017-01-31;34.6;
2017-02-28;76;
2017-03-31;107.4;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;28.4;
2017-09-30;15.6;
2017-10-31;96.8;
2017-11-30;340;
2017-12-31;250.8;
2018-01-31;147.6;
2018-02-28;246.6;
2018-03-31;332.2;
2018-04-30;350.8;
2018-05-31;237;
2018-06-30;96.8;
2018-07-31;11.4;
2018-08-31;140.8;
2018-09-30;45.8;
2018-10-31;88.2;
2018-11-30;317.6;
2018-12-31;239;
2019-01-31;0;
2019-02-28;139;
2019-03-31;118;
2019-04-30;88;
2019-05-31;282.2;
2019-06-30;35.8;
2019-07-31;11.4;
2019-08-31;47.8;
2019-09-30;98;
2019-10-31;58.8;
2019-11-30;373.8;
2019-12-31;130;
2020-01-31;508.6;
2020-02-29;171.2;
2020-03-31;403.8;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;95.8;
2020-10-31;175.6;
2020-11-30;40.6;
2020-12-31;195.8;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

