Nome: SAO MATEUS
Codigo Estacao: A616
Latitude: -18.676198
Longitude: -39.864051
Altitude: 28.66
Situacao: Operante
Data Inicial: 2006-10-24
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-10-31;null;
2006-11-30;329.6;
2006-12-31;325.8;
2007-01-31;49.4;
2007-02-28;263.4;
2007-03-31;51.4;
2007-04-30;199.2;
2007-05-31;22.2;
2007-06-30;7.6;
2007-07-31;13.8;
2007-08-31;51;
2007-09-30;90.2;
2007-10-31;62.4;
2007-11-30;98.6;
2007-12-31;138.2;
2008-01-31;137.4;
2008-02-29;223;
2008-03-31;133;
2008-04-30;100.8;
2008-05-31;51.6;
2008-06-30;29.8;
2008-07-31;35;
2008-08-31;63.8;
2008-09-30;8;
2008-10-31;89.4;
2008-11-30;528.4;
2008-12-31;148.6;
2009-01-31;195.6;
2009-02-28;45.6;
2009-03-31;129.8;
2009-04-30;150.8;
2009-05-31;11.2;
2009-06-30;43.8;
2009-07-31;35.2;
2009-08-31;42;
2009-09-30;12.8;
2009-10-31;289.2;
2009-11-30;111.2;
2009-12-31;30;
2010-01-31;13.4;
2010-02-28;37;
2010-03-31;270.2;
2010-04-30;135.4;
2010-05-31;null;
2010-06-30;null;
2010-07-31;98;
2010-08-31;9.6;
2010-09-30;32.2;
2010-10-31;145.4;
2010-11-30;175.8;
2010-12-31;109.4;
2011-01-31;73.2;
2011-02-28;61;
2011-03-31;203.2;
2011-04-30;239.8;
2011-05-31;37.8;
2011-06-30;40.8;
2011-07-31;96.6;
2011-08-31;29.4;
2011-09-30;18;
2011-10-31;219.6;
2011-11-30;244.4;
2011-12-31;161.4;
2012-01-31;129.8;
2012-02-29;104.6;
2012-03-31;44.2;
2012-04-30;43.2;
2012-05-31;43.2;
2012-06-30;17.4;
2012-07-31;106.8;
2012-08-31;216.2;
2012-09-30;34;
2012-10-31;24.4;
2012-11-30;262.6;
2012-12-31;16.8;
2013-01-31;159;
2013-02-28;20.4;
2013-03-31;18.6;
2013-04-30;116.6;
2013-05-31;52.2;
2013-06-30;21.2;
2013-07-31;80.6;
2013-08-31;63;
2013-09-30;78;
2013-10-31;92;
2013-11-30;252.8;
2013-12-31;243.4;
2014-01-31;63.8;
2014-02-28;71.6;
2014-03-31;93.4;
2014-04-30;79.6;
2014-05-31;16;
2014-06-30;null;
2014-07-31;91.6;
2014-08-31;103.6;
2014-09-30;20.8;
2014-10-31;183.6;
2014-11-30;60.8;
2014-12-31;60.2;
2015-01-31;20.8;
2015-02-28;85.4;
2015-03-31;97.6;
2015-04-30;52.2;
2015-05-31;189.4;
2015-06-30;101.4;
2015-07-31;44.4;
2015-08-31;65.2;
2015-09-30;4.4;
2015-10-31;31.2;
2015-11-30;31.2;
2015-12-31;34.4;
2016-01-31;193.8;
2016-02-29;6.2;
2016-03-31;51.6;
2016-04-30;28.4;
2016-05-31;22.2;
2016-06-30;28.2;
2016-07-31;47.8;
2016-08-31;12.8;
2016-09-30;27.8;
2016-10-31;64.6;
2016-11-30;172.2;
2016-12-31;88.6;
2017-01-31;null;
2017-02-28;null;
2017-03-31;131.2;
2017-04-30;24.2;
2017-05-31;127.8;
2017-06-30;102.2;
2017-07-31;92.4;
2017-08-31;29.2;
2017-09-30;89;
2017-10-31;null;
2017-11-30;109;
2017-12-31;366.2;
2018-01-31;34.2;
2018-02-28;201.6;
2018-03-31;66.2;
2018-04-30;172.6;
2018-05-31;222;
2018-06-30;62.4;
2018-07-31;18.4;
2018-08-31;72.8;
2018-09-30;25.2;
2018-10-31;140;
2018-11-30;227;
2018-12-31;198.8;
2019-01-31;40.8;
2019-02-28;34.8;
2019-03-31;100.8;
2019-04-30;73.8;
2019-05-31;165.4;
2019-06-30;121.6;
2019-07-31;54.4;
2019-08-31;128.4;
2019-09-30;33.8;
2019-10-31;188.2;
2019-11-30;321.4;
2019-12-31;93.8;
2020-01-31;278.8;
2020-02-29;29.8;
2020-03-31;160.8;
2020-04-30;49.6;
2020-05-31;32.4;
2020-06-30;52.6;
2020-07-31;93.6;
2020-08-31;79.2;
2020-09-30;49.6;
2020-10-31;137;
2020-11-30;136.4;
2020-12-31;49.2;
2021-01-31;68.8;
2021-02-28;219.6;
2021-03-31;71;
2021-04-30;48;
2021-05-31;21.4;
2021-06-30;18.8;
2021-07-31;9;
2021-08-31;49;
2021-09-30;37.2;
2021-10-31;189;
2021-11-30;222.6;
2021-12-31;415.6;
2022-01-31;null;

