Nome: ALEGRE
Codigo Estacao: A617
Latitude: -20.75055555
Longitude: -41.48888888
Altitude: 138
Situacao: Operante
Data Inicial: 2006-10-24
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-10-31;null;
2006-11-30;289.8;
2006-12-31;298.2;
2007-01-31;278.4;
2007-02-28;111.4;
2007-03-31;6.8;
2007-04-30;93.6;
2007-05-31;23.6;
2007-06-30;4.8;
2007-07-31;9.6;
2007-08-31;6;
2007-09-30;8.8;
2007-10-31;84.4;
2007-11-30;139;
2007-12-31;249.8;
2008-01-31;159;
2008-02-29;211.4;
2008-03-31;111.8;
2008-04-30;161.2;
2008-05-31;30;
2008-06-30;12.4;
2008-07-31;21.2;
2008-08-31;15.8;
2008-09-30;70.6;
2008-10-31;36.4;
2008-11-30;367.4;
2008-12-31;391.4;
2009-01-31;248.4;
2009-02-28;123.8;
2009-03-31;213;
2009-04-30;217;
2009-05-31;11.4;
2009-06-30;20.6;
2009-07-31;null;
2009-08-31;38.8;
2009-09-30;85.8;
2009-10-31;168.2;
2009-11-30;64.8;
2009-12-31;207.4;
2010-01-31;13.6;
2010-02-28;120.8;
2010-03-31;301.2;
2010-04-30;195.2;
2010-05-31;72.6;
2010-06-30;6.6;
2010-07-31;86.8;
2010-08-31;15.6;
2010-09-30;25;
2010-10-31;null;
2010-11-30;342.2;
2010-12-31;565.2;
2011-01-31;47.8;
2011-02-28;148.4;
2011-03-31;null;
2011-04-30;183.4;
2011-05-31;30.4;
2011-06-30;31.8;
2011-07-31;44;
2011-08-31;5;
2011-09-30;32.6;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;216.4;
2012-02-29;17;
2012-03-31;70.8;
2012-04-30;66.4;
2012-05-31;110;
2012-06-30;25;
2012-07-31;8.8;
2012-08-31;29.8;
2012-09-30;49.4;
2012-10-31;55;
2012-11-30;290.8;
2012-12-31;78.4;
2013-01-31;365.2;
2013-02-28;123.8;
2013-03-31;387.2;
2013-04-30;31.4;
2013-05-31;72.6;
2013-06-30;38.4;
2013-07-31;23.4;
2013-08-31;27.4;
2013-09-30;37;
2013-10-31;89.6;
2013-11-30;151.6;
2013-12-31;482.6;
2014-01-31;48.4;
2014-02-28;68.8;
2014-03-31;138.8;
2014-04-30;155;
2014-05-31;61.8;
2014-06-30;11.6;
2014-07-31;50.6;
2014-08-31;17.8;
2014-09-30;20.8;
2014-10-31;94.6;
2014-11-30;156.6;
2014-12-31;96.4;
2015-01-31;2.6;
2015-02-28;57;
2015-03-31;114.4;
2015-04-30;143.8;
2015-05-31;117.2;
2015-06-30;43.2;
2015-07-31;14.2;
2015-08-31;2.8;
2015-09-30;86.6;
2015-10-31;52;
2015-11-30;120.8;
2015-12-31;156.6;
2016-01-31;199.6;
2016-02-29;37;
2016-03-31;130.4;
2016-04-30;41;
2016-05-31;null;
2016-06-30;null;
2016-07-31;3.8;
2016-08-31;2.4;
2016-09-30;76;
2016-10-31;92.6;
2016-11-30;310.6;
2016-12-31;387.6;
2017-01-31;61.2;
2017-02-28;122.4;
2017-03-31;72.2;
2017-04-30;47.6;
2017-05-31;51.8;
2017-06-30;41.2;
2017-07-31;27.4;
2017-08-31;5.6;
2017-09-30;9.4;
2017-10-31;43;
2017-11-30;267.8;
2017-12-31;176.8;
2018-01-31;104.4;
2018-02-28;136.4;
2018-03-31;240.2;
2018-04-30;187.8;
2018-05-31;50.8;
2018-06-30;23.4;
2018-07-31;14;
2018-08-31;54.8;
2018-09-30;26;
2018-10-31;67;
2018-11-30;221.2;
2018-12-31;222.8;
2019-01-31;37.6;
2019-02-28;193.6;
2019-03-31;186.2;
2019-04-30;85.2;
2019-05-31;37;
2019-06-30;14.8;
2019-07-31;2;
2019-08-31;25.8;
2019-09-30;33.2;
2019-10-31;26.4;
2019-11-30;274.2;
2019-12-31;153.2;
2020-01-31;323.6;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;308.2;
2021-01-31;67.8;
2021-02-28;358.2;
2021-03-31;134.6;
2021-04-30;82.4;
2021-05-31;28.2;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;233.2;
2021-12-31;304;
2022-01-31;null;

