Nome: CAMPOS DOS GOYTACAZES - SAO TOME
Codigo Estacao: A620
Latitude: -22.04166666
Longitude: -41.05166666
Altitude: 7
Situacao: Operante
Data Inicial: 2008-06-12
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-06-30;null;
2008-07-31;5.8;
2008-08-31;3.4;
2008-09-30;77.8;
2008-10-31;71.6;
2008-11-30;239.6;
2008-12-31;270.4;
2009-01-31;197.8;
2009-02-28;60.8;
2009-03-31;91.2;
2009-04-30;107.8;
2009-05-31;9.2;
2009-06-30;64;
2009-07-31;22;
2009-08-31;36.2;
2009-09-30;62.8;
2009-10-31;348;
2009-11-30;74;
2009-12-31;171.4;
2010-01-31;4;
2010-02-28;55.6;
2010-03-31;84.4;
2010-04-30;41.4;
2010-05-31;24.6;
2010-06-30;48.6;
2010-07-31;72.8;
2010-08-31;18.2;
2010-09-30;23.6;
2010-10-31;100.2;
2010-11-30;126;
2010-12-31;114.2;
2011-01-31;90.8;
2011-02-28;2.2;
2011-03-31;145;
2011-04-30;131;
2011-05-31;42;
2011-06-30;24.8;
2011-07-31;4.2;
2011-08-31;28;
2011-09-30;8.6;
2011-10-31;74.4;
2011-11-30;159;
2011-12-31;116.6;
2012-01-31;191.4;
2012-02-29;21.8;
2012-03-31;60.4;
2012-04-30;13;
2012-05-31;219.4;
2012-06-30;101.6;
2012-07-31;11.4;
2012-08-31;39.6;
2012-09-30;20.8;
2012-10-31;4.2;
2012-11-30;119.4;
2012-12-31;31;
2013-01-31;144;
2013-02-28;17.4;
2013-03-31;66.8;
2013-04-30;14.4;
2013-05-31;11.2;
2013-06-30;17;
2013-07-31;13.2;
2013-08-31;28.4;
2013-09-30;38.4;
2013-10-31;44.4;
2013-11-30;95.8;
2013-12-31;218.8;
2014-01-31;5.6;
2014-02-28;null;
2014-03-31;43;
2014-04-30;null;
2014-05-31;null;
2014-06-30;51.2;
2014-07-31;85.8;
2014-08-31;4.4;
2014-09-30;8.6;
2014-10-31;65;
2014-11-30;89.4;
2014-12-31;32.8;
2015-01-31;0;
2015-02-28;null;
2015-03-31;30;
2015-04-30;22.4;
2015-05-31;78.8;
2015-06-30;30.2;
2015-07-31;14.6;
2015-08-31;12;
2015-09-30;63;
2015-10-31;44.2;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;39;
2016-07-31;7;
2016-08-31;12.2;
2016-09-30;20;
2016-10-31;61.4;
2016-11-30;177.8;
2016-12-31;110.6;
2017-01-31;61.8;
2017-02-28;12;
2017-03-31;47.8;
2017-04-30;80;
2017-05-31;82.8;
2017-06-30;29.6;
2017-07-31;35;
2017-08-31;2.6;
2017-09-30;1.8;
2017-10-31;24;
2017-11-30;156;
2017-12-31;126;
2018-01-31;122;
2018-02-28;64;
2018-03-31;111.4;
2018-04-30;72.6;
2018-05-31;72.6;
2018-06-30;29;
2018-07-31;34.2;
2018-08-31;112;
2018-09-30;null;
2018-10-31;122.4;
2018-11-30;169.6;
2018-12-31;28.8;
2019-01-31;9.8;
2019-02-28;88.2;
2019-03-31;83.8;
2019-04-30;32.6;
2019-05-31;120.2;
2019-06-30;21.2;
2019-07-31;26.2;
2019-08-31;54.4;
2019-09-30;60.4;
2019-10-31;34.6;
2019-11-30;105.8;
2019-12-31;115;
2020-01-31;104.6;
2020-02-29;151.2;
2020-03-31;112.4;
2020-04-30;78.6;
2020-05-31;55;
2020-06-30;3.6;
2020-07-31;14;
2020-08-31;44.6;
2020-09-30;106.8;
2020-10-31;161;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;190.8;
2021-11-30;130;
2021-12-31;92.6;
2022-01-31;null;

