Nome: RIO DE JANEIRO - VILA MILITAR
Codigo Estacao: A621
Latitude: -22.86138888
Longitude: -43.41138888
Altitude: 30.43
Situacao: Operante
Data Inicial: 2007-04-12
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-04-30;null;
2007-05-31;null;
2007-06-30;44.8;
2007-07-31;38.6;
2007-08-31;10.8;
2007-09-30;20;
2007-10-31;157.2;
2007-11-30;null;
2007-12-31;188.2;
2008-01-31;186.4;
2008-02-29;277.8;
2008-03-31;173.6;
2008-04-30;107.4;
2008-05-31;44.4;
2008-06-30;36.2;
2008-07-31;18.4;
2008-08-31;62.6;
2008-09-30;54.2;
2008-10-31;62;
2008-11-30;59;
2008-12-31;20.6;
2009-01-31;5.4;
2009-02-28;62.2;
2009-03-31;160.8;
2009-04-30;134;
2009-05-31;115.8;
2009-06-30;53.6;
2009-07-31;98;
2009-08-31;32.6;
2009-09-30;99.8;
2009-10-31;134.2;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;82.2;
2010-03-31;417.6;
2010-04-30;.6;
2010-05-31;65.6;
2010-06-30;51.2;
2010-07-31;74.8;
2010-08-31;8.6;
2010-09-30;43.6;
2010-10-31;85.2;
2010-11-30;98.6;
2010-12-31;175.4;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;261.8;
2011-05-31;117;
2011-06-30;33.6;
2011-07-31;11.4;
2011-08-31;12.4;
2011-09-30;24;
2011-10-31;130.8;
2011-11-30;null;
2011-12-31;236;
2012-01-31;218.6;
2012-02-29;28.6;
2012-03-31;144.2;
2012-04-30;41.6;
2012-05-31;null;
2012-06-30;null;
2012-07-31;null;
2012-08-31;25.8;
2012-09-30;95.2;
2012-10-31;59.8;
2012-11-30;93.8;
2012-12-31;79.6;
2013-01-31;120.2;
2013-02-28;82;
2013-03-31;214;
2013-04-30;52.4;
2013-05-31;18.6;
2013-06-30;38;
2013-07-31;89.8;
2013-08-31;2.2;
2013-09-30;23.2;
2013-10-31;81.2;
2013-11-30;177.8;
2013-12-31;228.2;
2014-01-31;103.2;
2014-02-28;42.6;
2014-03-31;137.6;
2014-04-30;143.6;
2014-05-31;64.2;
2014-06-30;44.4;
2014-07-31;89.4;
2014-08-31;24;
2014-09-30;64.4;
2014-10-31;44.4;
2014-11-30;85.4;
2014-12-31;60.8;
2015-01-31;173.8;
2015-02-28;159;
2015-03-31;249;
2015-04-30;45.4;
2015-05-31;60.2;
2015-06-30;75;
2015-07-31;12.2;
2015-08-31;6.2;
2015-09-30;111;
2015-10-31;14.4;
2015-11-30;165.8;
2015-12-31;109.2;
2016-01-31;243.2;
2016-02-29;185;
2016-03-31;192.4;
2016-04-30;19.6;
2016-05-31;33;
2016-06-30;60.8;
2016-07-31;.8;
2016-08-31;34.8;
2016-09-30;49.6;
2016-10-31;43.2;
2016-11-30;206.4;
2016-12-31;240.8;
2017-01-31;165;
2017-02-28;48.2;
2017-03-31;97;
2017-04-30;120.4;
2017-05-31;null;
2017-06-30;93;
2017-07-31;15;
2017-08-31;42.6;
2017-09-30;3.4;
2017-10-31;null;
2017-11-30;185.2;
2017-12-31;74.2;
2018-01-31;314.4;
2018-02-28;165;
2018-03-31;66.2;
2018-04-30;65;
2018-05-31;33.8;
2018-06-30;40.4;
2018-07-31;12;
2018-08-31;64.8;
2018-09-30;45.4;
2018-10-31;74.2;
2018-11-30;178.2;
2018-12-31;36.6;
2019-01-31;143.2;
2019-02-28;248.2;
2019-03-31;250;
2019-04-30;236.6;
2019-05-31;79.4;
2019-06-30;31.6;
2019-07-31;11.6;
2019-08-31;52.2;
2019-09-30;83.2;
2019-10-31;56.8;
2019-11-30;114.2;
2019-12-31;130;
2020-01-31;88.6;
2020-02-29;301.8;
2020-03-31;289.2;
2020-04-30;17.2;
2020-05-31;82.4;
2020-06-30;8.4;
2020-07-31;38.4;
2020-08-31;76.4;
2020-09-30;118;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;64.8;
2021-02-28;162;
2021-03-31;86;
2021-04-30;83.6;
2021-05-31;85;
2021-06-30;17.6;
2021-07-31;23;
2021-08-31;28.8;
2021-09-30;20.4;
2021-10-31;132.2;
2021-11-30;91.6;
2021-12-31;186.8;
2022-01-31;null;

