Nome: NOVA VENECIA
Codigo Estacao: A623
Latitude: -18.69527777
Longitude: -40.39055555
Altitude: 156.02
Situacao: Operante
Data Inicial: 2008-06-21
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-06-30;null;
2008-07-31;29.8;
2008-08-31;20.4;
2008-09-30;22.8;
2008-10-31;61.2;
2008-11-30;268;
2008-12-31;215.6;
2009-01-31;303;
2009-02-28;28.8;
2009-03-31;116.6;
2009-04-30;96.8;
2009-05-31;9.6;
2009-06-30;35.2;
2009-07-31;12.4;
2009-08-31;44.4;
2009-09-30;14;
2009-10-31;311.4;
2009-11-30;164;
2009-12-31;110.2;
2010-01-31;4.6;
2010-02-28;65;
2010-03-31;186;
2010-04-30;141.6;
2010-05-31;28;
2010-06-30;4.6;
2010-07-31;74.4;
2010-08-31;3.8;
2010-09-30;17.8;
2010-10-31;66.4;
2010-11-30;291.8;
2010-12-31;259.8;
2011-01-31;122.8;
2011-02-28;88.2;
2011-03-31;378.2;
2011-04-30;173.4;
2011-05-31;8.6;
2011-06-30;41;
2011-07-31;29.4;
2011-08-31;null;
2011-09-30;null;
2011-10-31;147.2;
2011-11-30;213.2;
2011-12-31;129.4;
2012-01-31;135.6;
2012-02-29;48;
2012-03-31;128.4;
2012-04-30;50;
2012-05-31;33.4;
2012-06-30;.8;
2012-07-31;null;
2012-08-31;76.6;
2012-09-30;27;
2012-10-31;36.2;
2012-11-30;271.8;
2012-12-31;10.2;
2013-01-31;180;
2013-02-28;4;
2013-03-31;74.2;
2013-04-30;95.8;
2013-05-31;31.6;
2013-06-30;44.6;
2013-07-31;26.2;
2013-08-31;44.6;
2013-09-30;58;
2013-10-31;118;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;90.2;
2014-03-31;69;
2014-04-30;45.6;
2014-05-31;7.6;
2014-06-30;51.4;
2014-07-31;26.2;
2014-08-31;73.6;
2014-09-30;19.8;
2014-10-31;116.2;
2014-11-30;102.4;
2014-12-31;74.8;
2015-01-31;12.2;
2015-02-28;182;
2015-03-31;131.4;
2015-04-30;11.6;
2015-05-31;45;
2015-06-30;56.6;
2015-07-31;21.8;
2015-08-31;42;
2015-09-30;4.2;
2015-10-31;8;
2015-11-30;69;
2015-12-31;58.8;
2016-01-31;214.6;
2016-02-29;72.2;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;8.2;
2016-08-31;12.6;
2016-09-30;26.8;
2016-10-31;47.6;
2016-11-30;174;
2016-12-31;150.8;
2017-01-31;19.2;
2017-02-28;98.4;
2017-03-31;65;
2017-04-30;25.2;
2017-05-31;63.6;
2017-06-30;50.8;
2017-07-31;57.6;
2017-08-31;13;
2017-09-30;1.2;
2017-10-31;11.6;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;77.6;
2018-06-30;18.6;
2018-07-31;10;
2018-08-31;114;
2018-09-30;20.6;
2018-10-31;160.8;
2018-11-30;202;
2018-12-31;305.2;
2019-01-31;13.2;
2019-02-28;74;
2019-03-31;36;
2019-04-30;61.8;
2019-05-31;22;
2019-06-30;47.4;
2019-07-31;34.8;
2019-08-31;64.8;
2019-09-30;13.2;
2019-10-31;120;
2019-11-30;157;
2019-12-31;122.2;
2020-01-31;189;
2020-02-29;77.2;
2020-03-31;182.6;
2020-04-30;46.2;
2020-05-31;58.4;
2020-06-30;29.2;
2020-07-31;39;
2020-08-31;1.2;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;163;
2021-12-31;297.4;
2022-01-31;null;

