Nome: TRES RIOS
Codigo Estacao: A625
Latitude: -22.09833333
Longitude: -43.20833333
Altitude: 295
Situacao: Operante
Data Inicial: 2016-06-07
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2016-06-30;null;
2016-07-31;.8;
2016-08-31;13.8;
2016-09-30;63.4;
2016-10-31;74.2;
2016-11-30;320;
2016-12-31;270.6;
2017-01-31;230.6;
2017-02-28;118.6;
2017-03-31;122.4;
2017-04-30;29.6;
2017-05-31;62.6;
2017-06-30;19;
2017-07-31;.6;
2017-08-31;22.6;
2017-09-30;1.4;
2017-10-31;94.4;
2017-11-30;118.8;
2017-12-31;125;
2018-01-31;226.6;
2018-02-28;176.2;
2018-03-31;170.6;
2018-04-30;73.8;
2018-05-31;30.8;
2018-06-30;14.8;
2018-07-31;19.2;
2018-08-31;72;
2018-09-30;142;
2018-10-31;45.6;
2018-11-30;174.6;
2018-12-31;59.2;
2019-01-31;20.4;
2019-02-28;284.6;
2019-03-31;60;
2019-04-30;34.2;
2019-05-31;22.6;
2019-06-30;21.8;
2019-07-31;8.4;
2019-08-31;12;
2019-09-30;80.4;
2019-10-31;68.8;
2019-11-30;106;
2019-12-31;314.6;
2020-01-31;255.2;
2020-02-29;276.2;
2020-03-31;199.2;
2020-04-30;68.8;
2020-05-31;39.6;
2020-06-30;8.8;
2020-07-31;7.2;
2020-08-31;15.6;
2020-09-30;40.4;
2020-10-31;45;
2020-11-30;313.8;
2020-12-31;346.4;
2021-01-31;269.2;
2021-02-28;312;
2021-03-31;90.6;
2021-04-30;39.6;
2021-05-31;10.8;
2021-06-30;40.2;
2021-07-31;2.6;
2021-08-31;20.8;
2021-09-30;33.2;
2021-10-31;null;
2021-11-30;197.6;
2021-12-31;317.4;
2022-01-31;null;

