Nome: ANGRA DOS REIS
Codigo Estacao: A628
Latitude: -22.97555554
Longitude: -44.30333333
Altitude: 6
Situacao: Operante
Data Inicial: 2017-08-24
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2017-08-31;null;
2017-09-30;15.2;
2017-10-31;69.8;
2017-11-30;319.4;
2017-12-31;174.2;
2018-01-31;368;
2018-02-28;351.8;
2018-03-31;258.2;
2018-04-30;174.4;
2018-05-31;135.8;
2018-06-30;73.6;
2018-07-31;39.8;
2018-08-31;86.8;
2018-09-30;109;
2018-10-31;188.2;
2018-11-30;304.4;
2018-12-31;169.6;
2019-01-31;123.4;
2019-02-28;487.8;
2019-03-31;576.2;
2019-04-30;203.4;
2019-05-31;212.6;
2019-06-30;53.2;
2019-07-31;64;
2019-08-31;171;
2019-09-30;122.4;
2019-10-31;88.8;
2019-11-30;211.8;
2019-12-31;110.4;
2020-01-31;190.6;
2020-02-29;347.2;
2020-03-31;282.8;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;42.6;
2021-09-30;40.2;
2021-10-31;166;
2021-11-30;150.4;
2021-12-31;318.6;
2022-01-31;null;

