Nome: VENDA NOVA DO IMIGRANTE
Codigo Estacao: A633
Latitude: -20.38555555
Longitude: -41.18999999
Altitude: 722
Situacao: Operante
Data Inicial: 2017-02-09
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2017-02-28;null;
2017-03-31;87;
2017-04-30;79;
2017-05-31;53.8;
2017-06-30;31.6;
2017-07-31;34.2;
2017-08-31;10.6;
2017-09-30;18;
2017-10-31;56.8;
2017-11-30;222.2;
2017-12-31;240.8;
2018-01-31;138.6;
2018-02-28;273.8;
2018-03-31;328.4;
2018-04-30;209.6;
2018-05-31;75.6;
2018-06-30;25.8;
2018-07-31;7.8;
2018-08-31;54.8;
2018-09-30;31.4;
2018-10-31;60.4;
2018-11-30;145.8;
2018-12-31;313.8;
2019-01-31;30;
2019-02-28;248.6;
2019-03-31;164.4;
2019-04-30;100.8;
2019-05-31;42.4;
2019-06-30;10.4;
2019-07-31;8.2;
2019-08-31;23.4;
2019-09-30;45.4;
2019-10-31;33.2;
2019-11-30;236.2;
2019-12-31;193.2;
2020-01-31;376.2;
2020-02-29;242.4;
2020-03-31;195.8;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;27;
2020-10-31;179.6;
2020-11-30;128.8;
2020-12-31;260.8;
2021-01-31;null;
2021-02-28;272.8;
2021-03-31;138.4;
2021-04-30;101.6;
2021-05-31;17.6;
2021-06-30;35;
2021-07-31;6;
2021-08-31;32.6;
2021-09-30;40.2;
2021-10-31;329.6;
2021-11-30;208.6;
2021-12-31;203.2;
2022-01-31;null;

