Nome: VILA VELHA
Codigo Estacao: A634
Latitude: -20.46694443
Longitude: -40.40388888
Altitude: 25
Situacao: Operante
Data Inicial: 2017-02-14
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2017-02-28;null;
2017-03-31;31.8;
2017-04-30;71.2;
2017-05-31;162.4;
2017-06-30;106;
2017-07-31;207;
2017-08-31;12;
2017-09-30;32.8;
2017-10-31;54;
2017-11-30;187;
2017-12-31;174.6;
2018-01-31;62.8;
2018-02-28;173.6;
2018-03-31;154.6;
2018-04-30;189.2;
2018-05-31;213.2;
2018-06-30;42.6;
2018-07-31;3.2;
2018-08-31;128.4;
2018-09-30;46.6;
2018-10-31;139.4;
2018-11-30;293.2;
2018-12-31;118.6;
2019-01-31;.6;
2019-02-28;118.6;
2019-03-31;38.4;
2019-04-30;50.6;
2019-05-31;217;
2019-06-30;36.6;
2019-07-31;40.2;
2019-08-31;52.6;
2019-09-30;89.4;
2019-10-31;29;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;117.6;
2020-03-31;299.6;
2020-04-30;25.8;
2020-05-31;46.8;
2020-06-30;77.2;
2020-07-31;63.8;
2020-08-31;101.6;
2020-09-30;120.2;
2020-10-31;159.4;
2020-11-30;85;
2020-12-31;143;
2021-01-31;null;
2021-02-28;215.4;
2021-03-31;224;
2021-04-30;93.4;
2021-05-31;94.2;
2021-06-30;85;
2021-07-31;3.6;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;91.4;
2022-01-31;null;

