Nome: ITATIAIA
Codigo Estacao: A635
Latitude: -22.37388888
Longitude: -44.70305555
Altitude: 2450
Situacao: Operante
Data Inicial: 2017-08-31
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2017-08-31;null;
2017-09-30;null;
2017-10-31;159.2;
2017-11-30;276.4;
2017-12-31;242;
2018-01-31;483.8;
2018-02-28;214;
2018-03-31;336.4;
2018-04-30;42.8;
2018-05-31;50.6;
2018-06-30;56.6;
2018-07-31;28.2;
2018-08-31;117.6;
2018-09-30;130;
2018-10-31;175.4;
2018-11-30;null;
2018-12-31;279.8;
2019-01-31;197.4;
2019-02-28;308.4;
2019-03-31;342.6;
2019-04-30;137.8;
2019-05-31;106.2;
2019-06-30;34.4;
2019-07-31;82.6;
2019-08-31;58.4;
2019-09-30;159.2;
2019-10-31;232.4;
2019-11-30;264.6;
2019-12-31;300;
2020-01-31;328.4;
2020-02-29;465.2;
2020-03-31;228.4;
2020-04-30;42.4;
2020-05-31;70.8;
2020-06-30;42;
2020-07-31;16.6;
2020-08-31;42.2;
2020-09-30;83.8;
2020-10-31;156.8;
2020-11-30;236.6;
2020-12-31;517.8;
2021-01-31;null;
2021-02-28;362.8;
2021-03-31;183.2;
2021-04-30;28.8;
2021-05-31;54.6;
2021-06-30;24.8;
2021-07-31;42.2;
2021-08-31;33;
2021-09-30;30.6;
2021-10-31;312;
2021-11-30;335;
2021-12-31;386.4;
2022-01-31;null;

