Nome: JACAREPAGUA
Codigo Estacao: A654
Latitude: -22.986979
Longitude: -43.370102
Altitude: 3.91
Situacao: Desativada
Data Inicial: 2007-05-16
Data Final: 2013-06-11
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-05-31;null;
2007-06-30;34;
2007-07-31;110.8;
2007-08-31;19.8;
2007-09-30;17.6;
2007-10-31;120.8;
2007-11-30;null;
2007-12-31;206.2;
2008-01-31;143;
2008-02-29;102.8;
2008-03-31;205;
2008-04-30;103;
2008-05-31;87;
2008-06-30;52.6;
2008-07-31;4.6;
2008-08-31;79.6;
2008-09-30;88.6;
2008-10-31;62.4;
2008-11-30;162.8;
2008-12-31;109.8;
2009-01-31;180;
2009-02-28;96.4;
2009-03-31;113.2;
2009-04-30;116.6;
2009-05-31;83.8;
2009-06-30;77.2;
2009-07-31;82.2;
2009-08-31;51.6;
2009-09-30;93.6;
2009-10-31;171.4;
2009-11-30;108.8;
2009-12-31;355.8;
2010-01-31;122;
2010-02-28;124.4;
2010-03-31;325.4;
2010-04-30;287.2;
2010-05-31;63.2;
2010-06-30;79.4;
2010-07-31;151.6;
2010-08-31;42.2;
2010-09-30;74.4;
2010-10-31;null;
2010-11-30;null;
2010-12-31;235.2;
2011-01-31;109.8;
2011-02-28;27.4;
2011-03-31;119.8;
2011-04-30;143.2;
2011-05-31;135.6;
2011-06-30;36.2;
2011-07-31;44.8;
2011-08-31;44.6;
2011-09-30;36.8;
2011-10-31;116.4;
2011-11-30;107.6;
2011-12-31;196;
2012-01-31;162;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;154.2;
2012-06-30;125.2;
2012-07-31;58;
2012-08-31;17.2;
2012-09-30;95.6;
2012-10-31;57.6;
2012-11-30;88;
2012-12-31;40.6;
2013-01-31;null;
2013-02-28;null;
2013-03-31;null;
2013-04-30;77.2;
2013-05-31;122.2;
2013-06-30;null;

