Nome: AFONSO CLAUDIO
Codigo Estacao: A657
Latitude: -20.10416666
Longitude: -41.10694444
Altitude: 507.48
Situacao: Pane
Data Inicial: 2011-09-23
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2011-09-30;null;
2011-10-31;115.8;
2011-11-30;299.8;
2011-12-31;204.8;
2012-01-31;239.2;
2012-02-29;28.2;
2012-03-31;64.2;
2012-04-30;59.8;
2012-05-31;65.6;
2012-06-30;8.6;
2012-07-31;8.2;
2012-08-31;18;
2012-09-30;31.2;
2012-10-31;17;
2012-11-30;196.8;
2012-12-31;93.8;
2013-01-31;227.4;
2013-02-28;84.2;
2013-03-31;103.4;
2013-04-30;94.2;
2013-05-31;58;
2013-06-30;11;
2013-07-31;3.8;
2013-08-31;27;
2013-09-30;36;
2013-10-31;51.6;
2013-11-30;145;
2013-12-31;508;
2014-01-31;14.2;
2014-02-28;33.8;
2014-03-31;24;
2014-04-30;77.4;
2014-05-31;20.8;
2014-06-30;17.2;
2014-07-31;60;
2014-08-31;3.6;
2014-09-30;12;
2014-10-31;76.2;
2014-11-30;213;
2014-12-31;102.4;
2015-01-31;0;
2015-02-28;188;
2015-03-31;50.8;
2015-04-30;46.8;
2015-05-31;64.8;
2015-06-30;13.6;
2015-07-31;6.6;
2015-08-31;.8;
2015-09-30;21.8;
2015-10-31;null;
2015-11-30;null;
2015-12-31;74.6;
2016-01-31;233;
2016-02-29;120.6;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;23;
2016-07-31;7.2;
2016-08-31;3.6;
2016-09-30;25.2;
2016-10-31;null;
2016-11-30;219.4;
2016-12-31;null;
2017-01-31;null;
2017-02-28;93.6;
2017-03-31;33;
2017-04-30;49.8;
2017-05-31;31.6;
2017-06-30;11.6;
2017-07-31;12.4;
2017-08-31;.2;
2017-09-30;30.4;
2017-10-31;35.6;
2017-11-30;98;
2017-12-31;231;
2018-01-31;92.4;
2018-02-28;265;
2018-03-31;null;
2018-04-30;null;
2018-05-31;64.4;
2018-06-30;7.6;
2018-07-31;5.2;
2018-08-31;35.4;
2018-09-30;27.6;
2018-10-31;65.6;
2018-11-30;75;
2018-12-31;235.4;
2019-01-31;16.4;
2019-02-28;97;
2019-03-31;190.6;
2019-04-30;34.6;
2019-05-31;null;
2019-06-30;null;
2019-07-31;4.6;
2019-08-31;9.6;
2019-09-30;35.2;
2019-10-31;44.2;
2019-11-30;167.8;
2019-12-31;174.6;
2020-01-31;278.2;
2020-02-29;149.6;
2020-03-31;186.2;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;218.2;
2021-12-31;null;
2022-01-31;null;

