Nome: SILVA JARDIM
Codigo Estacao: A659
Latitude: -22.64583333
Longitude: -42.41555555
Altitude: 19
Situacao: Operante
Data Inicial: 2015-08-27
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2015-08-31;null;
2015-09-30;126;
2015-10-31;75.4;
2015-11-30;210.4;
2015-12-31;103.4;
2016-01-31;385;
2016-02-29;214.2;
2016-03-31;395.2;
2016-04-30;43.2;
2016-05-31;46.2;
2016-06-30;52.4;
2016-07-31;4.8;
2016-08-31;12.2;
2016-09-30;53.6;
2016-10-31;86.2;
2016-11-30;278;
2016-12-31;178;
2017-01-31;245.4;
2017-02-28;104;
2017-03-31;null;
2017-04-30;null;
2017-05-31;89.4;
2017-06-30;96.8;
2017-07-31;38;
2017-08-31;51.6;
2017-09-30;3.6;
2017-10-31;65.6;
2017-11-30;148.4;
2017-12-31;113.2;
2018-01-31;220.4;
2018-02-28;null;
2018-03-31;null;
2018-04-30;129.8;
2018-05-31;90;
2018-06-30;24;
2018-07-31;27.6;
2018-08-31;87.6;
2018-09-30;53.4;
2018-10-31;152;
2018-11-30;293.8;
2018-12-31;207.8;
2019-01-31;45.8;
2019-02-28;279;
2019-03-31;249.6;
2019-04-30;188.2;
2019-05-31;252.6;
2019-06-30;37.6;
2019-07-31;39;
2019-08-31;54.8;
2019-09-30;126.6;
2019-10-31;59;
2019-11-30;212.6;
2019-12-31;176.4;
2020-01-31;347.8;
2020-02-29;424.8;
2020-03-31;386.6;
2020-04-30;64.8;
2020-05-31;106.6;
2020-06-30;33;
2020-07-31;38.6;
2020-08-31;74.2;
2020-09-30;170.2;
2020-10-31;171.8;
2020-11-30;203;
2020-12-31;314;
2021-01-31;195.8;
2021-02-28;128.4;
2021-03-31;217.8;
2021-04-30;86.8;
2021-05-31;104.8;
2021-06-30;22.2;
2021-07-31;11.4;
2021-08-31;88.6;
2021-09-30;59.2;
2021-10-31;175.8;
2021-11-30;163.2;
2021-12-31;256.4;
2022-01-31;null;

