Nome: BAURU
Codigo Estacao: A705
Latitude: -22.358052
Longitude: -49.028877
Altitude: 636.17
Situacao: Operante
Data Inicial: 2001-08-29
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2001-08-31;null;
2001-09-30;35.4;
2001-10-31;150.6;
2001-11-30;147.4;
2001-12-31;278;
2002-01-31;null;
2002-02-28;null;
2002-03-31;null;
2002-04-30;null;
2002-05-31;89.2;
2002-06-30;null;
2002-07-31;null;
2002-08-31;null;
2002-09-30;null;
2002-10-31;null;
2002-11-30;null;
2002-12-31;null;
2003-01-31;null;
2003-02-28;null;
2003-03-31;null;
2003-04-30;null;
2003-05-31;39.6;
2003-06-30;47;
2003-07-31;14;
2003-08-31;33.4;
2003-09-30;16.2;
2003-10-31;98.4;
2003-11-30;136.4;
2003-12-31;null;
2004-01-31;266.6;
2004-02-29;null;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;127.6;
2005-01-31;442.6;
2005-02-28;133;
2005-03-31;null;
2005-04-30;26;
2005-05-31;79.8;
2005-06-30;55.6;
2005-07-31;8.2;
2005-08-31;13.4;
2005-09-30;null;
2005-10-31;null;
2005-11-30;null;
2005-12-31;null;
2006-01-31;198;
2006-02-28;null;
2006-03-31;54.4;
2006-04-30;null;
2006-05-31;null;
2006-06-30;14;
2006-07-31;35.2;
2006-08-31;20.4;
2006-09-30;71.4;
2006-10-31;68;
2006-11-30;72.8;
2006-12-31;262.2;
2007-01-31;439.8;
2007-02-28;205.6;
2007-03-31;52.4;
2007-04-30;72.2;
2007-05-31;49.6;
2007-06-30;4;
2007-07-31;280.6;
2007-08-31;0;
2007-09-30;4.2;
2007-10-31;60.2;
2007-11-30;251.4;
2007-12-31;230.8;
2008-01-31;257.8;
2008-02-29;138.8;
2008-03-31;139.2;
2008-04-30;152.2;
2008-05-31;93.6;
2008-06-30;66.6;
2008-07-31;.4;
2008-08-31;54.6;
2008-09-30;0;
2008-10-31;124.8;
2008-11-30;107.2;
2008-12-31;135.4;
2009-01-31;237.8;
2009-02-28;null;
2009-03-31;null;
2009-04-30;8;
2009-05-31;44.4;
2009-06-30;56.8;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;54.4;
2010-04-30;83;
2010-05-31;30.6;
2010-06-30;25.6;
2010-07-31;73.4;
2010-08-31;0;
2010-09-30;72.2;
2010-10-31;null;
2010-11-30;55.6;
2010-12-31;229.4;
2011-01-31;440.2;
2011-02-28;148.6;
2011-03-31;146.2;
2011-04-30;83.2;
2011-05-31;27;
2011-06-30;40;
2011-07-31;8.2;
2011-08-31;33.4;
2011-09-30;5.6;
2011-10-31;179.8;
2011-11-30;114.6;
2011-12-31;178.6;
2012-01-31;236.4;
2012-02-29;72.2;
2012-03-31;142.8;
2012-04-30;163.2;
2012-05-31;79.2;
2012-06-30;195.6;
2012-07-31;10.6;
2012-08-31;0;
2012-09-30;85.2;
2012-10-31;41.8;
2012-11-30;129.6;
2012-12-31;114.8;
2013-01-31;252.8;
2013-02-28;149.8;
2013-03-31;193.4;
2013-04-30;98;
2013-05-31;145.8;
2013-06-30;70.2;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;139.4;
