Nome: FRANCA
Codigo Estacao: A708
Latitude: -20.58444444
Longitude: -47.38249999
Altitude: 1002.74
Situacao: Operante
Data Inicial: 2002-12-11
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2002-12-31;null;
2003-01-31;498.2;
2003-02-28;138.2;
2003-03-31;null;
2003-04-30;null;
2003-05-31;null;
2003-06-30;null;
2003-07-31;null;
2003-08-31;null;
2003-09-30;null;
2003-10-31;null;
2003-11-30;null;
2003-12-31;253.4;
2004-01-31;261.6;
2004-02-29;295.2;
2004-03-31;106.6;
2004-04-30;147.8;
2004-05-31;111.6;
2004-06-30;17.6;
2004-07-31;32;
2004-08-31;0;
2004-09-30;5.2;
2004-10-31;175.2;
2004-11-30;125.6;
2004-12-31;414.2;
2005-01-31;425.2;
2005-02-28;121.2;
2005-03-31;255.2;
2005-04-30;79.4;
2005-05-31;147.8;
2005-06-30;17;
2005-07-31;19;
2005-08-31;1.2;
2005-09-30;null;
2005-10-31;null;
2005-11-30;null;
2005-12-31;366.2;
2006-01-31;253;
2006-02-28;null;
2006-03-31;166.2;
2006-04-30;null;
2006-05-31;null;
2006-06-30;13.2;
2006-07-31;10.6;
2006-08-31;27.6;
2006-09-30;42.8;
2006-10-31;349.8;
2006-11-30;362.8;
2006-12-31;445.8;
2007-01-31;436.4;
2007-02-28;135.6;
2007-03-31;109.4;
2007-04-30;69;
2007-05-31;42.6;
2007-06-30;.6;
2007-07-31;48.2;
2007-08-31;.8;
2007-09-30;6.2;
2007-10-31;68;
2007-11-30;203.4;
2007-12-31;283.8;
2008-01-31;361;
2008-02-29;231.6;
2008-03-31;211;
2008-04-30;157.2;
2008-05-31;46.8;
2008-06-30;13.4;
2008-07-31;0;
2008-08-31;52.2;
2008-09-30;27.2;
2008-10-31;121.4;
2008-11-30;155;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;237.6;
2009-12-31;464;
2010-01-31;441.8;
2010-02-28;202.6;
2010-03-31;223.2;
2010-04-30;40.8;
2010-05-31;36.6;
2010-06-30;12.2;
2010-07-31;3.4;
2010-08-31;0;
2010-09-30;116;
2010-10-31;167.4;
2010-11-30;249.6;
2010-12-31;299.6;
2011-01-31;322.2;
2011-02-28;170.4;
2011-03-31;409;
2011-04-30;133.4;
2011-05-31;1.8;
2011-06-30;36.4;
2011-07-31;.6;
2011-08-31;25.4;
2011-09-30;15.4;
2011-10-31;160.6;
2011-11-30;153.2;
2011-12-31;291.4;
2012-01-31;330.8;
2012-02-29;132.6;
2012-03-31;197.6;
2012-04-30;51.4;
2012-05-31;32.8;
2012-06-30;93.2;
2012-07-31;35.6;
2012-08-31;0;
2012-09-30;81.4;
2012-10-31;85.4;
2012-11-30;190.2;
2012-12-31;280;
2013-01-31;267.6;
2013-02-28;285.2;
2013-03-31;271.6;
2013-04-30;118.2;
2013-05-31;127;
2013-06-30;81.4;
2013-07-31;12.4;
2013-08-31;21;
2013-09-30;68.2;
2013-10-31;111;
2013-11-30;159;
2013-12-31;128.4;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;13.8;
2014-06-30;7.8;
2014-07-31;61.4;
2014-08-31;0;
2014-09-30;46;
2014-10-31;23.4;
2014-11-30;227;
2014-12-31;219.8;
2015-01-31;189.6;
2015-02-28;90.8;
2015-03-31;136;
2015-04-30;138.4;
2015-05-31;81;
2015-06-30;30;
2015-07-31;13;
2015-08-31;2.2;
2015-09-30;131;
2015-10-31;136.8;
2015-11-30;235;
2015-12-31;161.2;
2016-01-31;331;
2016-02-29;176.4;
2016-03-31;311.8;
2016-04-30;10.8;
2016-05-31;32.2;
2016-06-30;59.4;
2016-07-31;.2;
2016-08-31;26.4;
2016-09-30;2.4;
2016-10-31;174;
2016-11-30;81.6;
2016-12-31;66.2;
2017-01-31;220.6;
2017-02-28;172.8;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;.4;
2017-08-31;4.2;
2017-09-30;20.6;
2017-10-31;133.8;
2017-11-30;161.4;
2017-12-31;289.4;
2018-01-31;292.4;
2018-02-28;247;
2018-03-31;205.8;
2018-04-30;35.2;
2018-05-31;21;
2018-06-30;13.6;
2018-07-31;0;
2018-08-31;62.6;
2018-09-30;61.4;
2018-10-31;204;
2018-11-30;413.4;
2018-12-31;201.6;
2019-01-31;117.8;
2019-02-28;230;
2019-03-31;219.6;
2019-04-30;167.2;
2019-05-31;73.2;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;240.4;
2019-12-31;167.6;
2020-01-31;417;
2020-02-29;342;
2020-03-31;94.2;
2020-04-30;25.6;
2020-05-31;33;
2020-06-30;null;
2020-07-31;null;
2020-08-31;5.6;
2020-09-30;1;
2020-10-31;125.2;
2020-11-30;106.4;
2020-12-31;275.6;
2021-01-31;100.6;
2021-02-28;206.4;
2021-03-31;159.8;
2021-04-30;20.2;
2021-05-31;18.8;
2021-06-30;30.6;
2021-07-31;null;
2021-08-31;.4;
2021-09-30;29.4;
2021-10-31;211.6;
2021-11-30;null;
2021-12-31;312.2;
2022-01-31;null;

